DATE,PRICE
2026-08-01,"$4,571.40"
2026-07-01,"$4,041.70"
2026-06-01,"$4,006.70"
2026-05-01,"$4,541.88"
2026-04-01,"$4,629.56"
2026-03-01,"$4,670.35"
2026-02-01,"$5,277.89"
2026-01-01,"$4,865.35"
2025-12-01,"$4,322.36"
2025-11-01,"$4,217.36"
2025-10-01,"$4,002.77"
2025-09-01,"$3,836.23"
2025-08-01,"$3,415.77"
2025-07-01,"$3,285.78"
2025-06-01,"$3,266.41"
2025-05-01,"$3,289.55"
2025-04-01,"$3,273.50"
2025-03-01,"$3,086.34"
2025-02-01,"$2,876.21"
2025-01-01,"$2,798.20"
2024-12-01,"$2,624.60"
2024-11-01,"$2,651.25"
2024-10-01,"$2,746.70"
2024-09-01,"$2,664.41"
2024-08-01,"$2,503.38"
2024-07-01,"$2,409.69"
2024-06-01,"$2,326.72"
2024-05-01,"$2,327.28"
2024-04-01,"$2,285.99"
2024-03-01,"$2,231.56"
2024-02-01,"$2,044.20"
2024-01-01,"$2,039.15"
2023-12-01,"$2,062.92"
2023-11-01,"$2,044.90"
2023-10-01,"$1,984.01"
2023-09-01,"$1,848.49"
2023-08-01,"$1,939.83"
2023-07-01,"$1,964.34"
2023-06-01,"$1,919.57"
2023-05-01,"$1,965.20"
2023-04-01,"$1,990.60"
2023-03-01,"$1,969.55"
2023-02-01,"$1,826.74"
2023-01-01,"$1,928.12"
2022-12-01,"$1,824.32"
2022-11-01,"$1,768.61"
2022-10-01,"$1,632.38"
2022-09-01,"$1,660.88"
2022-08-01,"$1,708.58"
2022-07-01,"$1,766.43"
2022-06-01,"$1,817.45"
2022-05-01,"$1,847.26"
2022-04-01,"$1,911.70"
2022-03-01,"$1,953.04"
2022-02-01,"$1,900.70"
2022-01-01,"$1,796.12"
2021-12-01,"$1,828.60"
2021-11-01,"$1,775.92"
2021-10-01,"$1,783.90"
2021-09-01,"$1,756.66"
2021-08-01,"$1,815.80"
2021-07-01,"$1,814.12"
2021-06-01,"$1,771.60"
2021-05-01,"$1,904.74"
2021-04-01,"$1,767.70"
2021-03-01,"$1,715.24"
2021-02-01,"$1,728.80"
2021-01-01,"$1,849.70"
2020-12-01,"$1,895.10"
2020-11-01,"$1,779.86"
2020-10-01,"$1,879.90"
2020-09-01,"$1,893.90"
2020-08-01,"$1,970.50"
2020-07-01,"$1,971.68"
2020-06-01,"$1,770.70"
2020-05-01,"$1,725.65"
2020-04-01,"$1,716.75"
2020-03-01,"$1,604.65"
2020-02-01,"$1,626.35"
2020-01-01,"$1,580.85"
2019-12-01,"$1,523.00"
2019-11-01,"$1,456.35"
2019-10-01,"$1,506.40"
2019-09-01,"$1,487.60"
2019-08-01,"$1,526.55"
2019-07-01,"$1,430.55"
2019-06-01,"$1,413.20"
2019-05-01,"$1,296.00"
2019-04-01,"$1,285.15"
2019-03-01,"$1,291.15"
2019-02-01,"$1,325.45"
2019-01-01,"$1,322.50"
2018-12-01,"$1,281.65"
2018-11-01,"$1,220.45"
2018-10-01,"$1,217.70"
2018-09-01,"$1,183.50"
2018-08-01,"$1,206.85"
2018-07-01,"$1,219.20"
2018-06-01,"$1,250.55"
2018-05-01,"$1,303.50"
2018-04-01,"$1,316.25"
2018-03-01,"$1,323.90"
2018-02-01,"$1,320.30"
2018-01-01,"$1,343.35"
2017-12-01,"$1,296.50"
2017-11-01,"$1,282.15"
2017-10-01,"$1,270.50"
2017-09-01,"$1,284.80"
2017-08-01,"$1,322.20"
2017-07-01,"$1,273.40"
2017-06-01,"$1,242.30"
2017-05-01,"$1,275.40"
2017-04-01,"$1,268.30"
2017-03-01,"$1,251.20"
2017-02-01,"$1,253.90"
2017-01-01,"$1,211.40"
2016-12-01,"$1,151.70"
2016-11-01,"$1,173.90"
2016-10-01,"$1,273.10"
2016-09-01,"$1,317.10"
2016-08-01,"$1,311.40"
2016-07-01,"$1,357.50"
2016-06-01,"$1,320.60"
2016-05-01,"$1,217.50"
2016-04-01,"$1,290.50"
2016-03-01,"$1,235.60"
2016-02-01,"$1,234.40"
2016-01-01,"$1,116.40"
2015-12-01,"$1,060.20"
2015-11-01,"$1,065.30"
2015-10-01,"$1,141.40"
2015-09-01,"$1,115.20"
2015-08-01,"$1,132.50"
2015-07-01,"$1,095.10"
2015-06-01,"$1,171.80"
2015-05-01,"$1,189.80"
2015-04-01,"$1,204.30"
2015-03-01,"$1,179.25"
2015-02-01,"$1,205.00"
2015-01-01,"$1,263.50"
2014-12-01,"$1,199.25"
2014-11-01,"$1,184.50"
2014-10-01,"$1,173.25"
2014-09-01,"$1,210.00"
2014-08-01,"$1,285.75"
2014-07-01,"$1,295.00"
2014-06-01,"$1,313.00"
2014-05-01,"$1,254.00"
2014-04-01,"$1,292.00"
2014-03-01,"$1,294.00"
2014-02-01,"$1,327.75"
2014-01-01,"$1,246.50"
2013-12-01,"$1,201.50"
2013-11-01,"$1,245.25"
2013-10-01,"$1,333.75"
2013-09-01,"$1,335.75"
2013-08-01,"$1,392.75"
2013-07-01,"$1,331.50"
2013-06-01,"$1,203.25"
2013-05-01,"$1,410.25"
2013-04-01,"$1,472.75"
2013-03-01,"$1,602.50"
2013-02-01,"$1,591.00"
2013-01-01,"$1,674.50"
2012-12-01,"$1,664.00"
2012-11-01,"$1,728.25"
2012-10-01,"$1,718.00"
2012-09-01,"$1,781.00"
2012-08-01,"$1,657.75"
2012-07-01,"$1,622.75"
2012-06-01,"$1,569.50"
2012-05-01,"$1,567.50"
2012-04-01,"$1,662.50"
2012-03-01,"$1,660.75"
2012-02-01,"$1,788.00"
2012-01-01,"$1,738.00"
2011-12-01,"$1,574.50"
2011-11-01,"$1,704.00"
2011-10-01,"$1,718.00"
2011-09-01,"$1,629.00"
2011-08-01,"$1,826.00"
2011-07-01,"$1,613.75"
2011-06-01,"$1,508.00"
2011-05-01,"$1,537.00"
2011-04-01,"$1,531.00"
2011-03-01,"$1,431.00"
2011-02-01,"$1,409.75"
2011-01-01,"$1,333.50"
2010-12-01,"$1,410.25"
2010-11-01,"$1,375.00"
2010-10-01,"$1,336.75"
2010-09-01,"$1,311.00"
2010-08-01,"$1,233.50"
2010-07-01,"$1,168.00"
2010-06-01,"$1,240.50"
2010-05-01,"$1,214.00"
2010-04-01,"$1,175.25"
2010-03-01,"$1,109.50"
2010-02-01,"$1,112.50"
2010-01-01,"$1,082.75"
2009-12-01,"$1,104.00"
2009-11-01,"$1,172.00"
2009-10-01,"$1,044.50"
2009-09-01,"$1,001.25"
2009-08-01,$950.75
2009-07-01,$936.50
2009-06-01,$941.00
2009-05-01,$972.00
2009-04-01,$889.00
2009-03-01,$918.50
2009-02-01,$943.75
2009-01-01,$918.50
2008-12-01,$865.00
2008-11-01,$813.50
2008-10-01,$728.50
2008-09-01,$897.00
2008-08-01,$836.50
2008-07-01,$912.00
2008-06-01,$932.75
2008-05-01,$879.50
2008-04-01,$867.75
2008-03-01,$937.25
2008-02-01,$969.00
2008-01-01,$923.75
2007-12-01,$836.50
2007-11-01,$794.75
2007-10-01,$783.00
2007-09-01,$737.75
2007-08-01,$668.00
2007-07-01,$666.75
2007-06-01,$648.50
2007-05-01,$656.60
2007-04-01,$678.00
2007-03-01,$663.50
2007-02-01,$677.00
2007-01-01,$645.75
2006-12-01,$635.70
2006-11-01,$638.40
2006-10-01,$600.90
2006-09-01,$601.75
2006-08-01,$621.75
2006-07-01,$637.00
2006-06-01,$600.40
2006-05-01,$654.00
2006-04-01,$638.25
2006-03-01,$584.00
2006-02-01,$556.50
2006-01-01,$569.80
2005-12-01,$513.00
2005-11-01,$493.80
2005-10-01,$472.65
2005-09-01,$473.40
