Data,MSCI Europe Momentum
06/1994,10000
07/1994,10636.306011419181
08/1994,10907.632579491035
09/1994,10565.210565517467
10/1994,10935.87953317571
11/1994,10343.330921384228
12/1994,10474.980848022418
01/1995,10404.062462005899
02/1995,10581.665330848198
03/1995,10953.809797549726
04/1995,11524.155099737833
05/1995,11803.992346291361
06/1995,12215.243439636153
07/1995,12943.183843639596
08/1995,12697.10601519646
09/1995,13452.337249504526
10/1995,13505.325371147028
11/1995,13715.507258865095
12/1995,13921.652181200725
01/1996,13806.539647839692
02/1996,14106.3374454508
03/1996,14548.491390758181
04/1996,14527.798992175132
05/1996,14783.013110694299
06/1996,15136.471857511648
07/1996,14746.184654573866
08/1996,15259.386829813579
09/1996,15487.428157951581
10/1996,15781.099683534965
11/1996,16461.092270627774
12/1996,16819.119162483134
01/1997,16833.165913375222
02/1997,17170.346954747034
03/1997,17620.799106673858
04/1997,17673.56295246178
05/1997,18805.31793463185
06/1997,19897.89546620458
07/1997,21200.005665916324
08/1997,19633.24995780073
09/1997,21682.470245086293
10/1997,20349.398173450227
11/1997,20143.206035145206
12/1997,21261.693329918042
01/1998,22242.59328990251
02/1998,23993.82179040595
03/1998,25609.528654781618
04/1998,26275.155783188988
05/1998,27273.372199945465
06/1998,27842.47808293721
07/1998,29953.327014262766
08/1998,24980.009938961553
09/1998,23547.701703670213
10/1998,24174.39926531951
11/1998,25339.3588779597
12/1998,27347.99703955872
01/1999,27848.958474735322
02/1999,26758.647309693082
03/1999,26167.479765006115
04/1999,26155.970872468486
05/1999,25143.483428965345
06/1999,25910.09371189523
07/1999,26416.02462784963
08/1999,26531.030925279545
09/1999,26626.761303207975
10/1999,28029.252653832573
11/1999,30769.077317330266
12/1999,36278.40188108422
01/2000,35444.43801782639
02/2000,39807.33523692383
03/2000,38704.145916231784
04/2000,36285.08294075222
05/2000,34858.263561901906
06/2000,35521.04592815381
07/2000,34136.69731376546
08/2000,33705.143353585045
09/2000,30647.49619616347
10/2000,29635.953072048025
11/2000,26792.86708350498
12/2000,28757.653413537526
01/2001,27170.087266915416
02/2001,26756.853102856447
03/2001,25133.615291363843
04/2001,25835.07934053455
05/2001,25262.302415923114
06/2001,25334.84975288342
07/2001,25073.096222604407
08/2001,25320.673158075522
09/2001,23112.31144597726
10/2001,22969.601178510595
11/2001,23259.613466466628
12/2001,24168.934016863182
01/2002,23909.010105397847
02/2002,23973.495315585635
03/2002,25145.254027817286
04/2002,26091.85158604343
05/2002,26078.48946670743
06/2002,25760.371872974876
07/2002,23751.887163276366
08/2002,23743.577152664573
09/2002,22077.349201046778
10/2002,22657.95217258381
11/2002,22779.261801926645
12/2002,22441.51416892221
01/2003,21548.577559902307
02/2003,21475.58167123284
03/2003,21110.57861990082
04/2003,23250.984748061488
05/2003,24703.631262165487
06/2003,24442.491539488485
07/2003,24638.071888674185
08/2003,24504.285439421314
09/2003,25459.41728411383
10/2003,26994.514684756676
