Data,MSCI Europe
12/1969,10000
01/1970,9913
02/1970,9604.6
03/1970,9725.6
04/1970,9009.7
05/1970,8527.9
06/1970,8627.6
07/1970,9036.5
08/1970,9103.3
09/1970,9201.2
10/1970,9152.500000000002
11/1970,8732.1
12/1970,8935.6
01/1971,9314.9
02/1971,9341.500000000002
03/1971,9647.4
04/1971,10045.6
05/1971,10321.8
06/1971,10406.8
07/1971,10876.4
08/1971,10862.9
09/1971,10646.800000000003
10/1971,10291.1
11/1971,10570.4
12/1971,11288.2
01/1972,11957.5
02/1972,12607
03/1972,12956.9
04/1972,13202.4
05/1972,13424.6
06/1972,12747.2
07/1972,13413.9
08/1972,13497.6
09/1972,12702.5
10/1972,12677.800000000003
11/1972,13018.1
12/1972,12913.3
01/1973,12970
02/1973,13871.5
03/1973,14259.5
04/1973,14333.000000000002
05/1973,14538.8
06/1973,15095.500000000002
07/1973,14288.8
08/1973,13683.299999999997
09/1973,13972.300000000003
10/1973,14338.399999999998
11/1973,12167.8
12/1973,11780.5
01/1974,11762
02/1974,12124
03/1974,11630.4
04/1974,12129.9
05/1974,11187.8
06/1974,10609.9
07/1974,10493.9
08/1974,9411.9
09/1974,8496.7
10/1974,8870.3
11/1974,8881.4
12/1974,8945
01/1975,11045.6
02/1975,12497.9
03/1975,12105.4
04/1975,12973.8
05/1975,12771.8
06/1975,11955.7
07/1975,11502.3
08/1975,11748.7
09/1975,11170.6
10/1975,12070.1
11/1975,12386.2
12/1975,12652.9
01/1976,13204.2
02/1976,12945.6
03/1976,12600.1
04/1976,12448.3
05/1976,11874
06/1976,11849.1
07/1976,11634.5
08/1976,11391.4
09/1976,11087.8
10/1976,10273.1
11/1976,10731.2
12/1976,11665.7
01/1977,11747.2
02/1977,11855.3
03/1977,11945.7
04/1977,12388.4
05/1977,12305
06/1977,12460.8
07/1977,12273.9
08/1977,12826.7
09/1977,13380.3
10/1977,13720.4
11/1977,13493.1
12/1977,14220.4
01/1978,14201.8
02/1978,14169.6
03/1978,14659.800000000003
04/1978,14440.9
05/1978,14796
06/1978,14909.4
07/1978,16035.7
08/1978,16593.5
09/1978,17273.6
10/1978,18084.9
11/1978,16500.6
12/1978,17332.4
01/1979,17409.9
02/1979,17721.100000000002
03/1979,18856.4
04/1979,19109.4
05/1979,18146.100000000002
06/1979,18673.4
07/1979,18949.4
08/1979,19518.199999999997
09/1979,20501.3
10/1979,18654.9
11/1979,19422
12/1979,19465.500000000004
01/1980,20422.499999999996
02/1980,20663.999999999996
03/1980,17704.1
04/1980,19489.7
05/1980,19995.699999999997
06/1980,21413.1
07/1980,21723.6
08/1980,21898.3
09/1980,22244.8
10/1980,23014.699999999997
11/1980,22713.8
12/1980,21782.3
01/1981,20927.9
02/1981,20720.300000000003
03/1981,21109.9
04/1981,20881.8
05/1981,19198.9
06/1981,18735.4
07/1981,18198
08/1981,18704.1
09/1981,16937.4
10/1981,17597.2
11/1981,19737.2
12/1981,19068.4
01/1982,19340.7
02/1982,18582.6
03/1982,18521.100000000002
04/1982,19078.8
05/1982,19054.7
06/1982,17507
07/1982,17866.999999999996
08/1982,17967.1
09/1982,18368.8
10/1982,18589.4
11/1982,18880.5
12/1982,19825.2
01/1983,19855.6
02/1983,20621.5
03/1983,21655.9
04/1983,23419.6
05/1983,23174.5
06/1983,23584.3
07/1983,23256.3
08/1983,22749.4
09/1983,23142.1
10/1983,23123.9
11/1983,23803.1
12/1983,23979.599999999995
01/1984,24942.7
02/1984,25642.7
03/1984,26315.499999999996
04/1984,25959.8
05/1984,24066
06/1984,24021.9
07/1984,22441.8
08/1984,24340.700000000004
09/1984,23975.2
10/1984,24029.3
11/1984,23959.2
12/1984,24128.3
01/1985,25239.2
02/1985,24186.6
03/1985,26978.2
04/1985,27752.8
05/1985,29199
06/1985,29542.3
07/1985,32324.900000000005
08/1985,33980.5
09/1985,34537.6
10/1985,38370.4
11/1985,41370.6
12/1985,43173
01/1986,43995.5
02/1986,49221.6
03/1986,53249.2
04/1986,58197.5
05/1986,53053.09999999999
06/1986,55363.8
07/1986,54889.1
08/1986,61021.1
09/1986,57153.7
10/1986,57501.70000000001
11/1986,60580.8
12/1986,62104.8
01/1987,64846.79999999998
02/1987,67162
03/1987,70480.10000000002
04/1987,73238.9
05/1987,72831.4
06/1987,74907.5
07/1987,77426.2
08/1987,78071.2
09/1987,78580.99999999999
10/1987,63641.5
11/1987,60839.3
12/1987,64378.5
01/1988,61736.6
02/1988,65368.90000000001
03/1988,67168.4
04/1988,68417.99999999999
05/1988,67140.4
06/1988,66462.8
07/1988,66611.7
08/1988,63588.4
09/1988,67045.29999999999
10/1988,73258.3
11/1988,74161.7
12/1988,74555.3
01/1989,77259.8
02/1989,76382.7
03/1989,76936.3
04/1989,79071.7
05/1989,75023
06/1989,78115.2
07/1989,87310.3
08/1989,86219.4
09/1989,87702.1
10/1989,81952.6
11/1989,86501
12/1989,95810.5
01/1990,95553.79999999999
02/1990,93264.1
03/1990,94580.6
04/1990,92067.60000000002
05/1990,99563.2
06/1990,103060.10000000002
07/1990,107404.7
08/1990,96751.4
09/1990,85356.9
10/1990,92552.3
11/1990,93478.5
12/1990,92125.89999999998
01/1991,95225.8
02/1991,103556.9
03/1991,96613.8
04/1991,95598.1
05/1991,98420.6
06/1991,90157.5
07/1991,96404.6
08/1991,98163
09/1991,101106.4
10/1991,98981.1
11/1991,96654.6
12/1991,104206.9
01/1992,104176.3
02/1992,104582.3
03/1992,100920.4
04/1992,106489.00000000001
05/1992,112551.39999999998
06/1992,110454
07/1992,106507.8
08/1992,106160.5
09/1992,104404.7
10/1992,97120
11/1992,97072.6
12/1992,99299.5
01/1993,99466.30000000002
02/1993,100604.3
03/1993,105779.7
04/1993,108112.7
05/1993,109275.8
06/1993,107679.40000000002
07/1993,108049
08/1993,117530.4
09/1993,117165.3
10/1993,122046.4
11/1993,119411.9
12/1993,128377.1
01/1994,134914.8
02/1994,130136.9
03/1994,126453.6
04/1994,131689.9
05/1994,126092
06/1994,124768.1
07/1994,131307.19999999998
08/1994,135471.9
09/1994,130100
10/1994,135767.59999999998
11/1994,130567.1
12/1994,131309.30000000005
01/1995,130281.30000000002
02/1995,133233.09999999998
03/1995,139415.8
04/1995,143874.3
05/1995,146820.1
06/1995,148204.2
07/1995,155929.2
08/1995,149901.3
09/1995,154429.6
10/1995,153700.2
11/1995,154793.1
12/1995,159698.49999999997
01/1996,160742.5
02/1996,163670.80000000005
03/1996,165627.9
04/1996,166826.30000000002
05/1996,168115.4
06/1996,169966.49999999997
07/1996,167837.5
08/1996,172818.00000000003
09/1996,176454.3
10/1996,180550.8
11/1996,189700.09999999998
12/1996,193374.70000000004
01/1997,193899.3
02/1997,196461.5
03/1997,202806.5
04/1997,201797.8
05/1997,210415.29999999996
06/1997,220942.6
07/1997,231296.5
08/1997,218080.8
09/1997,239228.90000000002
10/1997,227465
11/1997,230960.3
12/1997,239401.2
01/1998,249366.8
02/1998,268863.1
03/1998,288010.60000000003
04/1998,293596.5
05/1998,299543.7
06/1998,302825.6
07/1998,308808.2
08/1998,269965.7
09/1998,259171.9
10/1998,279917.7
11/1998,294810.5
12/1998,307700.4
01/1999,305719.30000000005
02/1999,297960.3
03/1999,301211.8
04/1999,310186.9
05/1999,295289.2
06/1999,300273.3
07/1999,303062.2
08/1999,306141
09/1999,303781
10/1999,314959
11/1999,323453.00000000006
12/1999,356605.5
01/2000,331206.80000000005
02/2000,348478.9
03/2000,356894.5
04/2000,341139.9
05/2000,338350.4
06/2000,345613.6
07/2000,340092
08/2000,336089.5
09/2000,320354.2
10/2000,317925
11/2000,305614.1
12/2000,326680.6
01/2001,326830.2
02/2001,298138.2
03/2001,275900.4
04/2001,295506.80000000005
05/2001,281100.3
06/2001,270473.9
07/2001,271146.5
08/2001,264087
09/2001,237732.5
10/2001,245290.50000000003
11/2001,255136.70000000004
12/2001,261672.1
01/2002,247998.99999999997
02/2002,247957.2
03/2002,261394.7
04/2002,259399.6
05/2002,258605.3
06/2002,249627.5
07/2002,221851.89999999997
08/2002,221811.3
09/2002,192632
10/2002,211250.79999999996
11/2002,221623.9
12/2002,213587.5
01/2003,203483.1
02/2003,196842.4
03/2003,193905.7
04/2003,220058.2
05/2003,234331.5
06/2003,236590.9
07/2003,241397.20000000004
08/2003,240941.3
09/2003,245842.6
10/2003,262288.6
11/2003,273451.89999999997
12/2003,295909.1
01/2004,299368.6
