"DATE","TIME PERIOD","Bank interest rates - loans to households for house purchase with a variable rate and an interest rate fixation period of up to one year (new business)  (MIR.M.IT.B.A2C.F.R.A.2250.EUR.N)"
"2000-01-31","2000Jan","4.2700"
"2000-02-29","2000Feb","4.5200"
"2000-03-31","2000Mar","4.5500"
"2000-04-30","2000Apr","4.5300"
"2000-05-31","2000May","4.6600"
"2000-06-30","2000Jun","4.7400"
"2000-07-31","2000Jul","4.8200"
"2000-08-31","2000Aug","5.0800"
"2000-09-30","2000Sep","5.0600"
"2000-10-31","2000Oct","5.1100"
"2000-11-30","2000Nov","5.0500"
"2000-12-31","2000Dec","4.9800"
"2001-01-31","2001Jan","5.2900"
"2001-02-28","2001Feb","5.3400"
"2001-03-31","2001Mar","5.3100"
"2001-04-30","2001Apr","5.2600"
"2001-05-31","2001May","5.2800"
"2001-06-30","2001Jun","5.1600"
"2001-07-31","2001Jul","5.0700"
"2001-08-31","2001Aug","5.2700"
"2001-09-30","2001Sep","5.0600"
"2001-10-31","2001Oct","4.8800"
"2001-11-30","2001Nov","4.7800"
"2001-12-31","2001Dec","4.4800"
"2002-01-31","2002Jan","4.5800"
"2002-02-28","2002Feb","4.5700"
"2002-03-31","2002Mar","4.5200"
"2002-04-30","2002Apr","4.5400"
"2002-05-31","2002May","4.5200"
"2002-06-30","2002Jun","4.4800"
"2002-07-31","2002Jul","4.3900"
"2002-08-31","2002Aug","4.6500"
"2002-09-30","2002Sep","4.4200"
"2002-10-31","2002Oct","4.3600"
"2002-11-30","2002Nov","4.3200"
"2002-12-31","2002Dec","4.0900"
"2003-01-31","2003Jan","4.3400"
"2003-02-28","2003Feb","4.2600"
"2003-03-31","2003Mar","4.1400"
"2003-04-30","2003Apr","4.0100"
"2003-05-31","2003May","3.9300"
"2003-06-30","2003Jun","3.7500"
"2003-07-31","2003Jul","3.6400"
"2003-08-31","2003Aug","3.6800"
"2003-09-30","2003Sep","3.6100"
"2003-10-31","2003Oct","3.6100"
"2003-11-30","2003Nov","3.6300"
"2003-12-31","2003Dec","3.6100"
"2004-01-31","2004Jan","3.6100"
"2004-02-29","2004Feb","3.5900"
"2004-03-31","2004Mar","3.5300"
"2004-04-30","2004Apr","3.5200"
"2004-05-31","2004May","3.5100"
"2004-06-30","2004Jun","3.5400"
"2004-07-31","2004Jul","3.5200"
"2004-08-31","2004Aug","3.5500"
"2004-09-30","2004Sep","3.5100"
"2004-10-31","2004Oct","3.5300"
"2004-11-30","2004Nov","3.5400"
"2004-12-31","2004Dec","3.5400"
"2005-01-31","2005Jan","3.5400"
"2005-02-28","2005Feb","3.5400"
"2005-03-31","2005Mar","3.5400"
"2005-04-30","2005Apr","3.5400"
"2005-05-31","2005May","3.5200"
"2005-06-30","2005Jun","3.4900"
"2005-07-31","2005Jul","3.4700"
"2005-08-31","2005Aug","3.5300"
"2005-09-30","2005Sep","3.4700"
"2005-10-31","2005Oct","3.4900"
"2005-11-30","2005Nov","3.5300"
"2005-12-31","2005Dec","3.6000"
"2006-01-31","2006Jan","3.7500"
"2006-02-28","2006Feb","3.7900"
"2006-03-31","2006Mar","3.8800"
"2006-04-30","2006Apr","4.0000"
"2006-05-31","2006May","4.0400"
"2006-06-30","2006Jun","4.1400"
"2006-07-31","2006Jul","4.3000"
"2006-08-31","2006Aug","4.4000"
"2006-09-30","2006Sep","4.4600"
"2006-10-31","2006Oct","4.5900"
