market,date,cape,fwd5_ann,fwd10_ann
Asia ex Japan,2001-01,16.9,0.1229913726692542,0.11841847861704546
Australia,2001-01,23.5,0.1986548413546001,0.14695761617265846
Austria,2001-01,25.5,0.3262845606482392,0.10538940215343606
Belgium,2001-01,24.2,0.13097910362743614,0.02506649575410158
Canada,2001-01,46.6,0.12176676493645844,0.10214337710077004
Denmark,2001-01,62.0,0.10410780249406892,0.10532300653748727
Developed Markets Large,2001-01,38.3,0.03147483038627552,0.02851143452836613
Europe,2001-01,35.9,0.05411613998251896,0.04169244039703135
Finland,2001-01,121.3,-0.03501746761274671,-0.006747648748356649
France,2001-01,50.5,0.043535034588731314,0.03395097141977432
Germany,2001-01,44.8,0.030713335713923984,0.046079940183507695
Italy,2001-01,50.7,0.06552490902646091,0.015437973772485458
Japan,2001-01,63.5,0.06030997719770026,0.012757810300342287
Netherlands,2001-01,33.6,0.021421215741198818,0.03055465162441018
Norway,2001-01,23.1,0.2105946921051538,0.1303852142482298
Spain,2001-01,33.7,0.09771120244326847,0.08121131632892675
Sweden,2001-01,51.5,0.049497707186595186,0.07612772875514273
Switzerland,2001-01,42.3,0.07074523546365175,0.06067519992470016
US Large,2001-01,38.4,0.003636369306339926,0.013650883489319199
Asia ex Japan,2001-12,13.4,0.21177816653875903,0.11648895091120437
Australia,2001-12,23.1,0.25408538250549206,0.13807023623336523
Austria,2001-12,22.2,0.4049513932915594,0.06249445581096724
Belgium,2001-12,20.9,0.20903515227889446,0.02073123898077278
Canada,2001-12,34.3,0.2046732551048942,0.1174799346605484
Denmark,2001-12,41.9,0.23875535297271644,0.11370673574302281
Developed Markets Large,2001-12,30.0,0.10486834415492408,0.04152929014764073
Emerging Markets,2001-12,14.4,0.26968112321633786,0.14196000706143086
Europe,2001-12,26.5,0.15363060940557283,0.04893639942369976
Finland,2001-12,64.0,0.06885966218063921,-0.019246112520642567
France,2001-12,37.8,0.14795725468015708,0.03500221125249148
Germany,2001-12,31.8,0.1429307394712387,0.05136029716171353
Indonesia,2001-12,9.9,0.5096041329339702,0.3304139454689119
Italy,2001-12,34.1,0.19232439744151653,0.011648839161808144
Japan,2001-12,56.4,0.1364483140259718,0.03117792166772393
Netherlands,2001-12,22.9,0.12200120824745198,0.03773886236908841
Norway,2001-12,18.0,0.3173089114966523,0.13772051074496527
Spain,2001-12,26.0,0.22553344833318523,0.07702391255714147
Sweden,2001-12,33.3,0.2073854932616923,0.09652046276249515
Switzerland,2001-12,30.3,0.16115507545401808,0.07736299988542639
Thailand,2001-12,10.6,0.30372414943114023,0.2268500833432101
US Large,2001-12,30.9,0.06138204789274759,0.030011833038699143
Asia ex Japan,2002-06,13.5,0.23917247005486786,0.11775879200902772
Australia,2002-06,20.8,0.29175150968079633,0.13702190085876365
Austria,2002-06,22.7,0.38096329058723377,0.041449343372940595
Belgium,2002-06,17.9,0.2266745222409008,0.03793302291836187
Canada,2002-06,29.6,0.25348000660192493,0.11870412260245122
Denmark,2002-06,34.3,0.27317222882498315,0.12822906282150281
Developed Markets Large,2002-06,25.7,0.14550000589365908,0.057371809007384034
Emerging Markets,2002-06,14.7,0.3065827407520483,0.14423377056991238
Europe,2002-06,21.9,0.1925492234916577,0.05670220737631948
Finland,2002-06,33.9,0.21119485062340027,0.010640981803678784
France,2002-06,31.2,0.18786462325891073,0.04266433394951363
Germany,2002-06,25.9,0.20657333267940547,0.0636343024059085
Indonesia,2002-06,13.6,0.4005951360401834,0.26115225891694416
Italy,2002-06,28.7,0.20128681487747668,0.005752503896136796
Japan,2002-06,59.0,0.1249283184457195,0.026269489553379266
Netherlands,2002-06,19.6,0.15312726961598666,0.03711337173724227
Norway,2002-06,15.0,0.3509496026206582,0.13254981983333614
Spain,2002-06,19.8,0.27438158889392184,0.07156992893954706
Sweden,2002-06,23.2,0.2837450266261692,0.12306105622014907
Switzerland,2002-06,27.1,0.1616800882798739,0.0754220814568698
Thailand,2002-06,14.5,0.27344684989010637,0.20462583482935925
US Large,2002-06,26.2,0.10932354068233363,0.05514558765878874
Asia ex Japan,2002-12,12.0,0.31984981502960586,0.14952042042763947
Australia,2002-12,18.7,0.3219547109484031,0.16153997438976586
Austria,2002-12,23.1,0.36800662349546953,0.07100153455397651
Belgium,2002-12,13.9,0.24202911027277718,0.07253964812702507
Canada,2002-12,25.8,0.3052551701333672,0.14360922131103382
Denmark,2002-12,24.2,0.34249708726305816,0.16459696582631467
Developed Markets Large,2002-12,21.7,0.17525212599945306,0.08083810185757057
Emerging Markets,2002-12,13.7,0.37462565119841185,0.16884413394581643
Europe,2002-12,17.2,0.23334510925687058,0.0897082084533305
Finland,2002-12,29.2,0.2447793507368352,0.031911470176625434
France,2002-12,24.1,0.23487057294946534,0.08146813449321288
Germany,2002-12,17.3,0.31623513664025715,0.125035038814312
Indonesia,2002-12,11.6,0.5345607911768946,0.29037112424732947
Italy,2002-12,23.5,0.22506430452842063,0.031221454070944565
Japan,2002-12,56.6,0.15115130985163594,0.05063422757529823
Netherlands,2002-12,14.2,0.2198785416717377,0.08211958825737642
Norway,2002-12,11.0,0.41281774728171206,0.16638089204885853
Spain,2002-12,17.1,0.32292863913700565,0.09965469484237865
Sweden,2002-12,18.1,0.3007116193749362,0.16059767811380876
Switzerland,2002-12,21.0,0.1998067720322385,0.11010774496265285
Thailand,2002-12,15.9,0.3404987810536566,0.23374315714395322
US Large,2002-12,22.9,0.13065177383806081,0.07281421137028121
Asia ex Japan,2003-07,13.7,0.2133531343149191,0.12510747522221188
Australia,2003-07,18.6,0.23498733864041355,0.13589649846138374
Austria,2003-07,27.0,0.27493486192772143,0.049428463585255766
Belgium,2003-07,13.4,0.13983463274891883,0.07480348490551925
Canada,2003-07,26.4,0.24116273042879532,0.11734781555319995
Denmark,2003-07,23.2,0.29106126125666476,0.15550249451980847
Developed Markets Large,2003-07,23.4,0.11541883028945432,0.08160518350369439
Emerging Markets,2003-07,16.3,0.2761334331087979,0.13451741692978847
Europe,2003-07,18.0,0.16553312446130652,0.08658069230079435
Finland,2003-07,24.0,0.1799852539030491,0.03928170440430079
France,2003-07,25.0,0.1701922889634333,0.08126572666994414
Germany,2003-07,19.9,0.21393745953407595,0.10803033458558131
Indonesia,2003-07,13.6,0.4254725231292016,0.2565106658068905
Italy,2003-07,23.8,0.13818680379460946,0.016431209569693683
Japan,2003-07,69.7,0.11471574274785024,0.06012826476636812
Netherlands,2003-07,13.5,0.15733237158393343,0.09105976943145944
Norway,2003-07,12.5,0.34621879613914364,0.15200592502456134
Spain,2003-07,19.3,0.22121291687597755,0.07937861400935464
Sweden,2003-07,21.1,0.20059453534794214,0.14691940556023075
Switzerland,2003-07,22.7,0.15450367331163273,0.11368409147519687
Thailand,2003-07,25.5,0.1921361046616925,0.18858330661562595
US Large,2003-07,25.2,0.07272179556044311,0.07785084207079374
Asia ex Japan,2003-12,17.4,0.05416966363733522,0.10972510012764336
Australia,2003-12,19.3,0.059451170797677255,0.11912638379959661
Austria,2003-12,29.4,-0.007123571243864424,0.03698855756616659
Belgium,2003-12,14.6,-0.06077567074107526,0.06601881416025512
Canada,2003-12,28.3,0.059893586773036134,0.10116892076057526
Denmark,2003-12,24.7,0.08859707921008941,0.14420924225476606
Developed Markets Large,2003-12,25.5,2.3359537142164655e-05,0.07555467618457556
Emerging Markets,2003-12,20.7,0.08015195865344338,0.11524712301537288
Europe,2003-12,19.2,0.020337908605169375,0.07891383867830437
Finland,2003-12,23.1,0.023726990462535236,0.05334400005693629
France,2003-12,27.7,0.03125530371822127,0.0707444438714353
Germany,2003-12,22.9,0.05494466850416102,0.10068376295958448
Indonesia,2003-12,18.1,0.15902802729804866,0.18636295267777125
Italy,2003-12,24.1,0.0017303196729729908,0.01732847186940134
Japan,2003-12,81.5,0.010281783544505263,0.043633056227319056
Netherlands,2003-12,14.1,0.017196714439838168,0.08420724118910727
Norway,2003-12,14.1,0.06318384869344573,0.1314977890937532
Spain,2003-12,20.4,0.08813162208225056,0.07948077662050301
Sweden,2003-12,22.8,0.02646486502392742,0.12900493162265847
Switzerland,2003-12,24.4,0.05241373373875735,0.10382936956295308
Thailand,2003-12,46.1,-0.017482382134944685,0.11087036024180419
US Large,2003-12,27.8,-0.02092108210398358,0.07568551698721548
Asia ex Japan,2004-06,17.4,0.12614691530783917,0.11946631277625919
Australia,2004-06,20.3,0.10898649195763599,0.1280813657504316
Austria,2004-06,34.1,-0.00860696825191909,0.010962382015542671
Belgium,2004-06,15.4,-0.04288084972585682,0.0638676825126161
Brazil,2004-06,14.8,0.34915713693528727,0.17577905056323995
Canada,2004-06,27.0,0.10836732035283392,0.11263408602332747
Denmark,2004-06,26.0,0.10284799196849059,0.15248636418006778
Developed Markets Large,2004-06,25.4,0.00573491915918356,0.07835027557081675
Emerging Markets,2004-06,18.6,0.15084915863467008,0.12298182227117316
Europe,2004-06,19.0,0.02867131228518116,0.08154279550694188
Finland,2004-06,19.9,0.045133847857963705,0.06670491186273741
France,2004-06,28.2,0.029776026111571152,0.07253875402337395
Germany,2004-06,22.5,0.05705117550536287,0.10338851552302208
India,2004-06,16.9,0.23792885734272406,0.15435440945529977
Indonesia,2004-06,19.9,0.2650390836560441,0.2089369957660676
Italy,2004-06,23.7,-0.003996432082851942,0.025242137091114225
Japan,2004-06,92.0,-0.004964315415425302,0.033883631792739344
Netherlands,2004-06,13.9,0.027336593511262386,0.0862142870208058
Norway,2004-06,16.1,0.08447885996053772,0.12736528483408138
Spain,2004-06,19.7,0.10976166143854083,0.0906825382825105
Sweden,2004-06,24.7,0.0523316456923244,0.1185816359949412
Switzerland,2004-06,24.4,0.044369020448713714,0.10842583966477748
Thailand,2004-06,45.5,0.09115583359178059,0.14377033139167894
US Large,2004-06,27.0,-0.019716577861855766,0.07984204823502239
Asia ex Japan,2005-01,21.3,0.12228770323592175,0.09916439274974942
Australia,2005-01,23.2,0.10546899743203975,0.08221402621548002
Austria,2005-01,37.4,-0.045823500459432176,-0.05707692195817826
Belgium,2005-01,17.5,-0.044792414331963015,0.03868153854639855
Brazil,2005-01,16.9,0.30450967511123306,0.09252958381820142
Canada,2005-01,26.9,0.10581425726092375,0.07622302695177341
Denmark,2005-01,26.4,0.110342091799295,0.12568579858349094
Developed Markets Large,2005-01,25.4,0.021676532802677118,0.0665797363356897
Emerging Markets,2005-01,21.6,0.14493467035701646,0.08812903463574218
Europe,2005-01,19.7,0.036256498489744216,0.05399864423522449
Finland,2005-01,18.8,0.04571285569713224,0.051568438916718584
France,2005-01,28.2,0.04187975961046364,0.044723087729161115
Germany,2005-01,22.3,0.061399094780787644,0.0789717461001862
India,2005-01,21.1,0.19983035857247233,0.12447002009570207
Indonesia,2005-01,29.1,0.24728048334199126,0.15745166361941876
Italy,2005-01,25.3,-0.02015512386070628,-0.018956167614906483
Japan,2005-01,78.6,0.0014848645302498742,0.029193359165660127
