date,market,cape
1998-01,Australia,18.8
1998-01,Austria,36.9
1998-01,Belgium,22.5
1998-01,Canada,30.5
1998-01,Denmark,50.6
1998-01,Dev ex US Large,29.6
1998-01,Developed Markets Large,31.6
1998-01,Europe,29.4
1998-01,Europe ex UK,33.9
1998-01,Finland,73.1
1998-01,France,28.2
1998-01,Germany,36.4
1998-01,Hong Kong,12.2
1998-01,Italy,32.9
1998-01,Japan,38.7
1998-01,Netherlands,30.1
1998-01,New Zealand,13.8
1998-01,Norway,24.6
1998-01,Singapore,14.7
1998-01,Spain,27.7
1998-01,Sweden,36.8
1998-01,Switzerland,46.2
1998-01,US Large,33.8
1998-07,Australia,19.9
1998-07,Austria,41.4
1998-07,Belgium,30.8
1998-07,Canada,32.0
1998-07,Denmark,52.1
1998-07,Dev ex US Large,33.1
1998-07,Developed Markets Large,35.1
1998-07,Europe,34.6
1998-07,Europe ex UK,42.5
1998-07,Finland,106.6
1998-07,France,36.5
1998-07,Germany,47.2
1998-07,Hong Kong,9.1
1998-07,Italy,42.9
1998-07,Japan,39.5
1998-07,Netherlands,34.2
1998-07,New Zealand,14.5
1998-07,Norway,24.1
1998-07,Singapore,11.9
1998-07,Spain,37.1
1998-07,Sweden,42.6
1998-07,Switzerland,56.6
1998-07,US Large,37.4
1999-01,Australia,21.4
1999-01,Austria,28.1
1999-01,Belgium,31.8
1999-01,Canada,32.4
1999-01,Denmark,44.0
1999-01,Dev ex US Large,31.7
1999-01,Developed Markets Large,36.3
1999-01,Europe,32.7
1999-01,Europe ex UK,38.9
1999-01,Finland,120.4
1999-01,France,36.5
1999-01,Germany,41.9
1999-01,Hong Kong,12.2
1999-01,Italy,40.9
1999-01,Japan,37.0
1999-01,Netherlands,29.0
1999-01,New Zealand,14.5
1999-01,Norway,17.8
1999-01,Singapore,14.7
1999-01,Spain,33.8
1999-01,Sweden,37.8
1999-01,Switzerland,47.9
1999-01,US Large,41.8
1999-07,Australia,22.3
1999-07,Austria,28.8
1999-07,Belgium,27.6
1999-07,Canada,35.6
1999-07,Denmark,45.0
1999-07,Dev ex US Large,34.8
1999-07,Developed Markets Large,38.3
1999-07,Europe,32.8
1999-07,Europe ex UK,38.6
1999-07,Finland,133.5
1999-07,France,37.7
1999-07,Germany,39.6
1999-07,Hong Kong,16.7
1999-07,Italy,38.1
1999-07,Japan,52.5
1999-07,Netherlands,31.4
1999-07,New Zealand,15.6
1999-07,Norway,18.5
1999-07,Singapore,23.4
1999-07,Spain,31.5
1999-07,Sweden,44.2
1999-07,Switzerland,44.1
1999-07,US Large,42.4
2000-01,Asia ex Japan,20.0
2000-01,Australia,22.5
2000-01,Austria,27.1
2000-01,Belgium,25.0
2000-01,Canada,44.6
2000-01,Denmark,51.5
2000-01,Dev ex US Large,40.1
2000-01,Developed Markets Large,41.6
2000-01,Europe,36.9
2000-01,Europe ex UK,46.5
2000-01,Finland,150.0
2000-01,France,48.6
2000-01,Germany,51.2
2000-01,Hong Kong,20.0
2000-01,Ireland,25.2
2000-01,Italy,46.9
2000-01,Japan,64.5
2000-01,Netherlands,33.1
2000-01,New Zealand,14.7
2000-01,Norway,20.4
2000-01,Singapore,25.3
2000-01,Spain,35.6
2000-01,Sweden,66.3
2000-01,Switzerland,41.8
2000-01,US Large,43.1
2000-06,Asia ex Japan,18.2
2000-06,Australia,24.4
2000-06,Austria,26.5
2000-06,Belgium,25.4
2000-06,Canada,54.9
2000-06,Denmark,55.8
2000-06,Dev ex US Large,41.3
2000-06,Developed Markets Large,42.4
2000-06,Europe,38.1
2000-06,Europe ex UK,48.9
2000-06,Finland,150.0
2000-06,France,55.6
2000-06,Germany,48.5
2000-06,Hong Kong,18.2
2000-06,Ireland,21.5
2000-06,Italy,52.1
2000-06,Japan,69.5
2000-06,Netherlands,37.3
2000-06,New Zealand,14.4
2000-06,Norway,22.4
2000-06,Singapore,22.7
2000-06,Spain,35.4
2000-06,Sweden,67.9
2000-06,Switzerland,43.7
2000-06,US Large,43.1
2001-01,Asia ex Japan,16.9
2001-01,Australia,23.5
2001-01,Austria,25.5
2001-01,Belgium,24.2
2001-01,Canada,46.6
2001-01,Denmark,62.0
2001-01,Dev ex US Large,37.8
2001-01,Developed Markets Large,38.3
2001-01,Europe,35.9
2001-01,Europe ex UK,44.0
2001-01,Finland,121.3
2001-01,France,50.5
2001-01,Germany,44.8
2001-01,Hong Kong,16.9
2001-01,Ireland,22.3
2001-01,Italy,50.7
2001-01,Japan,63.5
2001-01,Netherlands,33.6
2001-01,New Zealand,13.1
2001-01,Norway,23.1
2001-01,Singapore,20.8
2001-01,Spain,33.7
2001-01,Sweden,51.5
2001-01,Switzerland,42.3
2001-01,US Large,38.4
2001-12,Asia ex Japan,13.4
2001-12,Australia,23.1
2001-12,Austria,22.2
2001-12,Belgium,20.9
2001-12,Canada,34.3
2001-12,Denmark,41.9
2001-12,Dev ex US Large,28.6
2001-12,Developed Markets Large,30.0
2001-12,Emerging Markets,14.4
2001-12,Europe,26.5
2001-12,Europe ex UK,31.0
2001-12,Finland,64.0
2001-12,France,37.8
2001-12,Germany,31.8
2001-12,Hong Kong,12.7
2001-12,Indonesia,9.9
2001-12,Ireland,20.4
2001-12,Italy,34.1
2001-12,Japan,56.4
2001-12,Malaysia,20.2
2001-12,Mexico,14.2
2001-12,Netherlands,22.9
2001-12,New Zealand,14.0
2001-12,Norway,18.0
2001-12,Philippines,8.6
2001-12,Portugal,19.4
2001-12,Singapore,16.1
2001-12,Spain,26.0
2001-12,Sweden,33.3
2001-12,Switzerland,30.3
2001-12,Thailand,10.6
2001-12,Turkey,12.1
2001-12,US Large,30.9
2002-06,Asia ex Japan,13.5
2002-06,Australia,20.8
2002-06,Austria,22.7
2002-06,Belgium,17.9
2002-06,Canada,29.6
2002-06,Chile,15.2
2002-06,Denmark,34.3
2002-06,Dev ex US Large,24.9
2002-06,Developed Markets Large,25.7
2002-06,Emerging Markets,14.7
2002-06,Europe,21.9
2002-06,Europe ex UK,25.1
2002-06,Finland,33.9
2002-06,France,31.2
2002-06,Germany,25.9
2002-06,Hong Kong,12.3
2002-06,Indonesia,13.6
2002-06,Ireland,14.4
2002-06,Italy,28.7
2002-06,Japan,59.0
2002-06,Malaysia,21.7
2002-06,Mexico,14.3
2002-06,Netherlands,19.6
2002-06,New Zealand,13.9
2002-06,Norway,15.0
2002-06,Philippines,8.2
2002-06,Portugal,16.3
2002-06,Singapore,15.4
2002-06,Spain,19.8
2002-06,Sweden,23.2
2002-06,Switzerland,27.1
2002-06,Thailand,14.5
2002-06,Turkey,7.2
2002-06,US Large,26.2
2002-12,Asia ex Japan,12.0
2002-12,Australia,18.7
2002-12,Austria,23.1
2002-12,Belgium,13.9
2002-12,Canada,25.8
2002-12,Chile,14.9
2002-12,Denmark,24.2
2002-12,Dev ex US Large,20.0
2002-12,Developed Markets Large,21.7
2002-12,Emerging Markets,13.7
2002-12,Europe,17.2
2002-12,Europe ex UK,19.2
2002-12,Finland,29.2
2002-12,France,24.1
2002-12,Germany,17.3
2002-12,Hong Kong,10.6
2002-12,Indonesia,11.6
2002-12,Ireland,11.2
2002-12,Italy,23.5
2002-12,Japan,56.6
2002-12,Malaysia,19.5
2002-12,Mexico,13.3
2002-12,Netherlands,14.2
2002-12,New Zealand,13.4
2002-12,Norway,11.0
2002-12,Philippines,7.1
2002-12,Portugal,13.5
2002-12,Singapore,13.3
2002-12,Spain,17.1
2002-12,Sweden,18.1
2002-12,Switzerland,21.0
2002-12,Thailand,15.9
2002-12,Turkey,7.2
2002-12,US Large,22.9
2003-07,Asia ex Japan,13.7
2003-07,Australia,18.6
2003-07,Austria,27.0
2003-07,Belgium,13.4
2003-07,Canada,26.4
2003-07,Chile,20.2
2003-07,Colombia,14.4
2003-07,Denmark,23.2
2003-07,Dev ex US Large,21.1
2003-07,Developed Markets Large,23.4
2003-07,Emerging Markets,16.3
2003-07,Europe,18.0
2003-07,Europe ex UK,20.0
2003-07,Finland,24.0
2003-07,France,25.0
2003-07,Germany,19.9
2003-07,Hong Kong,11.6
2003-07,Indonesia,13.6
2003-07,Ireland,11.7
2003-07,Italy,23.8
2003-07,Japan,69.7
2003-07,Malaysia,21.5
2003-07,Mexico,15.7
2003-07,Netherlands,13.5
2003-07,New Zealand,15.3
2003-07,Norway,12.5
2003-07,Philippines,9.4
2003-07,Portugal,13.0
2003-07,Singapore,15.7
2003-07,Spain,19.3
2003-07,Sweden,21.1
2003-07,Switzerland,22.7
2003-07,Thailand,25.5
2003-07,Turkey,7.2
2003-07,US Large,25.2
2003-12,Asia ex Japan,17.4
2003-12,Australia,19.3
2003-12,Austria,29.4
2003-12,Belgium,14.6
2003-12,Canada,28.3
2003-12,Chile,22.9
2003-12,Colombia,17.0
2003-12,Denmark,24.7
2003-12,Dev ex US Large,22.9
2003-12,Developed Markets Large,25.5
2003-12,Emerging Markets,20.7
2003-12,Europe,19.2
2003-12,Europe ex UK,21.6
2003-12,Finland,23.1
2003-12,France,27.7
