month,date,market,level
2000-12,2000-12-29,ACWI,379.859
2001-01,2001-01-31,ACWI,389.463
2001-02,2001-02-28,ACWI,356.694
2001-03,2001-03-30,ACWI,332.683
2001-04,2001-04-30,ACWI,356.915
2001-05,2001-05-31,ACWI,352.936
2001-06,2001-06-29,ACWI,342.123
2001-07,2001-07-31,ACWI,336.731
2001-08,2001-08-31,ACWI,321.256
2001-09,2001-09-28,ACWI,291.911
2001-10,2001-10-31,ACWI,298.114
2001-11,2001-11-30,ACWI,316.448
2001-12,2001-12-31,ACWI,319.414
2002-01,2002-01-31,ACWI,310.662
2002-02,2002-02-28,ACWI,308.38
2002-03,2002-03-29,ACWI,322.306
2002-04,2002-04-30,ACWI,312.098
2002-05,2002-05-31,ACWI,312.539
2002-06,2002-06-28,ACWI,293.466
2002-07,2002-07-31,ACWI,268.855
2002-08,2002-08-30,ACWI,269.55
2002-09,2002-09-30,ACWI,239.985
2002-10,2002-10-31,ACWI,257.657
2002-11,2002-11-29,ACWI,271.751
2002-12,2002-12-31,ACWI,258.795
2003-01,2003-01-31,ACWI,251.242
2003-02,2003-02-28,ACWI,246.839
2003-03,2003-03-31,ACWI,245.906
2003-04,2003-04-30,ACWI,267.866
2003-05,2003-05-30,ACWI,283.454
2003-06,2003-06-30,ACWI,288.898
2003-07,2003-07-31,ACWI,295.309
2003-08,2003-08-29,ACWI,302.319
2003-09,2003-09-30,ACWI,304.25
2003-10,2003-10-31,ACWI,322.707
2003-11,2003-11-28,ACWI,327.651
2003-12,2003-12-31,ACWI,348.427
2004-01,2004-01-30,ACWI,354.398
2004-02,2004-02-27,ACWI,360.938
2004-03,2004-03-31,ACWI,359.016
2004-04,2004-04-30,ACWI,350.775
2004-05,2004-05-31,ACWI,353.734
2004-06,2004-06-30,ACWI,360.883
2004-07,2004-07-30,ACWI,349.435
2004-08,2004-08-31,ACWI,351.704
2004-09,2004-09-30,ACWI,359.114
2004-10,2004-10-29,ACWI,367.976
2004-11,2004-11-30,ACWI,388.189
2004-12,2004-12-31,ACWI,403.32
2005-01,2005-01-31,ACWI,394.851
2005-02,2005-02-28,ACWI,408.714
2005-03,2005-03-31,ACWI,399.872
2005-04,2005-04-29,ACWI,391.319
2005-05,2005-05-31,ACWI,398.919
2005-06,2005-06-30,ACWI,403.128
2005-07,2005-07-29,ACWI,418.142
2005-08,2005-08-31,ACWI,421.512
2005-09,2005-09-30,ACWI,434.312
2005-10,2005-10-31,ACWI,422.695
2005-11,2005-11-30,ACWI,438.304
2005-12,2005-12-30,ACWI,449.192
2006-01,2006-01-31,ACWI,471.404
2006-02,2006-02-28,ACWI,470.903
2006-03,2006-03-31,ACWI,481.011
2006-04,2006-04-28,ACWI,497.265
2006-05,2006-05-31,ACWI,478.081
2006-06,2006-06-30,ACWI,478.069
2006-07,2006-07-31,ACWI,481.45
2006-08,2006-08-31,ACWI,494.175
2006-09,2006-09-29,ACWI,500.069
2006-10,2006-10-31,ACWI,518.923
2006-11,2006-11-30,ACWI,533.849
2006-12,2006-12-29,ACWI,545.897
2007-01,2007-01-31,ACWI,551.446
2007-02,2007-02-28,ACWI,548.758
2007-03,2007-03-30,ACWI,559.995
2007-04,2007-04-30,ACWI,585.165
2007-05,2007-05-31,ACWI,603.106
2007-06,2007-06-29,ACWI,601.549
2007-07,2007-07-31,ACWI,592.502
2007-08,2007-08-31,ACWI,591.114
2007-09,2007-09-28,ACWI,623.033
