month,ACWI,Asia ex Japan,Australia,Austria,Belgium,Brazil,Canada,China,Denmark,Developed Markets Large,EM Asia,Emerging Markets,Europe,Finland,France,Germany,India,Indonesia,Italy,Japan,Netherlands,Nordics,Norway,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,US Large,United Kingdom
2000-12,379.859,290.763,1144.74,1522.36,6891.032,1215.556,2319.254,26.344,6114.477,3249.513,181.038,458.257,4413.643,1167.17,4586.859,3523.562,128.478,106.516,997.744,4138.857,9970.487,11000.941,2944.554,193.525,94.371,2061.685,11486.597,5575.773,216.621,82.246,3801.778,4338.29
2001-01,389.463,328.205,1190.977,1567.358,6717.062,1377.035,2432.939,30.164,6831.821,3312.626,216.41,521.359,4415.919,968.379,4595.985,3655.034,139.776,117.49,1015.165,4089.682,9903.133,10741.864,2996.611,205.069,120.342,2259.843,12379.819,5457.706,279.973,107.641,3940.799,4266.842
2001-02,356.694,312.699,1137.805,1669.192,6724.971,1235.316,2045.501,27.412,6213.979,3033.04,203.423,480.536,4028.497,660.843,4081.088,3359.451,134.69,116.127,913.206,3905.828,9259.763,8631.452,2947.352,205.904,111.791,2131.849,10365.148,5097.269,259.68,103.652,3588.647,3984.492
2001-03,332.683,277.294,1018.786,1590.229,6119.18,1095.243,1858.976,22.966,5632.015,2834.397,181.68,433.338,3729.287,677.379,3797.308,3008.148,110.976,94.453,855.713,3792.919,8424.865,7643.251,2714.256,178.052,96.686,2013.156,8060.633,4601.655,255.681,86.102,3359.872,3804.623
2001-04,356.915,277.709,1138.834,1627.39,6076.247,1151.313,1991.653,25.297,5786.05,3044.611,181.783,454.75,3997.647,902.705,4138.731,3219.865,108.469,79.09,903.144,4050.79,9025.392,9065.439,2923.479,198.944,110.218,2112.748,9298.254,4725.202,237.629,88.491,3621.65,4043.333
2001-05,352.936,277.282,1145.562,1534.882,5824.014,1091.743,2028.982,25.987,5783.622,3006.796,183.319,460.178,3807.214,800.431,3878.715,3021.649,112.837,97.252,827.03,4041.107,8695.534,8473.769,2909.669,210.464,118.565,1970.445,8789.181,4670.336,221.304,89.283,3643.445,3908.827
2001-06,342.123,270.637,1183.7,1499.278,5992.442,1075.684,1952.276,26.844,5683.484,2913.016,179.803,450.732,3665.046,647.542,3737.324,3005.458,107.006,102.764,794.532,3800.541,8490.314,7651.525,2808.24,202.899,111.873,1831.187,8310.765,4477.052,214.714,91.306,3560.065,3775.585
2001-07,336.731,260.395,1122.626,1607.982,6386.623,998.787,1943.584,23.208,5878.527,2874.656,169.992,422.25,3674.579,632.905,3755.895,3019.375,103.506,125.053,811.526,3517.391,8417.506,7661.357,2781.224,178.962,103.899,1826.662,8383.923,4433.875,192.431,81.916,3526.865,3779.322
2001-08,321.256,256.325,1129.913,1615.799,6513.912,913.635,1838.407,18.185,5556.749,2737.233,170.021,418.085,3579.836,490.427,3627.478,2804.191,102.064,130.87,803.202,3429.435,8389.005,6848.337,2740.915,187.493,107.341,1858.235,7910.315,4429.637,199.53,98.128,3292.648,3743.486
2001-09,291.911,216.04,989.585,1463.528,5891.442,761.231,1667.555,17.566,5070.537,2496.401,144.466,353.374,3222.643,487.151,3203.475,2348.639,87.862,105.244,692.546,3111.391,7271.367,6143.177,2334.946,159.005,89.902,1646.731,6634.019,4225.197,156.283,80.37,3040.927,3497.203
2001-10,298.114,227.692,1077.369,1363.059,5695.523,803.315,1669.882,18.014,5172.2,2544.471,154.216,375.304,3324.848,610.552,3364.088,2451.925,93.744,95.282,714.636,3104.92,7295.725,6841.058,2366.961,162.108,103.996,1722.36,7139.236,4221.508,172.823,77.128,3085.453,3564.701
2001-11,316.448,258.139,1161.788,1430.331,5879.637,883.795,1823.667,19.77,5229.042,2695.385,176.232,414.487,3458.373,671.467,3463.252,2667.151,103.342,91.759,727.902,3138.577,7621.071,7508.635,2481.351,166.445,130.33,1837.37,8184.174,4313.433,196.509,88.383,3323.252,3642.407
2001-12,319.414,279.602,1175.192,1445.54,6190.151,1009.02,1853.024,19.836,5234.781,2712.658,192.237,447.387,3546.982,725.83,3573.616,2748.614,103.487,97.48,737.326,2926.88,7814.935,7847.134,2600.205,160.227,140.339,1834.739,8412.686,4400.502,239.305,86.565,3344.37,3728.844
2002-01,310.662,290.78,1178.379,1450.646,5860.144,944.968,1839.669,17.975,4956.312,2630.77,201.262,462.548,3361.993,664.478,3346.798,2624.34,105.312,119.057,711.155,2697.803,7510.196,7216.672,2500.85,167.297,151.269,1697.943,7611.358,4156.265,250.482,102.958,3297.208,3571.653
2002-02,308.38,292.938,1186.132,1492.998,5797.071,1079.682,1820.756,18.12,5075.234,2608.413,207.158,470.147,3361.437,632.088,3375.386,2589.72,111.946,120.464,709.516,2809.885,7530.657,7191.613,2596.226,176.259,166.817,1722.046,7773.655,4276.276,238.586,111.682,3232.827,3554.423
2002-03,322.306,312.602,1228.464,1598.425,5934.2,1080.605,1886.592,19.142,5275.622,2724.27,221.972,498.427,3544.68,639.859,3554.38,2797.28,111.309,135.114,754.643,2973.761,8186.486,7431.733,2817.958,179.79,181.914,1758.147,8074.06,4553.756,259.981,111.427,3353.375,3718.913
2002-04,312.098,315.767,1213.412,1718.182,6209.043,1071.34,1872.031,19.979,5088.723,2632.752,222.526,501.662,3520.562,530.281,3501.528,2716.873,106.388,160.291,760.409,3146.886,8157.761,6667.105,2840.056,196.016,181.91,1807.514,7313.866,4684.798,254.349,111.595,3135.884,3730.775
2002-05,312.539,308.635,1289.579,1735.154,6404.864,991.681,1913.117,20.285,5208.866,2638.855,218.61,493.669,3514.063,493.841,3520.247,2693.572,99.704,171.684,747.341,3343.084,8221.346,6527.207,2919.84,215.738,182.518,1815.727,7219.735,4866.948,244.267,125.931,3112.559,3669.779
2002-06,293.466,293.304,1227.987,1755.569,6295.121,809.138,1805.303,19.603,5272.172,2479.285,208.923,456.633,3393.516,500.356,3422.83,2614.951,102.713,161.083,753.694,3168.994,7969.007,6484.627,2836.506,193.89,175.759,1649.614,7032.68,4673.944,223.842,119.072,2875.354,3514.789
2002-07,268.855,282.174,1135.963,1591.645,5437.114,574.843,1602.597,18.747,4599.705,2270.613,200.627,421.903,3016.277,428.29,2964.666,2183.234,95.463,149.782,677.437,2948.876,6552.012,5589.972,2550.163,163.45,171.139,1476.909,6004.111,4112.068,210.107,112.49,2668.65,3278.182
2002-08,269.55,277.179,1164.471,1589.919,5473.385,705.842,1622.85,18.382,4747.559,2275.335,198.449,428.404,3016.468,445.812,2917.62,2192.703,101.414,144.938,686.909,2917.643,6690.759,5678.732,2503.25,169.076,171.878,1543.224,5972.137,4106.56,199.899,108.45,2681.354,3243.989
2002-09,239.985,246.661,1101.353,1495.448,4564.759,492.259,1492.735,16.918,4112.181,2025.606,174.471,382.183,2619.713,428.012,2470.17,1658.749,96.49,135.53,592.227,2789.275,5499.677,5036.598,2180.681,169.342,147.498,1293.435,4961.962,3838.026,169.684,98.626,2378.786,2908.199
2002-10,257.657,259.183,1161.262,1517.536,4957.242,632.611,1538.213,17.015,4225.458,2175.475,182.859,406.982,2873.056,522.73,2791.179,1890.656,96.377,111.81,641.339,2595.206,6219.442,5805.491,2290.016,176.859,154.744,1485.34,5761.617,3968.278,188.407,107.365,2594.869,3136.094
2002-11,271.751,272.953,1193.907,1513.852,5163.37,639.993,1628.53,17.719,4397.021,2293.254,195.265,434.996,3014.194,591.85,2909.12,1997.784,106.404,125.109,701.253,2700.473,6585.729,6497.715,2483.514,193.923,174.493,1636.203,6591.881,4067.543,192.378,111.345,2751.065,3230.482
2002-12,258.795,256.317,1171.921,1695.351,5309.472,699.732,1616.177,17.05,4416.46,2182.57,183.109,420.543,2905.187,508.535,2829.057,1844.45,112.154,139.225,690.695,2630.935,6231.49,5852.601,2426.841,205.081,152.441,1560.783,5883.395,3962.327,180.788,110.447,2584.929,3160.764
2003-01,251.242,258.419,1193.008,1729.224,5018.851,676.456,1661.775,17.865,4222.652,2116.624,186.169,418.712,2768.042,457.638,2734.665,1800.706,107.529,121.882,680.231,2524.337,5840.93,5527.922,2289.087,197.833,145.828,1579.736,5802.459,3826.958,202.741,118.393,2522.505,2937.851
2003-02,246.839,247.989,1177.557,1754.386,4444.333,650.819,1720.461,17.42,4031.862,2080.382,176.339,407.411,2677.78,440.826,2600.651,1676.095,109.065,126.545,701.369,2539.222,5409.531,5352.782,2062.766,199.755,139.403,1601.893,5766.696,3624.311,178.32,115.147,2484.112,2890.517
2003-03,245.906,236.372,1221.816,1782.413,4395.36,740.454,1698.68,16.749,4407.897,2074.666,167.491,395.859,2639.297,455.665,2504.303,1612.966,100.935,127.944,646.048,2427.136,5255.156,5443.223,2075.102,189.949,126.247,1589.655,5629.963,3609.931,175.694,118.591,2507.246,2887.721
2003-04,267.866,243.831,1318.803,1921.007,5194.896,896.302,1806.891,16.771,4980.403,2259.956,175.023,431.119,2999.523,545.55,2898.567,1995.12,96.523,153.552,734.403,2408.211,5945.599,6480.463,2410.568,201.097,144.175,1814.162,6838.283,4036.014,170.821,123.032,2716.722,3188.099
2003-05,283.454,264.871,1364.034,2027.935,5748.974,917.858,1962.052,18.914,5324.753,2390.22,190.055,462.061,3197.639,572.074,3112.065,2128.993,104.39,179.921,819.344,2525.231,6324.618,6838.074,2675.071,207.412,153.006,1901.163,7142.525,4287.146,188.668,138.247,2862.49,3383.795
2003-06,288.898,281.558,1419.681,2092.113,5753.676,919.355,2014.731,20.126,5301.997,2432.475,204.933,488.396,3230.506,540.571,3163.25,2239.22,119.296,189.514,807.388,2711.492,6372.927,6710.321,2674.468,215.794,165.094,1962.393,7190.092,4282.892,203.007,152.852,2897.97,3412.79
2003-07,295.309,305.553,1415.242,2079.052,5886.235,970.045,2021.503,22.121,5194.732,2482.328,223.958,518.983,3296.792,525.418,3219.28,2371.823,127.459,179.83,805.319,2821.545,6658.732,6832.701,2843.268,230.273,183.14,2000.62,7649.989,4451.61,228.191,156.84,2951.784,3434.062
2003-08,302.319,329.012,1450.793,2069.1,5788.388,1068.169,2127.623,23.593,5658.81,2536.553,239.592,553.817,3291.039,558.456,3242.851,2332.349,143.917,183.085,779.232,3118.913,6807.223,7127.68,2893.559,245.251,193.717,1970.769,7780.617,4410.973,248.571,174.213,3007.171,3410.616
2003-09,304.25,331.505,1509.556,2189.029,6141.635,1087.546,2164.844,23.776,5871.918,2552.643,237.362,557.877,3358.047,535.884,3256.712,2315.285,152.21,216.498,809.099,3305.05,6717.254,7158.493,2866.831,248.452,181.266,1963.18,8041.772,4603.111,250.084,189.925,2972.457,3531.194
2003-10,322.707,359.905,1637.495,2309.205,6437.765,1205.662,2311.168,27.389,6246.829,2704.634,261.607,605.351,3582.932,592.931,3479.337,2590.942,168.161,222.573,848.669,3456.341,7128.464,7823.09,3230.402,274.173,201.944,2098.865,8729.766,4705.327,267.25,201.415,3142.133,3771.08
2003-11,327.651,355.473,1634.583,2478.235,6664.48,1277.863,2380.493,27.664,6217.598,2746.464,257.72,612.79,3735.513,625.73,3658.977,2728.723,172.275,220.208,916.762,3349.682,7378.691,8111.25,3378.808,294.526,201.592,2204.353,9032.853,4956.298,251.612,206.145,3172.555,3883.079
2003-12,348.427,376.735,1773.777,2675.001,7268.736,1504.477,2510.825,31.98,6635.586,2919.442,276.441,657.215,4042.325,612.734,3989.923,3039.512,200.042,248.097,959.732,3582.084,8056.386,8466.613,3629.456,299.138,207.231,2484.887,9771.235,5349.206,257.711,270.103,3337.41,4174.041
2004-01,354.398,399.694,1771.312,2909.837,7601.933,1444.002,2537.856,31.774,6938.043,2966.932,291.021,680.556,4089.993,691.968,4020.031,3074.307,195.205,273.348,979.318,3646.898,8022.448,9021.783,3657.6,296.979,229.054,2512.615,10140.479,5488.946,280.281,247.203,3397.874,4161.313
