Date,Price
2026-12-31,$6.07
2025-12-31,$4.84
2024-12-31,$4.22
2023-12-31,$3.87
2022-12-31,$3.98
2021-12-31,$4.24
2020-12-31,$2.80
2019-12-31,$2.72
2018-12-31,$2.94
2017-12-31,$2.82
2016-12-31,$2.20
2015-12-31,$2.50
2014-12-31,$3.12
2013-12-31,$3.34
2012-12-31,$3.61
2011-12-31,$4.00
2010-12-31,$3.43
2009-12-31,$2.36
2008-12-31,$3.13
2007-12-31,$3.23
2006-12-31,$3.10
2005-12-31,$1.69
2004-12-31,$1.29
2003-12-31,$0.81
2002-12-31,$0.72
2001-12-31,$0.72
2000-12-31,$0.84
1999-12-31,$0.72
1998-12-31,$0.75
1997-12-31,$1.04
1996-12-31,$1.06
1995-12-31,$1.36
1994-12-31,$1.11
1993-12-31,$0.91
1992-12-31,$1.07
1991-12-31,$1.09
1990-12-31,$1.23
1989-12-31,$1.31
1988-12-31,$1.20
1987-12-31,$0.83
1986-12-31,$0.66
1985-12-31,$0.67
1984-12-31,$0.67
1983-12-31,$0.76
1982-12-31,$0.73
1981-12-31,$0.84
1980-12-31,$1.01
1979-12-31,$0.92
1978-12-31,$0.66
1977-12-31,$0.66
1976-12-31,$0.69
1975-12-31,$0.65
1974-12-31,$0.77
1973-12-31,$0.60
1972-12-31,$0.51
1971-12-31,$0.52
1970-12-31,$0.62
1969-12-31,$0.62
1968-12-31,$0.51
1967-12-31,$0.49
1966-12-31,$0.63
1965-12-31,$0.49
1964-12-31,$0.40
1963-12-31,$0.30
1962-12-31,$0.29
1961-12-31,$0.30
1960-12-31,$0.30
1959-12-31,$0.31
