Data,MSCI ACWI IMI
05/1994,10000
06/1994,10018.286613013453
07/1994,10175.782408028635
08/1994,10510.40246151542
09/1994,10277.825453342613
10/1994,10500.447803578061
11/1994,9996.286506913651
12/1994,10087.781983629426
01/1995,9883.102982340624
02/1995,9940.30325820011
03/1995,10389.074216811827
04/1995,10709.402002789802
05/1995,10778.17963944791
06/1995,10804.174091052355
07/1995,11332.83195975697
08/1995,11138.076410581272
09/1995,11403.79400411293
10/1995,11174.524813311156
11/1995,11490.32775477215
12/1995,11825.47830727127
01/1996,12039.238203418287
02/1996,12136.662786742518
03/1996,12324.896318648913
04/1996,12711.349246223315
05/1996,12742.867128720904
06/1996,12747.766443128945
07/1996,12199.573728440677
08/1996,12387.744848698561
09/1996,12795.761000833196
10/1996,12774.47862869126
11/1996,13350.569350263535
12/1996,13174.069208277035
01/1997,13313.93371258812
02/1997,13449.210960733712
03/1997,13144.954174247083
04/1997,13390.949686849555
05/1997,14310.304475227258
06/1997,14973.896328010662
07/1997,15561.189940490494
08/1997,14649.07490333996
09/1997,15349.520834568566
10/1997,14449.576068877497
11/1997,14496.821686799625
12/1997,14635.406752316254
01/1998,14899.314408041118
02/1998,15954.820207643555
03/1998,16617.600708996328
04/1998,16764.392906292032
05/1998,16424.779920924444
06/1998,16593.977900035265
07/1998,16477.20570567291
08/1998,14056.22665414273
09/1998,14358.392650404272
10/1998,15590.398591993207
11/1998,16464.442523552596
12/1998,17243.15266201284
01/1999,17555.6477861028
02/1999,17056.354598022175
03/1999,17830.72712691097
04/1999,18729.5172771046
05/1999,18163.412419293938
06/1999,19091.286397693264
07/1999,19068.662175108362
08/1999,19111.19571356798
09/1999,18999.884538450257
10/1999,19914.71448231098
11/1999,20781.144192752137
12/1999,22531.35405192025
01/2000,21490.733430487468
02/2000,22101.462616982837
03/2000,22977.472515470294
04/2000,21565.658614523818
05/2000,20798.80668928049
06/2000,21736.91617803547
07/2000,21020.05598324872
08/2000,21992.054997144667
09/2000,20836.628148277596
10/2000,20158.21352897305
11/2000,18673.7836749851
12/2000,19070.31608379388
01/2001,19617.073330566418
02/2001,17927.371564628826
03/2001,16643.50154312801
04/2001,17897.13312092569
05/2001,17762.136725198394
06/2001,17276.012394953395
07/2001,16863.5962215988
08/2001,16150.04384418308
09/2001,14556.112752884199
10/2001,14976.392793951061
11/2001,15874.059534471515
12/2001,16086.290345230034
01/2002,15660.98616645811
02/2002,15535.569958777107
03/2002,16320.177998021552
04/2002,15965.711040308564
05/2002,15996.230336429993
06/2002,15022.577413848521
07/2002,13747.039347423804
08/2002,13790.883530502135
09/2002,12359.253931153711
10/2002,13168.202513317086
11/2002,13878.634308307304
12/2002,13257.888052226068
01/2003,12878.081965217989
02/2003,12651.465269477896
03/2003,12618.324684119045
04/2003,13715.17820085941
05/2003,14577.551154147412
06/2003,14866.517086749072
07/2003,15216.646434890608
08/2003,15622.197326909096
09/2003,15732.010622462578
10/2003,16709.00256823934
11/2003,16977.965567493517
12/2003,17970.40439627652
01/2004,18336.32389149111
02/2004,18698.779540213385
03/2004,18673.34679344553
04/2004,18179.20256636699
05/2004,18321.46991914571
06/2004,18725.210873357402
07/2004,18083.556715025297
08/2004,18180.76285757974
09/2004,18596.61167160239
10/2004,19048.315977694077
11/2004,20126.165147463125
12/2004,20921.851254318106
01/2005,20502.382564681873
02/2005,21208.383132627874
03/2005,20743.1354988095
04/2005,20245.65224853567
05/2005,20681.47279008154
06/2005,20952.932255276122
07/2005,21768.87094207263
08/2005,21925.02488664485
09/2005,22554.38395022047
10/2005,21949.27181209101
11/2005,22753.196256549323
12/2005,23337.057228361104
01/2006,24554.80210826549
02/2006,24510.333808702057
03/2006,25086.923823462414
04/2006,25891.097914514765
05/2006,24855.064549247472
06/2006,24814.153713649117
07/2006,24913.7627046712
08/2006,25557.25800663436
09/2006,25836.331692947173
10/2006,26823.15347336427
11/2006,27625.580038258344
