Date,Value
"Jul 28, 2026","40,57"
"Jul 1, 2026","41,13"
"Jun 1, 2026","40,5"
"May 1, 2026","40,28"
"apr 1, 2026","38,15"
"mar 1, 2026","37,04"
"feb 1, 2026","39,02"
"Jan 1, 2026","40,05"
"Dec 1, 2025","39,59"
"nov 1, 2025","39,16"
"Oct 1, 2025","39,31"
"Sep 1, 2025","38,59"
"Aug 1, 2025","38,25"
"Jul 1, 2025","37,48"
"Jun 1, 2025","36,12"
"May 1, 2025","35,08"
"apr 1, 2025","33,03"
"mar 1, 2025","35,19"
"feb 1, 2025","37,19"
"Jan 1, 2025","37,14"
"Dec 1, 2024","38,12"
"nov 1, 2024","37,36"
"Oct 1, 2024","36,59"
"Sep 1, 2024","36,1"
"Aug 1, 2024","35,08"
"Jul 1, 2024","35,48"
"Jun 1, 2024","35,21"
"May 1, 2024","34,18"
"apr 1, 2024","33,03"
"mar 1, 2024","34,16"
"feb 1, 2024","33,04"
"Jan 1, 2024","32,37"
"Dec 1, 2023","31,45"
"nov 1, 2023","30,01"
"Oct 1, 2023","29,1"
"Sep 1, 2023","30,2"
"Aug 1, 2023","30,09"
"Jul 1, 2023","31,29"
"Jun 1, 2023","30,34"
"May 1, 2023","29,16"
"apr 1, 2023","29,17"
"mar 1, 2023","28,34"
"feb 1, 2023","29,32"
"Jan 1, 2023","28,34"
"Dec 1, 2022","28,32"
"nov 1, 2022","28,38"
"Oct 1, 2022","27,08"
"Sep 1, 2022","28,23"
"Aug 1, 2022","31,1"
"Jul 1, 2022",29
"Jun 1, 2022","29,05"
"May 1, 2022","31,07"
"apr 1, 2022","34,29"
"mar 1, 2022","34,27"
"feb 1, 2022","35,29"
"Jan 1, 2022","37,34"
"Dec 1, 2021","38,31"
"nov 1, 2021","38,58"
"Oct 1, 2021","37,25"
"Sep 1, 2021","38,02"
"Aug 1, 2021","38,37"
"Jul 1, 2021","37,44"
"Jun 1, 2021","37,1"
"May 1, 2021","36,55"
"apr 1, 2021","37,12"
"mar 1, 2021","35,04"
"feb 1, 2021","35,1"
"Jan 1, 2021","34,51"
"Dec 1, 2020","34,17"
"nov 1, 2020","32,47"
"Oct 1, 2020","31,28"
"Sep 1, 2020","31,24"
"Aug 1, 2020","31,16"
"Jul 1, 2020",30
"Jun 1, 2020","29,24"
"May 1, 2020","27,33"
"apr 1, 2020","26,33"
"mar 1, 2020","25,22"
"feb 1, 2020","31,13"
"Jan 1, 2020","31,39"
"Dec 1, 2019","30,33"
"nov 1, 2019","30,24"
"Oct 1, 2019","29,24"
"Sep 1, 2019","29,23"
"Aug 1, 2019","29,11"
"Jul 1, 2019","30,39"
"Jun 1, 2019","29,28"
"May 1, 2019","29,24"
"apr 1, 2019","30,13"
"mar 1, 2019","29,58"
"feb 1, 2019","29,54"
"Jan 1, 2019","28,38"
"Dec 1, 2018","28,29"
"nov 1, 2018","30,2"
"Oct 1, 2018","31,04"
"Sep 1, 2018","33,02"
"Aug 1, 2018","32,39"
"Jul 1, 2018","32,29"
"Jun 1, 2018","32,03"
"May 1, 2018","31,24"
"apr 1, 2018","31,37"
"mar 1, 2018","32,21"
"feb 1, 2018","32,04"
"Jan 1, 2018","33,31"
"Dec 1, 2017","32,09"
"nov 1, 2017","31,3"
"Oct 1, 2017","31,32"
"Sep 1, 2017","30,17"
"Aug 1, 2017","30,31"
"Jul 1, 2017",30
"Jun 1, 2017","30,15"
"May 1, 2017","29,31"
"apr 1, 2017","29,3"
"mar 1, 2017","29,09"
"feb 1, 2017","29,06"
"Jan 1, 2017","28,06"
"Dec 1, 2016","28,27"
"nov 1, 2016","27,25"
"Oct 1, 2016","26,53"
"Sep 1, 2016","27,13"
"Aug 1, 2016","27,35"
"Jul 1, 2016","27,09"
"Jun 1, 2016","26,24"
"May 1, 2016","26,09"
"apr 1, 2016","26,32"
"mar 1, 2016","25,37"
"feb 1, 2016",24
"Jan 1, 2016","24,21"
"Dec 1, 2015","26,37"
"nov 1, 2015","26,23"
"Oct 1, 2015","25,49"
"Sep 1, 2015","24,5"
"Aug 1, 2015","26,09"
"Jul 1, 2015","26,38"
"Jun 1, 2015","26,5"
"May 1, 2015","27,21"
"apr 1, 2015","27,19"
"mar 1, 2015","27,13"
"feb 1, 2015",27
"Jan 1, 2015","26,49"
"Dec 1, 2014","27,19"
"nov 1, 2014","27,01"
"Oct 1, 2014","25,16"
"Sep 1, 2014","26,32"
"Aug 1, 2014","26,02"
"Jul 1, 2014","26,22"
"Jun 1, 2014","25,56"
"May 1, 2014","25,34"
"apr 1, 2014","25,19"
"mar 1, 2014","25,36"
"feb 1, 2014","24,59"
"Jan 1, 2014","25,26"
"Dec 1, 2013","25,26"
"nov 1, 2013","25,04"
"Oct 1, 2013","24,23"
"Sep 1, 2013","23,44"
"Aug 1, 2013","23,36"
"Jul 1, 2013","23,49"
"Jun 1, 2013","23,33"
"May 1, 2013","23,41"
"apr 1, 2013",23
"mar 1, 2013","22,42"
"feb 1, 2013","22,05"
"Jan 1, 2013","22,3"
"Dec 1, 2012","21,24"
"nov 1, 2012","21,3"
"Oct 1, 2012","21,58"
"Sep 1, 2012","22,18"
"Aug 1, 2012","21,41"
"Jul 1, 2012",21
"Jun 1, 2012","20,55"
"May 1, 2012","21,34"
"apr 1, 2012","22,18"
"mar 1, 2012","22,05"
"feb 1, 2012","22,2"
"Jan 1, 2012","21,21"
"Dec 1, 2011","20,52"
"nov 1, 2011","20,35"
"Oct 1, 2011","20,16"
"Sep 1, 2011","20,1"
"Aug 1, 2011","20,05"
"Jul 1, 2011","23,01"
"Jun 1, 2011","22,1"
"May 1, 2011","23,06"
"apr 1, 2011","23,14"
"mar 1, 2011","23,3"
"feb 1, 2011","23,49"
"Jan 1, 2011","23,38"
"Dec 1, 2010","22,4"
"nov 1, 2010","22,1"
"Oct 1, 2010","21,24"
"Sep 1, 2010","20,38"
"Aug 1, 2010","20,17"
"Jul 1, 2010","20,07"
"Jun 1, 2010","20,14"
"May 1, 2010","20,48"
"apr 1, 2010","22,2"
"mar 1, 2010",21
"feb 1, 2010","20,32"
"Jan 1, 2010","20,53"
"Dec 1, 2009","20,32"
"nov 1, 2009","20,21"
"Oct 1, 2009","19,36"
"Sep 1, 2009","19,23"
"Aug 1, 2009","18,09"
"Jul 1, 2009","17,09"
"Jun 1, 2009","16,38"
"May 1, 2009",16
"apr 1, 2009","15,38"
"mar 1, 2009","13,32"
"feb 1, 2009","14,12"
"Jan 1, 2009","15,17"
"Dec 1, 2008","15,38"
"nov 1, 2008","15,26"
"Oct 1, 2008","16,39"
"Sep 1, 2008","20,36"
"Aug 1, 2008","21,4"
"Jul 1, 2008","21,31"
"Jun 1, 2008","22,42"
"May 1, 2008","24,1"
"apr 1, 2008","23,36"
"mar 1, 2008","23,01"
"feb 1, 2008","23,5"
"Jan 1, 2008","24,02"
"Dec 1, 2007","26,36"
"nov 1, 2007","26,13"
"Oct 1, 2007","27,32"
"Sep 1, 2007","27,13"
"Aug 1, 2007","26,15"
"Jul 1, 2007","27,41"
"Jun 1, 2007","27,42"
"May 1, 2007","27,55"
"apr 1, 2007","27,38"
"mar 1, 2007","26,23"
"feb 1, 2007","27,32"
