strategy,window_years,start_year,end_year,nav_final_net,cagr_net
SP1,5,1995,1999,4.989132076007368,0.37912934741703674
SP1,5,1996,2000,1.4598591343858804,0.07860440677235525
SP1,5,1997,2001,1.063157420820044,0.012323957651539486
SP1,5,1998,2002,0.4732660800031087,-0.13896446388152828
SP1,5,1999,2003,0.4605238407516422,-0.14365173216486937
SP1,5,2000,2004,0.332926497669377,-0.19745448431114543
SP1,5,2001,2005,1.0594268800291458,0.01161252441754601
SP1,5,2002,2006,1.342497926134794,0.06067595738022091
SP1,5,2003,2007,2.345698319397488,0.18591737318564827
SP1,5,2004,2008,1.7831296266135226,0.12262984359918594
SP1,5,2005,2009,1.3826329149165848,0.06694339270940075
SP1,5,2006,2010,1.2998369290522607,0.05384751131596621
SP1,5,2007,2011,1.2076975049608454,0.03846444998777265
SP1,5,2008,2012,1.2528372703743273,0.04611380414092947
SP1,5,2009,2013,1.4053285790957992,0.07042335373025388
SP1,5,2010,2014,2.076907679407871,0.15739989447032654
SP1,5,2011,2015,1.8964433606701452,0.13654850570951305
SP1,5,2012,2016,1.847710082427636,0.13064629965423968
SP1,5,2013,2017,2.0235619049655114,0.1513922422574212
SP1,5,2014,2018,1.8656939877410932,0.13283871421078364
SP1,5,2015,2019,2.0332931720116045,0.15249752245106785
SP1,5,2016,2020,3.1891197173436945,0.2610553952129573
SP1,5,2017,2021,3.901891326318296,0.3129706979603939
SP1,5,2018,2022,2.0735578997790673,0.15702630653381178
SP1,5,2019,2023,3.0876244622173217,0.25292447976120513
SP1,5,2020,2024,2.7240794333136176,0.22192332059982411
SP1,5,2021,2025,2.137135524715142,0.1640360021432521
SP3,5,1995,1999,4.292851360389963,0.3382867256894051
SP3,5,1996,2000,2.1220878771678353,0.1623921620540263
SP3,5,1997,2001,1.8254369020792853,0.12790719003896434
SP3,5,1998,2002,1.130750574248078,0.02488081465541181
SP3,5,1999,2003,0.8800375446028689,-0.02523429713866321
SP3,5,2000,2004,0.7349244822257945,-0.05973873990486456
SP3,5,2001,2005,1.2071412373066663,0.03836876863712657
SP3,5,2002,2006,1.2357952063381876,0.04325218085271687
SP3,5,2003,2007,1.704677581435753,0.11257283014152675
SP3,5,2004,2008,1.4068461743696932,0.07065444106515173
SP3,5,2005,2009,1.350247393533683,0.06189767401516688
SP3,5,2006,2010,1.4693522481455623,0.08000355330873266
SP3,5,2007,2011,1.4288057180382667,0.07397614730165847
SP3,5,2008,2012,1.4234017633439642,0.07316252812922919
SP3,5,2009,2013,1.8486158369201073,0.13075712734624223
SP3,5,2010,2014,1.9750944208244214,0.14582309732900445
SP3,5,2011,2015,1.7334802292758247,0.11630733540884242
SP3,5,2012,2016,1.7039471306812373,0.11247746677187687
SP3,5,2013,2017,2.00349438319888,0.1490994739854461
SP3,5,2014,2018,1.7469861240005724,0.11804141477334062
SP3,5,2015,2019,2.18250227442425,0.16893655737957292
SP3,5,2016,2020,3.2414201227606183,0.2651646966103396
SP3,5,2017,2021,4.320075543903734,0.3399798517248884
SP3,5,2018,2022,2.295594853852407,0.18080735196357822
SP3,5,2019,2023,3.1988157144154012,0.26182127091921226
SP3,5,2020,2024,3.4835319932096147,0.2835239023334124
SP3,5,2021,2025,2.750093037669729,0.22424820891980124
ETF,5,1995,1999,2.7909819642060754,0.22786722201182585
ETF,5,1996,2000,1.8971414876467905,0.13663217162627994
ETF,5,1997,2001,1.485255772315704,0.08233137916281841
