,Bitcoin,Oro,Argento,Rame,Petrolio (WTI),Treasury USA 20+,Nasdaq 100,Energy,Healthcare,Financials,Value (S&P500),Consumer Staples,Small Cap (Russell 2000),Real Estate (REIT),Difesa & Aerospazio,Semiconduttori,USA (S&P 500),ACWI (ETF),Mercati Emergenti,Europa,Germania,Regno Unito,Cina,Giappone,America Latina,Corea del Sud,Australia,India,Canada,Taiwan,MSCI World
Bitcoin,1.0,0.05137223226232361,0.08062642129821075,0.13254165463397571,0.0981567843282623,0.04563174129035335,0.32248117843844365,0.16124206660471374,0.12967184962060818,0.30890320165527674,0.29129290064922225,0.17306125869211633,0.2750582595919027,0.21220921694480038,0.27108037964765735,0.1796786068768477,0.34404215936513916,0.31952462432389067,0.14931109096028844,0.2551733444349595,0.26903383714164636,0.21693027771011114,0.024894796001150427,0.2014790163866607,0.17353719512853058,0.11819657207602463,0.28991625963174467,0.21551714711688072,0.27293463421818753,0.1432421045290886,0.3412305383876348
Oro,0.05137223226232361,1.0,0.7564983676337637,0.2971002405593122,0.0812468690064584,0.2379492066055231,0.01445976584394616,0.11790537676376492,0.07588926731524068,-0.043540406169308495,0.06337510569771097,0.15147074283262654,0.040113450049167325,0.13466628390892108,0.038332866592838646,-0.02521076374576691,0.06912996450630976,0.1671165931392903,0.3406772093162285,0.21032016981615495,0.15076519258441778,0.1959774737572064,0.25841113865008936,0.15287347348004388,0.31200492186124634,0.2233113020658454,0.27125655239840935,0.20894027058284578,0.3012147824973874,0.15638882529522366,0.13278650939388056
Argento,0.08062642129821075,0.7564983676337637,1.0,0.40118923551498403,0.24516656339627077,0.040055914144289835,0.16297976753502297,0.24661393644434595,0.18136720084854066,0.12354622021746113,0.21269890826274263,0.17348824185029732,0.1964379909478801,0.20333933747862198,0.18208809511863464,0.11110004259516944,0.23156707115093886,0.3461578711422831,0.4240213536146921,0.35110857267779266,0.29146205373651185,0.3290623123465882,0.2841286723827227,0.2371607403927212,0.37942034626976906,0.3279720088340554,0.3607804373887401,0.34144096811125757,0.40186051208972434,0.2683790622450042,0.28862808176077115
Rame,0.13254165463397571,0.2971002405593122,0.40118923551498403,1.0,0.32598915830006364,-0.23475800743326528,0.35016057908186643,0.412340148737508,0.2624118478548786,0.4290360222284183,0.46266092291836164,0.23309933030291827,0.4075345218382565,0.306919327614604,0.3641230097872781,0.3757912999341529,0.4414009376841723,0.5789544190450783,0.5485476921461945,0.5073436689476043,0.43425604493651915,0.5128612856876975,0.4193114112278791,0.33571130470640853,0.46964796282616433,0.4791773939657422,0.5338434489567564,0.43343330725501256,0.5637114247058724,0.45970801857101695,0.4886790950717988
Petrolio (WTI),0.0981567843282623,0.0812468690064584,0.24516656339627077,0.32598915830006364,1.0,-0.2828959550298288,0.15963050792235853,0.5714612162672373,0.1026714100605297,0.24087023644973554,0.28368263397501575,0.11727937102132749,0.2773371671754714,0.1582627476416484,0.29481898663198525,0.1297085279314405,0.26081983155731037,0.3804032846179259,0.3353919242312501,0.3835918343844272,0.24984923599382666,0.39307048846327425,0.2927948136981091,0.22403219702721472,0.3685284735472427,0.18907728790690956,0.33480475326183307,0.23644270663060318,0.40897848869911857,0.19415372060267133,0.3125353438874322
Treasury USA 20+,0.04563174129035335,0.2379492066055231,0.040055914144289835,-0.23475800743326528,-0.2828959550298288,1.0,-0.09034178007740663,-0.2646982379350233,0.011504053730247005,-0.19567862450090082,-0.13842138032528145,0.0707036443615091,-0.145440788067656,0.1370832349510116,-0.16250793983132952,-0.089079518348414,-0.10000081533901198,-0.06513948815297743,-0.05056387949930928,-0.0706231580425598,-0.09390528068226128,-0.13766293466646584,-0.03706935737166657,0.010396167352218823,-0.13580737246190774,-0.010588462533275871,0.0005298295652799395,-0.06970029854170287,-0.10472112989922713,-0.026816836721221423,-0.09714361611959174
Nasdaq 100,0.32248117843844365,0.01445976584394616,0.16297976753502297,0.35016057908186643,0.15963050792235853,-0.09034178007740663,1.0,0.3397099231342765,0.5843938615471613,0.5228765599318332,0.7347379280791619,0.31995204010880757,0.7603874984056659,0.6156418572977701,0.668049816522843,0.8720856037304844,0.8416070202317892,0.8795243048891647,0.6917753960310139,0.7284533822924452,0.7010451735199587,0.5985628115982161,0.4375611669282292,0.569534928819683,0.5183853222851483,0.6552044867468696,0.6111644100241224,0.5486277899032359,0.6809629632819638,0.6725944491163058,0.8396176622626946
Energy,0.16124206660471374,0.11790537676376492,0.24661393644434595,0.412340148737508,0.5714612162672373,-0.2646982379350233,0.3397099231342765,1.0,0.400122292583685,0.5318933945399957,0.6590877126078442,0.37728914882648695,0.607296552304831,0.4022938202244229,0.5907063955252101,0.3657849286399684,0.5752267372906641,0.6271045689935418,0.5484899054291916,0.6020368700271963,0.5023719329724676,0.6739464567343197,0.39253681586964845,0.43374193682016154,0.6220467228768428,0.4165955616506521,0.5620362628128392,0.40938221464261726,0.6693569936246325,0.3708035858863191,0.6296341363055148
Healthcare,0.12967184962060818,0.07588926731524068,0.18136720084854066,0.2624118478548786,0.1026714100605297,0.011504053730247005,0.5843938615471613,0.400122292583685,1.0,0.6192768714458529,0.7375687837283412,0.577574586463966,0.6443120960527012,0.5889998848056448,0.6065798115224754,0.48135826278056865,0.751017235105571,0.7160527173611152,0.48460873188427783,0.6659640323200834,0.6179180621618368,0.628236547338695,0.32086757433235175,0.526880218044927,0.45636665241722474,0.49439364490791216,0.5722976232477798,0.4985781707263168,0.5803751088935512,0.43116322501164467,0.7254019859986035
Financials,0.30890320165527674,-0.043540406169308495,0.12354622021746113,0.4290360222284183,0.24087023644973554,-0.19567862450090082,0.5228765599318332,0.5318933945399957,0.6192768714458529,1.0,0.905149321759621,0.5471209138319968,0.7878162493731657,0.7131470912089529,0.7483237594454165,0.5492226625929879,0.8141378087839198,0.8405204201407532,0.6084178370158156,0.7643328094565134,0.6782051469194931,0.7280519340634777,0.42166753918108413,0.5496559681300175,0.5703355055690014,0.505184815597775,0.6267963057013627,0.6150525008342207,0.6755598624366411,0.5032136474173498,0.8288712418032622
