,Oro,Argento,Rame,Petrolio (WTI),Treasury USA 20+,Nasdaq 100,Energy,Healthcare,Financials,Value (S&P500),Consumer Staples,Small Cap (Russell 2000),Real Estate (REIT),Difesa & Aerospazio,Semiconduttori,USA (S&P 500),Mercati Emergenti,Europa,Germania,Regno Unito,Cina,Giappone,America Latina,Corea del Sud,Australia,Canada,Taiwan,MSCI World
Oro,1.0,0.7804748839523267,0.29062014302530187,0.06090106698654015,0.25437390721581105,0.05199576429858674,0.08993058081084918,0.13807374003947503,-0.05901465422865961,0.062461139806169415,0.17531852866544037,0.024086528014954124,0.1281596875360147,0.038332866592838646,0.0009649191600344552,0.08297194687518827,0.3023808036329566,0.1962853837514496,0.1894597317377492,0.19731579466895446,0.23136781971069742,0.09239951916340158,0.31061450575555355,0.2512488618036684,0.268181511181278,0.30318961204323486,0.16191347163986972,0.13844503671884514
Argento,0.7804748839523267,1.0,0.411391534602106,0.2513917285588358,0.0625837456954161,0.22050401002922965,0.24844373368498096,0.2470617284211379,0.11516514370417165,0.21822018604446194,0.2068870650098951,0.20572095624728395,0.20184165397447706,0.18208809511863464,0.16740441457289026,0.25127732865345503,0.41535255948645894,0.34297055080111527,0.34086263964918867,0.35064829211076354,0.2697994409692477,0.22669369772717687,0.38510747724130073,0.35894728036900964,0.39527935212208826,0.43356712363203714,0.2980939318969374,0.30838512802713486
Rame,0.29062014302530187,0.411391534602106,1.0,0.3650841070409661,-0.23747437220704312,0.3965879368840694,0.4488113773461747,0.30931137921621876,0.4371083379316528,0.48028972725948016,0.24952007251675992,0.4338394970991324,0.3348475368121228,0.3641230097872781,0.41012932813183683,0.46976397681312976,0.5760925967388223,0.5228817767757507,0.45521288613605015,0.5487973284129205,0.4351338199486748,0.3626923417977422,0.5139367891572528,0.5078087618335135,0.5603132239672831,0.5964433763536275,0.5086563194024526,0.512507017994779
Petrolio (WTI),0.06090106698654015,0.2513917285588358,0.3650841070409661,1.0,-0.3347575833949743,0.24374864769775967,0.5998518846806769,0.1381548537203881,0.31044355475246826,0.35185122371933136,0.1718282261172505,0.33782269648022994,0.169985322070393,0.29481898663198525,0.1923725453777477,0.3267879422746441,0.34404540110785464,0.37551144564316724,0.330345826940109,0.4479711215343827,0.2917518539599455,0.2500947911938612,0.44019785613542134,0.2253335267889791,0.3807742605869654,0.4557928551384802,0.22811038837199682,0.371470003841963
Treasury USA 20+,0.25437390721581105,0.0625837456954161,-0.23747437220704312,-0.3347575833949743,1.0,-0.046456047592091224,-0.2923968489542063,0.02494346143689098,-0.19744391634417074,-0.12855791691505458,0.0923254224046547,-0.1331610398615314,0.14887860199145,-0.16250793983132952,-0.045368242830127886,-0.08083112354754322,-0.05228749309262376,-0.06547499509552639,-0.05588899626691907,-0.14139668163651767,-0.026897654085997695,0.00929730003234146,-0.14349420590894052,0.02100577010411109,0.00031890365213971424,-0.11977643259130764,0.001170358824516168,-0.07953879961598966
Nasdaq 100,0.05199576429858674,0.22050401002922965,0.3965879368840694,0.24374864769775967,-0.046456047592091224,1.0,0.4233941847719151,0.6110567697961744,0.6542764655312033,0.7767216699922866,0.5337399305885911,0.7890385271233661,0.6183383484597905,0.668049816522843,0.8459826252739341,0.9123943301248651,0.7079674117911703,0.7415087304187534,0.7329309257065277,0.672023699363458,0.43865361850768797,0.6598287569755812,0.5150873227176879,0.6727023681897011,0.6903629139279885,0.6991600314423587,0.7330760332231018,0.880714567596305
Energy,0.08993058081084918,0.24844373368498096,0.4488113773461747,0.5998518846806769,-0.2923968489542063,0.4233941847719151,1.0,0.4269287585628544,0.5628332617918171,0.6768867640099402,0.4277168244827661,0.6256478305185083,0.4092482216060302,0.5907063955252101,0.367196554779825,0.6075841818879771,0.5323070433240912,0.5989036736130089,0.5561685885952027,0.7034446694297134,0.3721290803515875,0.44601655584970135,0.6245823624719333,0.4316709377943312,0.5938227550352344,0.7079296643767792,0.40571092392825,0.6371229518937873
Healthcare,0.13807374003947503,0.2470617284211379,0.30931137921621876,0.1381548537203881,0.02494346143689098,0.6110567697961744,0.4269287585628544,1.0,0.6294891237790363,0.750692239808342,0.6915044126716916,0.6571327585789805,0.5917796528523555,0.6065798115224754,0.46784778706281444,0.7432496446640164,0.5186596463719702,0.6772973948528287,0.6330814365596913,0.6357610605355674,0.3210015456493083,0.5815517352006861,0.4567346549415677,0.4558259684576067,0.5930126316782378,0.5882321969562413,0.40213614142101006,0.7321811402959626
Financials,-0.05901465422865961,0.11516514370417165,0.4371083379316528,0.31044355475246826,-0.19744391634417074,0.6542764655312033,0.5628332617918171,0.6294891237790363,1.0,0.9174052081042121,0.5737649844761341,0.8197287061583628,0.7225983082564149,0.7483237594454165,0.5535113490958047,0.8409744945685991,0.6256685751786054,0.7708038309191391,0.7483969822398643,0.7552710094829183,0.426517785799227,0.6571167106783958,0.5606147384294768,0.5216852986150694,0.7048450080457405,0.7270025813078875,0.5480429513610506,0.8308680155319462
Value (S&P500),0.062461139806169415,0.21822018604446194,0.48028972725948016,0.35185122371933136,-0.12855791691505458,0.7767216699922866,0.6768867640099402,0.750692239808342,0.9174052081042121,1.0,0.7367465607146656,0.8931727728586674,0.7725663816023112,0.8237524643019026,0.6709155171752256,0.9486107490131561,0.7318008733323846,0.8601683192608336,0.8237799398723566,0.845974077732059,0.4716598835030914,0.7269700473938341,0.6602487672207369,0.6561977288440921,0.7979583926480605,0.8299088684506729,0.6519192117915109,0.9367176065900331
