inflation_scenario,withdrawal_rate,years_to_fire,spend_today,spend_at_fire_nominal,capital_required_at_fire
base 2%,0.025,0,30000.0,30000.0,1200000.0
base 2%,0.025,10,30000.0,36569.83259984272,1462793.3039937087
base 2%,0.025,20,30000.0,44578.421879350644,1783136.8751740258
base 2%,0.025,25,30000.0,49218.17983394192,1968727.1933576767
base 2%,0.025,30,30000.0,54340.847523100645,2173633.9009240256
base 2%,0.03,0,30000.0,30000.0,1000000.0
base 2%,0.03,10,30000.0,36569.83259984272,1218994.4199947573
base 2%,0.03,20,30000.0,44578.421879350644,1485947.3959783548
base 2%,0.03,25,30000.0,49218.17983394192,1640605.9944647306
base 2%,0.03,30,30000.0,54340.847523100645,1811361.584103355
base 2%,0.035,0,30000.0,30000.0,857142.857142857
base 2%,0.035,10,30000.0,36569.83259984272,1044852.3599955061
base 2%,0.035,20,30000.0,44578.421879350644,1273669.1965528755
base 2%,0.035,25,30000.0,49218.17983394192,1406233.7095411976
base 2%,0.035,30,30000.0,54340.847523100645,1552595.6435171613
base 2%,0.04,0,30000.0,30000.0,750000.0
base 2%,0.04,10,30000.0,36569.83259984272,914245.8149960679
base 2%,0.04,20,30000.0,44578.421879350644,1114460.5469837661
base 2%,0.04,25,30000.0,49218.17983394192,1230454.495848548
base 2%,0.04,30,30000.0,54340.847523100645,1358521.1880775162
base 2%,0.045,0,30000.0,30000.0,666666.6666666667
base 2%,0.045,10,30000.0,36569.83259984272,812662.9466631715
base 2%,0.045,20,30000.0,44578.421879350644,990631.5973189032
base 2%,0.045,25,30000.0,49218.17983394192,1093737.3296431538
base 2%,0.045,30,30000.0,54340.847523100645,1207574.3894022366
base 2%,0.05,0,30000.0,30000.0,600000.0
base 2%,0.05,10,30000.0,36569.83259984272,731396.6519968543
base 2%,0.05,20,30000.0,44578.421879350644,891568.4375870129
base 2%,0.05,25,30000.0,49218.17983394192,984363.5966788384
base 2%,0.05,30,30000.0,54340.847523100645,1086816.9504620128
alta 3%,0.025,0,30000.0,30000.0,1200000.0
alta 3%,0.025,10,30000.0,40317.49138032366,1612699.6552129465
alta 3%,0.025,20,30000.0,54183.33704008244,2167333.4816032974
alta 3%,0.025,25,30000.0,62813.337889626484,2512533.5155850593
alta 3%,0.025,30,30000.0,72817.87413568987,2912714.9654275947
alta 3%,0.03,0,30000.0,30000.0,1000000.0
alta 3%,0.03,10,30000.0,40317.49138032366,1343916.3793441223
alta 3%,0.03,20,30000.0,54183.33704008244,1806111.2346694148
alta 3%,0.03,25,30000.0,62813.337889626484,2093777.9296542162
alta 3%,0.03,30,30000.0,72817.87413568987,2427262.4711896623
alta 3%,0.035,0,30000.0,30000.0,857142.857142857
alta 3%,0.035,10,30000.0,40317.49138032366,1151928.3251521045
alta 3%,0.035,20,30000.0,54183.33704008244,1548095.3440023554
alta 3%,0.035,25,30000.0,62813.337889626484,1794666.7968464708
alta 3%,0.035,30,30000.0,72817.87413568987,2080510.6895911389
alta 3%,0.04,0,30000.0,30000.0,750000.0
alta 3%,0.04,10,30000.0,40317.49138032366,1007937.2845080915
alta 3%,0.04,20,30000.0,54183.33704008244,1354583.426002061
alta 3%,0.04,25,30000.0,62813.337889626484,1570333.447240662
alta 3%,0.04,30,30000.0,72817.87413568987,1820446.8533922466
alta 3%,0.045,0,30000.0,30000.0,666666.6666666667
alta 3%,0.045,10,30000.0,40317.49138032366,895944.2528960814
alta 3%,0.045,20,30000.0,54183.33704008244,1204074.1564462765
alta 3%,0.045,25,30000.0,62813.337889626484,1395851.9531028108
alta 3%,0.045,30,30000.0,72817.87413568987,1618174.9807931082
alta 3%,0.05,0,30000.0,30000.0,600000.0
alta 3%,0.05,10,30000.0,40317.49138032366,806349.8276064732
alta 3%,0.05,20,30000.0,54183.33704008244,1083666.7408016487
alta 3%,0.05,25,30000.0,62813.337889626484,1256266.7577925297
alta 3%,0.05,30,30000.0,72817.87413568987,1456357.4827137974
