anno,prelievo_3.0pct,prelievo_3.5pct,prelievo_4.0pct
0,1000000.0,1000000.0,1000000.0
1,1067628.0791438292,1061455.695877915,1056621.604101109
2,1085686.3800832166,1074068.811093991,1062776.2314823037
3,1155718.1284877537,1137781.8157776808,1120176.399654162
4,1197299.7995612938,1174183.2099959317,1147583.692365453
5,1249794.7325799107,1219642.6700693746,1182543.0674791122
6,1298106.0312685315,1264560.6742055472,1227854.335769767
7,1363819.4385051318,1316665.4472898357,1262735.6970852662
8,1414080.795346389,1364092.1968685854,1302361.9339118192
9,1484107.8561978943,1420212.3395790223,1349132.5459636548
10,1555434.842984912,1475142.7977749514,1396398.980958267
11,1633480.9543119431,1539558.1908371816,1443266.3415259223
12,1690661.6186023126,1598282.317237988,1494351.2327060206
13,1781432.6956906654,1666969.568500096,1559619.5790180797
14,1853413.7154773688,1737547.7330791568,1621474.7914959614
15,1961267.7109219786,1813955.9153852176,1658821.836172548
16,2060372.7243198035,1913119.6201482513,1745019.1186761535
17,2179214.938211119,2009069.1392434575,1803261.9738296818
18,2292232.2298970893,2087987.155806286,1866194.114891387
19,2395467.7285506185,2190152.2175967596,1951959.5049416395
20,2519248.8708549673,2325760.0055999067,2034627.3638690112
21,2661398.1176494234,2413034.811759768,2137035.729698187
22,2794239.5907062273,2565743.339867751,2220738.6557129957
23,2963549.4379686657,2674794.4743142687,2328953.283267964
24,3104530.9448911753,2803025.1630531065,2417254.2429500762
25,3288247.093367786,2970154.7189588565,2544640.3408320704
26,3479726.336107842,3140867.5383063434,2670542.3637082577
27,3711413.9822614575,3311015.534495509,2817024.1310666935
28,3913286.3584233243,3496519.710704636,2924299.7045491836
29,4202205.393875001,3675138.292931975,3098186.171551333
30,4398447.631712634,3861255.6283676075,3216395.266285668
