date,SPY 100%,QQQ 70 / XLE 30,QQQ 50 / XLE 50,QQQ 100%
1999-03-31,0.996120,1.024624,1.022680,1.027540
1999-04-30,1.033947,1.086960,1.110254,1.052020
1999-05-31,1.010306,1.056262,1.081121,1.018972
1999-06-30,1.066255,1.139946,1.147564,1.128519
1999-07-31,1.033178,1.132438,1.148515,1.108323
1999-08-31,1.027827,1.178749,1.185308,1.168911
1999-09-30,1.004868,1.169024,1.162571,1.178703
1999-10-31,1.069258,1.240186,1.208551,1.287638
1999-11-30,1.087062,1.345841,1.283459,1.439413
1999-12-31,1.149144,1.593256,1.462444,1.789474
2000-01-31,1.091931,1.572872,1.450503,1.756426
2000-02-29,1.075306,1.792241,1.593351,2.090576
2000-03-31,1.179518,1.870855,1.688471,2.144432
2000-04-30,1.138093,1.663133,1.534842,1.855569
2000-05-31,1.120199,1.546539,1.492294,1.627907
2000-06-30,1.142246,1.665518,1.555953,1.829866
2000-07-31,1.124311,1.596028,1.492360,1.751531
2000-08-31,1.197774,1.803505,1.679036,1.990209
2000-09-30,1.132062,1.633753,1.564210,1.738067
2000-10-31,1.126766,1.525811,1.476311,1.600062
2000-11-30,1.042649,1.247918,1.257546,1.233476
2000-12-31,1.037200,1.223984,1.277836,1.143207
2001-01-31,1.083313,1.291706,1.313349,1.259242
2001-02-28,0.979978,1.055735,1.140056,0.929254
2001-03-31,0.925064,0.929863,1.038633,0.766708
2001-04-30,1.004101,1.066421,1.174839,0.903795
2001-05-31,0.998472,1.042856,1.154104,0.875985
2001-06-30,0.974679,1.016998,1.098342,0.894982
2001-07-31,0.964741,0.958483,1.052256,0.817822
2001-08-31,0.907501,0.871816,0.974789,0.717356
2001-09-30,0.833421,0.731370,0.840590,0.567540
2001-10-31,0.844274,0.812274,0.911195,0.663892
2001-11-30,0.910109,0.871690,0.935150,0.776500
2001-12-31,0.915240,0.880308,0.959174,0.762008
2002-01-31,0.906272,0.862481,0.934686,0.754174
2002-02-28,0.890018,0.809073,0.907426,0.661542
2002-03-31,0.919629,0.870957,0.980799,0.706193
2002-04-30,0.866147,0.798041,0.915804,0.621396
2002-05-31,0.861008,0.768485,0.888609,0.588299
2002-06-30,0.797459,0.701409,0.828256,0.511139
2002-07-31,0.734604,0.622957,0.726879,0.467075
2002-08-31,0.739600,0.622481,0.730786,0.460025
2002-09-30,0.662051,0.563068,0.667929,0.405777
2002-10-31,0.716527,0.620715,0.714003,0.480783
2002-11-30,0.760723,0.675908,0.764604,0.542864
2002-12-31,0.717689,0.630052,0.731915,0.477258
2003-01-31,0.700037,0.623589,0.720229,0.478629
2003-02-28,0.690602,0.641943,0.741418,0.492730
2003-03-31,0.692080,0.643539,0.742904,0.494492
2003-04-30,0.750638,0.671167,0.760227,0.537577
2003-05-31,0.791800,0.734557,0.835326,0.583403
2003-06-30,0.800234,0.732561,0.829911,0.586536
2003-07-31,0.814660,0.746542,0.829060,0.622766
2003-08-31,0.831463,0.788154,0.877653,0.653905
2003-09-30,0.822395,0.768043,0.856800,0.634908
2003-10-31,0.866416,0.808974,0.888983,0.688960
2003-11-30,0.875877,0.814272,0.895203,0.692877
2003-12-31,0.919945,0.872381,0.977764,0.714306
2004-01-31,0.938133,0.889127,0.997706,0.726257
2004-02-29,0.950863,0.902273,1.026148,0.716461
2004-03-31,0.938269,0.889757,1.014821,0.702159
2004-04-30,0.920516,0.881870,1.015652,0.681197
2004-05-31,0.936278,0.905059,1.031052,0.716069
2004-06-30,0.953600,0.946562,1.084682,0.739383
2004-07-31,0.922877,0.920696,1.078795,0.683548
2004-08-31,0.925125,0.901951,1.058917,0.666503
2004-09-30,0.934410,0.959818,1.140734,0.688445
2004-10-31,0.946450,0.986828,1.162763,0.722926
2004-11-30,0.988583,1.049700,1.238553,0.766420
2004-12-31,1.018361,1.051438,1.226008,0.789583
2005-01-31,0.995528,1.033438,1.229236,0.739740
2005-02-28,1.016339,1.117454,1.371637,0.736180
2005-03-31,0.997747,1.096958,1.346048,0.723323
2005-04-30,0.979054,1.042981,1.277052,0.691875
2005-05-31,1.010603,1.101470,1.333657,0.753190
2005-06-30,1.012135,1.124019,1.387932,0.728149
2005-07-31,1.050860,1.206356,1.488204,0.783582
2005-08-31,1.041009,1.240055,1.552289,0.771704
2005-09-30,1.049364,1.290703,1.630367,0.781206
2005-10-31,1.024545,1.215306,1.512492,0.769526
2005-11-30,1.069576,1.258268,1.552815,0.816446
2005-12-31,1.067530,1.260475,1.566162,0.801944
2006-01-31,1.093166,1.384699,1.752166,0.833498
2006-02-28,1.099424,1.298269,1.620024,0.815637
2006-03-31,1.117569,1.341073,1.679994,0.832692
2006-04-30,1.131686,1.378149,1.742847,0.831104
2006-05-31,1.097599,1.313868,1.675826,0.770931
2006-06-30,1.100461,1.333187,1.708341,0.770456
2006-07-31,1.105389,1.336535,1.736046,0.737269
2006-08-31,1.129512,1.319470,1.684155,0.772443
2006-09-30,1.160011,1.316063,1.654584,0.808281
2006-10-31,1.196570,1.374930,1.727111,0.846657
2006-11-30,1.220364,1.462347,1.853453,0.875688
2006-12-31,1.236682,1.426901,1.805344,0.859235
