date,fondo,etf
2026-01-01,4743.5,4081.0
2027-01-01,9752.0,8400.273266
2028-01-01,15038.75,12976.6195586874
2029-01-01,20617.662500000002,17830.321939867834
2030-01-01,26503.345625,22983.26380492341
2031-01-01,32711.137906250005,28459.055149131866
2032-01-01,39257.14480156251,34283.168796398364
2033-01-01,46158.277041640635,40483.087376434196
2034-01-01,53432.29089372267,47088.46189843485
2035-01-01,61097.8304384088,54131.282836221355
2036-01-01,69174.47196032925,61646.06471199922
2037-01-01,77682.77055834571,69670.04524377595
2038-01-01,86644.309086263,78243.40020550988
2039-01-01,96081.74954057616,87409.4752397246
2040-01-01,106018.88701760497,97215.03596013888
2041-01-01,116480.70636848522,107710.53778739384
2042-01-01,127493.44168690947,118950.41707481921
2043-01-01,139084.63877125495,130993.40520402245
2044-01-01,151283.2207098177,143902.86746261982
2045-01-01,164119.55674530857,157747.1686594205
2046-01-01,177625.534582574,172600.0675866488
2047-01-01,191834.63631170272,188541.14260523536
2048-01-01,206782.01812728785,205656.25080878843
2049-01-01,222504.59403365225,224038.02341560184
2050-01-01,239041.12373533487,243786.4002470928
2051-01-01,256432.3049221016,265009.20637658844
2052-01-01,274720.8701682067,287822.77427570126
2053-01-01,293951.68867661705,312352.615048054
2054-01-01,314171.8731104479,338734.1426233455
2055-01-01,335430.89176597033,367113.4550903275
