date,100E,60/40,40/60
2001-02-01,-0.021363,-0.002824,0.006445
2001-03-01,-0.090799,-0.052100,-0.033284
2001-04-01,0.004487,-0.009840,-0.016391
2001-05-01,0.068793,0.038727,0.024687
2001-06-01,-0.023887,-0.011915,-0.006084
2001-07-01,-0.026602,-0.002549,0.008957
2001-08-01,-0.020458,-0.002497,0.005792
2001-09-01,-0.112473,-0.052398,-0.025397
2001-10-01,0.031840,0.029748,0.028891
2001-11-01,0.050531,0.009911,-0.006763
2001-12-01,0.014660,-0.000500,-0.007082
2002-01-01,-0.002977,0.000241,0.001669
2002-02-01,-0.033528,-0.010031,0.000345
2002-03-01,0.049453,0.009132,-0.008070
2002-04-01,-0.035144,-0.007360,0.005182
2002-05-01,-0.028204,-0.012355,-0.005488
2002-06-01,-0.059210,-0.021871,-0.006064
2002-07-01,-0.107585,-0.040238,-0.013251
2002-08-01,0.011388,0.022663,0.026749
2002-09-01,-0.047577,0.000913,0.018224
2002-10-01,-0.013670,-0.018116,-0.019601
2002-11-01,0.066256,0.018863,0.002941
2002-12-01,-0.010351,0.013415,0.021903
2003-01-01,-0.002225,-0.006787,-0.008365
2003-02-01,-0.064148,-0.015435,0.001518
2003-03-01,0.013079,0.001990,-0.001616
2003-04-01,0.052859,0.022657,0.012691
2003-05-01,0.053122,0.049086,0.047701
2003-06-01,0.057042,0.020178,0.007465
2003-07-01,0.005959,-0.036751,-0.052204
2003-08-01,-0.001663,0.002627,0.004275
2003-09-01,0.031612,0.037123,0.039228
2003-10-01,0.020278,-0.003497,-0.012507
2003-11-01,0.012106,0.007518,0.005722
2003-12-01,0.030638,0.020107,0.015957
2004-01-01,0.049350,0.031375,0.024189
2004-02-01,0.010867,0.013862,0.015089
2004-03-01,-0.015652,-0.001522,0.004241
2004-04-01,0.009681,-0.020052,-0.031939
2004-05-01,-0.025643,-0.016637,-0.012883
2004-06-01,0.028577,0.018335,0.014120
2004-07-01,-0.022388,-0.005623,0.001375
2004-08-01,-0.013876,0.008584,0.017736
2004-09-01,0.027826,0.015472,0.010593
2004-10-01,0.001026,0.005710,0.007591
2004-11-01,0.047739,0.013943,0.000459
2004-12-01,0.027274,0.020663,0.017901
2005-01-01,-0.013492,-0.001821,0.003101
2005-02-01,0.016812,0.002130,-0.003958
2005-03-01,-0.002556,-0.004863,-0.005839
2005-04-01,-0.024089,-0.000556,0.009440
2005-05-01,0.013359,0.016694,0.018063
2005-06-01,0.021807,0.015306,0.012649
2005-07-01,0.018078,-0.002062,-0.010368
2005-08-01,0.003100,0.012962,0.017146
2005-09-01,0.002797,-0.009105,-0.014084
2005-10-01,-0.026242,-0.020915,-0.018647
2005-11-01,0.039615,0.025882,0.020083
2005-12-01,0.021441,0.016957,0.015027
2006-01-01,0.014668,0.004568,0.000194
