date,100E,90/10,75/25,50/50
1976-01-01,0.095453,0.079985,0.056783,0.018114
1976-02-01,0.041781,0.038148,0.032500,0.022513
1976-03-01,0.008024,0.008439,0.009091,0.010260
1976-04-01,0.010955,0.006971,0.000727,-0.010459
1976-05-01,-0.003833,-0.004167,-0.004695,-0.005659
1976-06-01,0.009006,0.007516,0.005155,0.000844
1976-07-01,0.026654,0.019533,0.008206,-0.012614
1976-08-01,-0.005606,-0.010007,-0.017136,-0.030667
1976-09-01,0.024379,0.025338,0.026909,0.029955
1976-10-01,-0.031082,-0.027713,-0.022206,-0.011577
1976-11-01,-0.003666,0.005537,0.020445,0.048747
1976-12-01,0.037865,0.036952,0.035508,0.032880
1977-01-01,-0.005372,-0.005942,-0.006844,-0.008493
1977-02-01,-0.023686,-0.019400,-0.012596,-0.000131
1977-03-01,-0.000542,0.006871,0.018508,0.039415
1977-04-01,-0.011937,-0.010283,-0.007736,-0.003303
1977-05-01,0.000645,-0.000993,-0.003505,-0.007847
1977-06-01,0.008998,0.004585,-0.002212,-0.014039
1977-07-01,0.012824,0.013319,0.014089,0.015454
1977-08-01,-0.020786,-0.018039,-0.013766,-0.006205
1977-09-01,-0.011753,-0.007867,-0.001865,0.008629
1977-10-01,-0.021979,-0.014070,-0.001977,0.018821
1977-11-01,0.009811,0.010815,0.012320,0.014824
1977-12-01,-0.000801,-0.001751,-0.003170,-0.005522
1978-01-01,-0.033904,-0.022536,-0.005503,0.022837
1978-02-01,-0.009720,-0.005468,0.000721,0.010563
1978-03-01,0.002657,0.005872,0.010504,0.017753
1978-04-01,0.048300,0.037296,0.021570,-0.002753
1978-05-01,0.055043,0.049728,0.041932,0.029390
1978-06-01,0.006736,0.010409,0.015865,0.024816
1978-07-01,-0.000623,0.002340,0.006700,0.013752
1978-08-01,0.073281,0.075451,0.078621,0.083690
1978-09-01,0.003997,0.006670,0.010557,0.016725
1978-10-01,-0.027735,-0.016352,0.000090,0.025926
1978-11-01,-0.054377,-0.059210,-0.065998,-0.076224
1978-12-01,0.019228,0.017888,0.015982,0.013058
1979-01-01,0.041853,0.047958,0.056665,0.070087
1979-02-01,-0.010570,0.000718,0.016591,0.040555
1979-03-01,0.023412,0.018328,0.011370,0.001267
1979-04-01,0.024309,0.019608,0.013098,0.003484
1979-05-01,-0.018930,-0.006910,0.009922,0.035176
1979-06-01,0.024176,0.032201,0.043116,0.058828
1979-07-01,0.014208,0.020174,0.028142,0.039323
1979-08-01,0.050143,0.045797,0.040071,0.032184
1979-09-01,0.015405,0.039051,0.070505,0.114402
1979-10-01,-0.033525,-0.011175,0.017025,0.053719
1979-11-01,-0.003224,-0.002484,-0.001596,-0.000511
1979-12-01,0.044040,0.065401,0.090973,0.122136
1980-01-01,0.033125,0.122885,0.225713,0.344688
1980-02-01,0.043959,0.028499,0.013572,-0.000851
1980-03-01,-0.087778,-0.107986,-0.128083,-0.148070
1980-04-01,-0.011621,-0.024250,-0.037391,-0.051076
1980-05-01,0.050361,0.037448,0.023652,0.008880
1980-06-01,0.068627,0.090301,0.114060,0.140223
1980-07-01,0.049695,0.054581,0.059718,0.065128
1980-08-01,0.035047,0.020939,0.006244,-0.009075
1980-09-01,0.028358,0.038614,0.049602,0.061404
1980-10-01,0.033248,0.021246,0.008648,-0.004593
1980-11-01,0.046147,0.023608,-0.000629,-0.026763
1980-12-01,-0.012448,-0.038366,-0.067540,-0.100626
1981-01-01,0.000100,0.006630,0.014415,0.023855
1981-02-01,-0.030702,-0.044480,-0.060674,-0.079981
1981-03-01,0.041433,0.033832,0.024614,0.013200
1981-04-01,0.012938,0.009576,0.005430,0.000194
1981-05-01,-0.016173,-0.018928,-0.022351,-0.026715
1981-06-01,0.008576,0.000678,-0.009193,-0.021881
1981-07-01,-0.020163,-0.035001,-0.053880,-0.078707
1981-08-01,0.008026,0.007236,0.006196,0.004764
1981-09-01,-0.083027,-0.058855,-0.026949,0.017109
1981-10-01,0.017272,0.012088,0.005639,-0.002601
1981-11-01,0.030437,0.016289,-0.001514,-0.024596
1981-12-01,0.011794,0.008783,0.004874,-0.000407
1982-01-01,-0.048041,-0.050328,-0.053317,-0.057393
1982-02-01,-0.019139,-0.020163,-0.021510,-0.023359
1982-03-01,-0.027445,-0.040663,-0.058083,-0.082089
1982-04-01,0.054693,0.055508,0.056617,0.058213
1982-05-01,0.005696,-0.001521,-0.011325,-0.025410
1982-06-01,-0.052706,-0.053150,-0.053764,-0.054666
1982-07-01,0.002438,0.011978,0.025173,0.044624
1982-08-01,0.007940,0.017101,0.029492,0.047187
1982-09-01,0.120964,0.132546,0.147884,0.169158
1982-10-01,0.088814,0.069785,0.045177,0.012114
1982-11-01,0.044999,0.036350,0.024699,0.008151
1982-12-01,0.013555,0.021179,0.031653,0.046945
1983-01-01,0.039258,0.045277,0.053402,0.064973
1983-02-01,0.021300,0.021166,0.020987,0.020736
1983-03-01,0.038656,0.012303,-0.022801,-0.071884
1983-04-01,0.041974,0.040696,0.038887,0.036127
1983-05-01,0.044240,0.040359,0.034848,0.026407
1983-06-01,0.017535,0.008795,-0.003729,-0.023173
1983-07-01,0.007081,0.003691,-0.001270,-0.009225
1983-08-01,-0.024072,-0.018031,-0.009117,0.005363
1983-09-01,0.033138,0.028270,0.021195,0.009969
1983-10-01,0.006479,0.001049,-0.006937,-0.019836
1983-11-01,-0.011414,-0.013340,-0.016210,-0.020944
1983-12-01,-0.001281,0.000597,0.003410,0.008087
1984-01-01,0.015759,0.009553,0.000302,-0.014964
1984-02-01,-0.051122,-0.042246,-0.028810,-0.006089
1984-03-01,0.004424,0.006219,0.008874,0.013201
1984-04-01,0.005072,0.001042,-0.004891,-0.014494
1984-05-01,-0.002526,-0.003339,-0.004548,-0.006535
