date,2x cash 2x (strategia),2x + put (hold),3x cash 2x,Nasdaq 1x TR,2x nudo
1975-01-02,10000.0,10000.0,10000.0,10000.0,10000.0
1975-01-03,10109.220751868977,10109.220751868977,10189.519290524408,10087.552555309809,10171.700348714858
1975-01-06,10232.034928510626,10232.034928510626,10392.085180986252,10171.8148385297,10338.167482367393
1975-01-07,10265.921556497005,10265.921556497005,10448.167806857282,10196.769510876256,10385.373158262622
1975-01-08,10162.294388172206,10162.294388172206,10276.067638085457,10132.757420770735,10251.445017810927
1975-01-09,10379.466174185585,10379.466174185585,10633.055199621243,10276.339947357003,10538.483336254996
1975-01-10,10728.864694200141,10728.864694200141,11207.501495655953,10494.073251694757,10981.470339375288
1975-01-13,10627.065792003019,10627.065792003019,11037.2981541879,10436.654564426834,10857.560415373353
1975-01-14,10559.577823710857,10559.577823710857,10924.774675156514,10399.005585938297,10775.52898292764
1975-01-15,10764.299227024232,10764.299227024232,11262.90056902606,10524.48256990856,11031.900589443369
1975-01-16,11024.802809761111,11024.802809761111,11694.578197705696,10677.979000849926,11349.938431983366
1975-01-17,10903.90590947852,10903.90590947852,11491.328517615628,10612.319539487004,11206.49129682486
1975-01-20,10911.037677310711,10911.037677310711,11502.861718165033,10619.163867292653,11217.130821302248
1975-01-21,10831.884763104543,10831.884763104543,11370.23808571979,10576.57056570275,11123.328179793787
1975-01-22,10810.382822473153,10810.382822473153,11334.092059908437,10566.935065514179,11099.273733370766
1975-01-23,10911.751990246872,10911.751990246872,11502.13059495121,10628.161615700363,11224.116709936034
1975-01-24,11166.971566789325,11166.971566789325,11925.635023312514,10775.08946425826,11530.62829355173
1975-01-27,11665.953685883114,11665.953685883114,12757.040508738597,11048.92644719242,12112.778722669163
1975-01-28,11940.958130856236,11940.958130856236,13222.225108154254,11194.222702937224,12427.226989498284
1975-01-29,12314.644835924193,12314.644835924193,13859.165888138981,11385.675034168555,12848.07607983834
1975-01-30,12280.21064946156,12280.21064946156,13798.503759870455,11371.111786172376,12810.834048890394
1975-01-31,12539.910580423371,12539.910580423371,14245.459447321458,11501.592542870609,13100.474707609568
1975-02-03,12869.233955243626,12869.233955243626,14809.991021223226,11658.452314029277,13453.807928127895
1975-02-04,12658.438421406161,12658.438421406161,14437.295205769567,11559.830670807107,13222.084407593044
1975-02-05,12975.767630162343,12975.767630162343,14990.566028328378,11715.05057160918,13573.129277745853
1975-02-06,13107.58991916757,13107.58991916757,15222.164546401065,11779.616297392107,13718.59980880269
1975-02-07,12984.358075432086,12984.358075432086,15002.507399515653,11723.851054200775,13584.52449838209
1975-02-10,12875.917671958876,12875.917671958876,14809.933889761296,11674.675877443198,13466.41968304032
1975-02-11,12875.31543263644,12875.31543263644,14807.871543719082,11676.602697922626,13466.755357078113
1975-02-12,13134.99652333818,13134.99652333818,15262.946285727641,11802.16877777473,13752.279363355163
1975-02-13,13586.585339296214,13586.585339296214,16060.733806398915,12015.116485346067,14244.350229714113
1975-02-14,13719.821523768682,13719.821523768682,16298.692492773278,12078.050790943007,14389.22518126414
1975-02-18,13429.089350979888,13429.089350979888,15772.50100942953,11948.094425491892,14075.18630436793
1975-02-19,13568.389604112917,13568.389604112917,16019.976725625997,12014.326964107755,14226.938669857755
1975-02-20,13820.942904689682,13820.942904689682,16471.355711740252,12131.673000622639,14500.511200762152
1975-02-21,13893.680122919552,13893.680122919552,16601.41675024747,12166.585934783463,14579.546355039132
1975-02-24,13651.409607209695,13651.409607209695,16160.851767467952,12059.702565878986,14318.934861911075
1975-02-25,13260.510064531729,13260.510064531729,15456.24012701627,11883.562600576379,13896.290207067095
1975-02-26,13316.836812613137,13316.836812613137,15554.927201148552,11911.876399920598,13958.26828889473
1975-02-27,13416.16119091249,13416.16119091249,15730.085297379223,11959.979162810772,14066.741883531451
1975-02-28,13580.66877511913,13580.66877511913,16021.756620051323,12037.765715212263,14245.426762837062
1975-03-03,13881.398119552538,13881.398119552538,16555.611837086937,12174.920377797198,14566.09152281455
1975-03-04,14016.956988306434,14016.956988306434,16799.505694183958,12237.873621196291,14712.685860839729
1975-03-05,13898.989937928985,13898.989937928985,16584.024376085446,12187.043708319647,14586.386789502967
1975-03-06,13942.948258513956,13942.948258513956,16662.340413266815,12208.772065156272,14634.353125040696
1975-03-07,14075.320222879902,14075.320222879902,16900.759497898,12270.082327011989,14777.276023334289
1975-03-10,14249.332057594404,14249.332057594404,17215.736730806442,12349.535587054137,14964.55359648438
1975-03-11,14305.3059406275,14305.3059406275,17316.71307083822,12376.218125108213,15025.067861961716
1975-03-12,13961.788264392942,13961.788264392942,16686.117521078377,12226.427460087929,14657.200252348366
1975-03-13,14160.737028760564,14160.737028760564,17044.796134710814,12317.431807973564,14871.329015823445
1975-03-14,14674.734811872297,14674.734811872297,17978.455963948025,12546.98622939828,15421.504496169642
1975-03-17,14747.039189261048,14747.039189261048,18110.70076254768,12580.272465069987,15499.051108839898
1975-03-18,14708.985128906701,14708.985128906701,18038.688138019363,12565.727646325815,15458.913174488187
1975-03-19,14511.209898442754,14511.209898442754,17671.066572804117,12481.903071886783,15248.375778472571
1975-03-20,14549.031627669581,14549.031627669581,17739.191444680207,12500.345059704701,15289.205061334966
1975-03-21,14598.274685864462,14598.274685864462,17828.391960490582,12523.736388564015,15342.184119302769
1975-03-24,14027.249884839352,14027.249884839352,16773.35377275382,12276.595096526635,14732.408365588839
1975-03-25,13990.318263988178,13990.318263988178,16705.289312558765,12262.041271340851,14693.391523819779
1975-03-26,14441.379224281092,14441.379224281092,17517.8929312928,12465.242655662594,15176.30125058141
1975-03-27,14671.316323201674,14671.316323201674,17937.38085824937,12567.82220169431,15421.870660975721
1975-03-31,14470.366213562063,14470.366213562063,17564.926474549324,12482.334807447087,15207.791179169299
1975-04-01,14375.89671762499,14375.89671762499,17390.721330643803,12443.03606647781,15107.844146465468
1975-04-02,14446.37325578774,14446.37325578774,17518.842266554457,12476.329733555993,15184.531211795056
1975-04-03,14191.319438146911,14191.319438146911,17049.867672585322,12366.084433037096,14911.997570214042
1975-04-04,14105.141042951856,14105.141042951856,16892.64416470498,12330.081873150273,14821.061414652511
1975-04-07,13956.614203790456,13956.614203790456,16622.74978440091,12266.026212487164,14662.986784909801
1975-04-08,14022.07770136618,14022.07770136618,16740.10176992028,12297.668476516348,14734.599893520755
1975-04-09,14340.901887763262,14340.901887763262,17313.315309191647,12441.514284001565,15075.243211828623
1975-04-10,14471.798473954568,14471.798473954568,17550.790166731156,12501.213065509552,15215.764224669841
1975-04-11,14675.560582135024,14675.560582135024,17922.097252758253,12592.265858188153,15433.222393633509
1975-04-14,15061.04815579832,15061.04815579832,18629.175389583266,12760.881299598763,15842.286088841543
1975-04-15,15126.54882197587,15126.54882197587,18749.829696043646,12790.888511379024,15912.429443542273
1975-04-16,15312.597084718647,15312.597084718647,19095.32513486467,12872.053692049332,16109.993339991812
1975-04-17,15410.118568571135,15410.118568571135,19276.745442045136,12915.267367692626,16213.724679535904
1975-04-18,15335.72240616318,15335.72240616318,19135.239473119196,12885.869379499954,16135.447466707015
1975-04-21,15723.190649371581,15723.190649371581,19860.056619607516,13051.210369793276,16545.077679773884
1975-04-22,15505.711772652228,15505.711772652228,19445.312720748017,12962.400407469355,16315.35164607918
1975-04-23,15384.006974034253,15384.006974034253,19214.203375110737,12913.195926360939,16186.994291138557
1975-04-24,15313.62832469179,15313.62832469179,19080.465233270625,12885.445871614234,16112.96575392439
1975-04-25,15532.470899972339,15532.470899972339,19488.637432668147,12979.831062247116,16344.58149099183
1975-04-28,15387.094852755996,15387.094852755996,19212.779375603084,12920.720635587786,16191.213101817653
1975-04-29,15203.39120000923,15203.39120000923,18866.265468176538,12845.101856926494,15997.235289290024
1975-04-30,15479.866287103747,15479.866287103747,19380.148635802037,12964.252322000228,16289.608667628996
1975-05-01,15763.294846979876,15763.294846979876,19911.38306614462,13085.058176944487,16588.88268367908
1975-05-02,16148.563196914389,16148.563196914389,20640.384565149063,13247.138383475172,16995.453696191926
1975-05-05,16502.463269788113,16502.463269788113,21317.625035832567,13394.368994969695,17368.735156097297
1975-05-06,16364.776056428185,16364.776056428185,21048.70328428013,13340.212109559694,17223.685411276158
1975-05-07,16563.263986700782,16563.263986700782,21430.082316512806,13423.070338239831,17433.084829349813
1975-05-08,16889.181548276913,16889.181548276913,22061.02257847087,13557.109735167036,17776.63537789436
1975-05-09,17173.094064693872,17173.094064693872,22615.538859454686,13672.994324811665,18075.83541633071
1975-05-12,16953.88311477982,16953.88311477982,22180.22145824138,13587.472116007655,17844.928625419696
1975-05-13,16970.691485844676,16970.691485844676,22211.21219903468,13596.049714515822,17862.735937807654
1975-05-14,17197.566618829533,17197.566618829533,22654.747173916257,13688.830728313742,18101.80273039678
1975-05-15,17144.023863813814,17144.023863813814,22546.83096016972,13669.343636182151,18045.47291215376
1975-05-16,16995.406381045497,16995.406381045497,22251.464464672048,13611.881328149746,17888.97979263451
1975-05-19,16806.282271607186,16806.282271607186,21877.841162152596,13537.904004665726,17689.80022813516
1975-05-20,16732.93238896076,16732.93238896076,21732.55532227571,13510.156827820865,17612.604308404378
1975-05-21,16373.821966698031,16373.821966698031,21030.546157665704,13366.823235562053,17234.227009593884
1975-05-22,16616.723532093558,16616.723532093558,21496.812353268375,13467.867504864631,17490.22393593108
1975-05-23,17044.71507123425,17044.71507123425,22325.59962879785,13643.225071927794,17941.055418061125
1975-05-27,16987.354373679347,16987.354373679347,22210.80872129352,13622.081914763085,17880.6995659358
1975-05-28,16773.72421022596,16773.72421022596,21789.630093545504,13538.187712913681,17655.723427511177
1975-05-29,16688.239743866,16688.239743866,21620.997856296777,13505.481270469814,17565.742554846423
1975-05-30,17223.061365911108,17223.061365911108,22658.56290519503,13723.792942308448,18128.982135101014
1975-06-02,17542.24380237284,17542.24380237284,23286.306565973802,13852.934885070028,18465.136527692946
1975-06-03,17646.894871273147,17646.894871273147,23492.388433583463,13896.204544954071,18575.359078364534
1975-06-04,17600.873383396964,17600.873383396964,23398.12664487757,13880.020084163978,18526.931014384012
1975-06-05,17680.549696297156,17680.549696297156,23554.68260146436,13913.381993818508,18610.847022799855
1975-06-06,17898.89424255933,17898.89424255933,23988.68919576408,14001.249775497527,18840.74511362307
1975-06-09,17573.895307542847,17573.895307542847,23332.840266105384,13876.05673373193,18498.5801953688
1975-06-10,17314.694435868532,17314.694435868532,22814.21675375623,13775.632409909484,18225.6844491605
1975-06-11,17393.70593194706,17393.70593194706,22968.11353682368,13808.994986189487,18308.901668022416
1975-06-12,17135.925899973667,17135.925899973667,22455.145503083182,13708.564255951094,18037.50012125318
1975-06-13,17313.61828854152,17313.61828854152,22802.213714609006,13781.571719094092,18224.613708308007
1975-06-16,17550.297552028263,17550.297552028263,23267.52970500388,13877.708755058007,18473.812640693155
1975-06-17,17303.96106007574,17303.96106007574,22775.265292071297,13782.2280079758,18214.47574427346
1975-06-18,17316.54931682093,17316.54931682093,22797.83481933059,13789.164111868908,18227.74955993453
1975-06-19,17760.6054666348,17760.6054666348,23672.515748598016,13967.907691524413,18695.24477454619
1975-06-20,18046.361406745313,18046.361406745313,24241.46852640757,14082.229420943726,18996.077830686794
1975-06-23,18266.598680118135,18266.598680118135,24682.802410894936,14170.124127769475,19227.93045507653
1975-06-24,18458.314754830157,18458.314754830157,25068.9070515282,14246.459558666036,19429.75372448492
1975-06-25,18484.02809879128,18484.02809879128,25118.76031979017,14258.363734949104,19456.827124148735
1975-06-26,18544.019263182625,18544.019263182625,25238.512680329248,14283.484997997717,19519.982921732866
1975-06-27,18561.198528970453,18561.198528970453,25271.035120647004,14292.086710411098,19538.071112174017
1975-06-30,18780.079686604277,18780.079686604277,25715.496448286023,14378.34419023417,19768.481338706413
1975-07-01,18477.531280645348,18477.531280645348,25091.19183136933,14264.678449950303,19450.005394154527
1975-07-02,18177.515636679094,18177.515636679094,24477.270662289095,14151.006006527858,19134.191503594666
1975-07-03,18410.64962656016,18410.64962656016,24945.433111076265,14243.875967374228,19379.605876247948
1975-07-07,18149.720007556516,18149.720007556516,24412.312709165963,14145.070047550123,19104.937503076064
1975-07-08,18056.094322339384,18056.094322339384,24220.67927313754,14110.70529506378,19006.384589740173
1975-07-09,18520.961435837547,18520.961435837547,25153.344152610192,14294.468967738669,19495.730395429087
1975-07-10,18657.60697681437,18657.60697681437,25428.89649580722,14349.343427073833,19639.572156044906
1975-07-11,18811.90755443212,18811.90755443212,25741.49932106713,14410.829692767544,19801.99737479356
1975-07-14,18971.12366636761,18971.12366636761,26065.414322646968,14473.97310409374,19969.596025112227
1975-07-15,19148.296750925343,19148.296750925343,26427.635510865162,14543.729027296446,20156.09617081949
1975-07-16,18878.007759675198,18878.007759675198,25865.11003211387,14443.260720383563,19871.58008710192
1975-07-17,18760.919423789775,18760.919423789775,25621.573059503953,14400.633115752053,19748.32918249026
