date,NAV_1x_gross,NAV_2x_gross,NAV_3x_gross,NAV_1x_real,NAV_2x_real,NAV_3x_real
1976-01-31,1.112916,1.236228,1.370654,1.112872,1.233848,1.365888
1976-02-29,1.103270,1.213409,1.330434,1.103185,1.208833,1.321353
1976-03-31,1.140923,1.296002,1.465782,1.140783,1.288234,1.449889
1976-04-30,1.131809,1.274104,1.426651,1.131623,1.263878,1.405943
1976-05-31,1.118827,1.243871,1.374221,1.118598,1.231485,1.349483
1976-06-30,1.168380,1.355179,1.560497,1.168090,1.338825,1.526487
1976-07-31,1.162486,1.340893,1.534773,1.162150,1.322004,1.495753
1976-08-31,1.160270,1.334792,1.522607,1.159884,1.313172,1.478130
1976-09-30,1.190156,1.403194,1.638967,1.189710,1.377654,1.585213
1976-10-31,1.167427,1.348404,1.540984,1.166941,1.321151,1.484900
1976-11-30,1.161976,1.334340,1.514373,1.161446,1.304827,1.454099
1976-12-31,1.227115,1.487267,1.780480,1.226502,1.451275,1.703024
1977-01-31,1.168947,1.348678,1.535902,1.168314,1.313339,1.463600
1977-02-28,1.147171,1.298470,1.450218,1.146507,1.262106,1.377299
1977-03-31,1.135391,1.271096,1.403199,1.134682,1.232731,1.327226
1977-04-30,1.139493,1.279031,1.414255,1.138736,1.238015,1.332961
1977-05-31,1.116686,1.227564,1.328485,1.115897,1.185767,1.247464
1977-06-30,1.171823,1.351005,1.532512,1.170945,1.302224,1.433495
1977-07-31,1.156643,1.315444,1.471073,1.155733,1.265600,1.371400
1977-08-31,1.137023,1.270460,1.395051,1.136076,1.219583,1.295236
1977-09-30,1.138631,1.273465,1.399024,1.137636,1.219970,1.294109
1977-10-31,1.093630,1.173955,1.236958,1.092628,1.122335,1.139930
1977-11-30,1.127711,1.246532,1.350618,1.126631,1.189293,1.240078
1977-12-31,1.135622,1.263284,1.376624,1.134487,1.202815,1.259273
1978-01-31,1.070414,1.121368,1.149734,1.069300,1.065499,1.047791
1978-02-28,1.048125,1.074444,1.077258,1.046995,1.019022,0.978436
1978-03-31,1.079337,1.138667,1.174164,1.078125,1.077628,1.062326
1978-04-30,1.176394,1.350311,1.512405,1.175028,1.275462,1.363578
1978-05-31,1.186547,1.372229,1.546861,1.185116,1.293392,1.389232
1978-06-30,1.170810,1.334711,1.481596,1.169348,1.255335,1.325439
1978-07-31,1.238924,1.493240,1.751002,1.237327,1.401719,1.560963
1978-08-31,1.276616,1.583906,1.910064,1.274913,1.483511,1.695875
1978-09-30,1.272219,1.571524,1.885026,1.270471,1.469049,1.667730
1978-10-31,1.160786,1.305520,1.422688,1.159141,1.217757,1.253735
