anno,n,mesi,fixed_rate,start_var,int_f,int_v,quota_fisso_cheaper,peak_over_f
2000,12,320,0.06255833333333333,0.047808333333333335,237336.37204456973,75369.44701237047,0.0,-0.08481524756855051
2001,12,308,0.0667,0.05098333333333333,252505.4088063807,82977.6249186699,0.0,-0.11317362374833051
2002,12,296,0.05830833333333333,0.044533333333333334,211399.35465310325,87015.50568576409,0.0,0.0019180240913279911
2003,12,284,0.052491666666666666,0.03850833333333333,183114.56697223312,95325.80218752606,0.0,0.12147455070304149
2004,12,272,0.05153333333333333,0.03540833333333333,175098.422698293,88577.59223208949,0.0,0.13305840188571086
2005,12,260,0.04751666666666667,0.03521666666666667,155438.09423484022,81321.73830906312,0.0,0.1835201989334363
2006,12,248,0.05203333333333333,0.04228333333333333,167346.6861800787,70307.43403659489,0.0,0.10946255875017598
2007,12,236,0.05739166666666667,0.05216666666666667,180991.7920527335,56487.74701238505,0.0,0.02538974434991927
2008,12,224,0.05826666666666667,0.05449166666666667,177453.38145546138,43373.67743512833,0.0,-0.019656519541884538
2009,12,212,0.050675,0.029516666666666667,145448.8455580814,62138.64025030645,0.0,-0.11096103362953451
2010,12,200,0.04480833333333333,0.023325000000000002,121446.5624745654,53725.63531971566,0.0,-0.062179940140061396
2011,12,188,0.046816666666666666,0.02959166666666667,121258.95653885497,51612.98404083241,0.0,-0.06803859139410377
2012,12,176,0.04939166666666667,0.03700833333333333,121967.98538268248,87444.7821360951,0.0,0.1054328568775542
2013,12,164,0.046275000000000004,0.034041666666666665,106891.69754194801,84677.73240319504,0.0,0.167330473485781
2014,12,152,0.043125,0.029116666666666666,92985.73353712191,69269.81010437592,0.0,0.16071161938528053
2015,12,140,0.03166666666666667,0.022116666666666663,62185.074862437476,55929.61130712694,0.0,0.28049263966802357
2016,12,128,0.024483333333333333,0.01825,43879.35748942359,50788.60400463885,0.9166666666666666,0.4021641919784769
2017,12,116,0.0229,0.016608333333333333,37392.732607911035,47183.44549079217,1.0,0.43589162710455737
2018,12,104,0.020425,0.015308333333333334,30056.634314686016,43208.70977068443,1.0,0.48281832399542285
2019,12,92,0.018199999999999997,0.014416666666666668,23928.244350460707,40766.87658281755,1.0,0.543026003304992
2020,12,80,0.013066666666666666,0.013574999999999999,14861.606083679115,38986.17513371855,1.0,0.6773550646078922
2021,12,68,0.013791666666666667,0.013533333333333333,13328.54952783072,38837.52213466235,1.0,0.7084500807195547
2022,12,56,0.02450833333333333,0.017725,19269.26407861054,33227.245039302456,1.0,0.43735921737109723
2023,12,44,0.04049166666666667,0.044333333333333336,25206.956941315177,24303.352023035946,0.25,0.1128406097820643
2024,12,32,0.033825,0.04625833333333334,14729.678150439031,15294.703923878451,0.8333333333333334,0.16206251036908045
2025,9,20,0.031855555555555554,0.03404444444444445,8352.556294997126,8758.949177967801,0.7777777777777778,0.05908941451480949
