date,Variabile,Fisso,Fisso con surroga
2013-07-01,5377.0,6087.0,6087.0
2014-01-01,10764.0,12175.0,12175.0
2014-07-01,16209.0,18262.0,18262.0
2015-01-01,21546.0,24349.0,24349.0
2015-07-01,26813.0,30437.0,29875.0
2016-01-01,32037.0,36524.0,35400.0
2016-07-01,37164.0,42611.0,40414.0
2017-01-01,42228.0,48699.0,45428.0
2017-07-01,47278.0,54786.0,50441.0
2018-01-01,52326.0,60874.0,55455.0
2018-07-01,57375.0,66961.0,60469.0
2019-01-01,62430.0,73048.0,65482.0
2019-07-01,67489.0,79136.0,70496.0
2020-01-01,72507.0,85223.0,75510.0
2020-07-01,77558.0,91310.0,79846.0
2021-01-01,82531.0,97398.0,84183.0
2021-07-01,87472.0,103485.0,88520.0
2022-01-01,92410.0,109572.0,92857.0
2022-07-01,97368.0,115660.0,97193.0
2023-01-01,102923.0,121747.0,101530.0
2023-07-01,109514.0,127834.0,105867.0
2024-01-01,116674.0,133922.0,110204.0
2024-07-01,123880.0,140009.0,114540.0
2025-01-01,130837.0,146097.0,118877.0
2025-07-01,137320.0,152184.0,123214.0
2026-01-01,143578.0,158271.0,127551.0
2026-07-01,149878.0,164359.0,131887.0
