date,strat,bench,sp_1x,sp_2x,nq_1x,nq_2x,contributed
1976-01-05,28197.5767,29515.5690,1.0186,1.0372,1.0090,1.0178,300.0000
1976-01-12,29463.3185,30806.8355,1.0607,1.1237,1.0596,1.1212,300.0000
1976-01-19,30136.5117,31492.5711,1.0835,1.1711,1.0854,1.1757,300.0000
1976-01-26,30494.6028,31857.1580,1.0993,1.2047,1.0895,1.1838,300.0000
1976-02-02,31008.6418,32380.1353,1.1132,1.2343,1.1181,1.2455,600.0000
1976-02-09,30795.7295,32164.3455,1.1002,1.2046,1.1252,1.2602,600.0000
1976-02-17,30782.8811,32151.3990,1.0947,1.1918,1.1378,1.2879,600.0000
1976-02-24,31777.1970,33160.3550,1.1284,1.2654,1.1751,1.3726,600.0000
1976-03-02,31339.8931,32717.8569,1.1132,1.2304,1.1599,1.3361,900.0000
1976-03-09,31298.7692,32677.1117,1.1140,1.2313,1.1527,1.3188,900.0000
1976-03-16,31380.1729,32760.7481,1.1186,1.2403,1.1512,1.3141,900.0000
1976-03-23,31749.8972,33136.6774,1.1341,1.2739,1.1576,1.3279,900.0000
1976-03-30,31726.5975,33113.5175,1.1323,1.2691,1.1592,1.3309,900.0000
1976-04-06,32161.1885,33554.7542,1.1481,1.3038,1.1728,1.3614,1200.0000
1976-04-13,31351.4139,32734.7720,1.1233,1.2469,1.1358,1.2757,1200.0000
1976-04-21,32104.9762,33499.8244,1.1494,1.3044,1.1628,1.3362,1200.0000
1976-04-28,31799.6998,33190.6445,1.1369,1.2756,1.1568,1.3216,1200.0000
1976-05-05,31420.1684,32806.2781,1.1238,1.2456,1.1432,1.2898,1500.0000
1976-05-12,32014.8031,33410.1994,1.1457,1.2937,1.1612,1.3297,1500.0000
1976-05-19,31522.9586,32911.8805,1.1288,1.2551,1.1434,1.2885,1500.0000
1976-05-26,30997.9014,32379.4635,1.1091,1.2105,1.1286,1.2545,1500.0000
1976-06-03,31212.9724,32598.5408,1.1188,1.2310,1.1307,1.2583,1800.0000
1976-06-10,31001.4072,32384.2979,1.1132,1.2180,1.1185,1.2305,1800.0000
1976-06-17,32199.3139,33601.4171,1.1594,1.3196,1.1494,1.2985,1800.0000
1976-06-24,32265.7675,33669.4833,1.1622,1.3253,1.1504,1.2999,1800.0000
1976-07-01,32285.3051,33689.6449,1.1608,1.3214,1.1565,1.3131,2100.0000
1976-07-09,32746.9910,34158.3629,1.1772,1.3581,1.1719,1.3473,2100.0000
1976-07-16,32788.5164,34200.4507,1.1747,1.3514,1.1837,1.3737,2100.0000
1976-07-23,32579.6022,33989.4870,1.1686,1.3367,1.1735,1.3493,2100.0000
1976-07-30,32420.8840,33829.0813,1.1625,1.3220,1.1695,1.3393,2100.0000
1976-08-06,32554.9989,33965.6575,1.1673,1.3321,1.1740,1.3488,2400.0000
1976-08-13,32696.3958,34109.6991,1.1733,1.3451,1.1761,1.3530,2400.0000
1976-08-20,32110.1030,33515.9065,1.1530,1.2980,1.1554,1.3047,2400.0000
1976-08-27,31812.8450,33214.9261,1.1438,1.2766,1.1419,1.2736,2400.0000
1976-09-03,32678.8196,34094.3613,1.1765,1.3495,1.1660,1.3270,2700.0000
1976-09-13,32687.5375,34103.8111,1.1772,1.3504,1.1653,1.3245,2700.0000
1976-09-20,33273.7633,34699.0314,1.2010,1.4046,1.1772,1.3508,2700.0000
1976-09-27,33569.2427,34999.1664,1.2126,1.4308,1.1842,1.3662,2700.0000
1976-10-04,32626.5883,34044.0918,1.1768,1.3466,1.1589,1.3074,3000.0000
1976-10-11,31938.3445,33346.1864,1.1507,1.2864,1.1404,1.2651,3000.0000
1976-10-18,31961.0216,33369.8038,1.1496,1.2829,1.1460,1.2768,3000.0000
1976-10-25,31641.8355,33046.0404,1.1346,1.2488,1.1449,1.2735,3000.0000
1976-11-01,32473.3359,33891.0720,1.1699,1.3266,1.1580,1.3020,3300.0000
1976-11-09,31369.4498,32770.8520,1.1279,1.2317,1.1284,1.2352,3300.0000
1976-11-16,31601.1280,33006.8299,1.1369,1.2508,1.1340,1.2468,3300.0000
1976-11-23,32242.9983,33659.3042,1.1597,1.3003,1.1558,1.2942,3300.0000
1976-12-01,32550.0678,33971.1557,1.1666,1.3151,1.1764,1.3399,3600.0000
1976-12-08,33100.2440,34529.4648,1.1856,1.3575,1.1961,1.3844,3600.0000
1976-12-15,33527.3497,34962.3354,1.1986,1.3866,1.2160,1.4298,3600.0000
1976-12-22,33471.1763,34905.6573,1.1946,1.3766,1.2193,1.4368,3600.0000
1976-12-30,34193.9536,35637.8116,1.2203,1.4354,1.2433,1.4928,3600.0000
1977-01-06,33797.9349,35236.2935,1.2000,1.3869,1.2463,1.4992,3900.0000
1977-01-13,33576.2997,35012.6385,1.1915,1.3665,1.2406,1.4842,3900.0000
1977-01-20,33328.8999,34761.7272,1.1784,1.3357,1.2437,1.4907,3900.0000
1977-01-27,32961.2093,34390.2047,1.1658,1.3066,1.2303,1.4580,3900.0000
1977-02-03,33023.9580,34454.2205,1.1674,1.3095,1.2341,1.4659,4200.0000
1977-02-10,32794.7595,34222.0340,1.1566,1.2845,1.2335,1.4638,4200.0000
1977-02-17,32865.1585,34293.8183,1.1587,1.2884,1.2370,1.4711,4200.0000
1977-02-25,32371.8011,33795.0126,1.1431,1.2532,1.2157,1.4200,4200.0000
1977-03-04,32919.3532,34350.7769,1.1638,1.2983,1.2307,1.4543,4500.0000
1977-03-11,32807.8897,34238.1220,1.1584,1.2856,1.2307,1.4535,4500.0000
1977-03-18,33152.7740,34588.6538,1.1733,1.3181,1.2355,1.4639,4500.0000
1977-03-25,32386.4305,33811.8608,1.1420,1.2479,1.2206,1.4280,4500.0000
1977-04-01,32365.3861,33791.8615,1.1447,1.2528,1.2111,1.4050,4800.0000
1977-04-11,32288.9358,33714.9265,1.1419,1.2458,1.2089,1.3991,4800.0000
1977-04-18,32889.0022,34323.6510,1.1620,1.2892,1.2320,1.4520,4800.0000
1977-04-25,31903.0187,33324.1297,1.1238,1.2047,1.2075,1.3939,4800.0000
1977-05-02,32508.8818,33939.1444,1.1454,1.2506,1.2276,1.4398,5100.0000
1977-05-09,32684.0151,34116.6738,1.1492,1.2584,1.2396,1.4670,5100.0000
1977-05-16,32879.3807,34314.5094,1.1536,1.2672,1.2528,1.4974,5100.0000
1977-05-23,32516.9136,33947.6407,1.1393,1.2350,1.2446,1.4769,5100.0000
1977-05-31,31889.9705,33312.6295,1.1167,1.1858,1.2246,1.4290,5100.0000
1977-06-07,32355.7648,33786.2432,1.1364,1.2271,1.2320,1.4455,5400.0000
1977-06-14,33044.8739,34485.4575,1.1622,1.2826,1.2516,1.4910,5400.0000
1977-06-21,33393.1952,34838.4311,1.1734,1.3069,1.2661,1.5248,5400.0000
1977-06-28,33315.4005,34759.3488,1.1675,1.2928,1.2718,1.5377,5400.0000
1977-07-06,33271.1150,34713.8657,1.1619,1.2799,1.2806,1.5580,5700.0000
1977-07-13,33394.2961,34837.9914,1.1631,1.2818,1.2930,1.5874,5700.0000
1977-07-21,34080.5618,35532.5653,1.1875,1.3352,1.3157,1.6426,5700.0000
1977-07-28,33215.4587,34658.2118,1.1557,1.2637,1.2898,1.5774,5700.0000
1977-08-04,33194.0869,34637.6141,1.1562,1.2640,1.2861,1.5674,6000.0000
1977-08-11,33131.4502,34573.6467,1.1504,1.2506,1.2931,1.5836,6000.0000
1977-08-18,33027.8241,34469.0400,1.1458,1.2400,1.2921,1.5802,6000.0000
1977-08-25,32603.5564,34039.5355,1.1289,1.2029,1.2829,1.5568,6000.0000
1977-09-01,32816.0489,34255.8103,1.1379,1.2214,1.2862,1.5640,6300.0000
1977-09-09,32778.0185,34216.9089,1.1336,1.2112,1.2927,1.5790,6300.0000
1977-09-16,32808.2379,34248.5478,1.1359,1.2156,1.2905,1.5727,6300.0000
1977-09-23,32358.6197,33793.8446,1.1200,1.1811,1.2756,1.5355,6300.0000
1977-09-30,32874.3783,34316.8849,1.1386,1.2200,1.2920,1.5743,6300.0000
1977-10-07,32839.0851,34280.2478,1.1331,1.2074,1.3018,1.5975,6600.0000
1977-10-14,32007.7534,33439.7484,1.1057,1.1490,1.2689,1.5164,6600.0000
1977-10-21,31674.3425,33101.8431,1.0921,1.1202,1.2624,1.4999,6600.0000
1977-10-28,31658.5236,33087.8874,1.0966,1.1286,1.2489,1.4670,6600.0000
1977-11-04,31400.0011,32825.7891,1.0855,1.1050,1.2453,1.4576,6900.0000
1977-11-11,32881.8743,34329.0252,1.1388,1.2148,1.2931,1.5702,6900.0000
1977-11-18,32876.8974,34322.3103,1.1321,1.2000,1.3095,1.6093,6900.0000
1977-11-28,33263.2779,34712.2538,1.1417,1.2194,1.3331,1.6667,6900.0000
1977-12-05,32860.3644,34303.0105,1.1217,1.1763,1.3342,1.6684,7200.0000
1977-12-12,32698.3926,34139.6041,1.1152,1.1618,1.3309,1.6589,7200.0000
1977-12-19,32428.2776,33866.6716,1.1051,1.1402,1.3233,1.6391,7200.0000
1977-12-27,33010.7615,34458.6475,1.1301,1.1914,1.3318,1.6590,7200.0000
1978-01-04,32713.5786,34157.7309,1.1172,1.1637,1.3280,1.6483,7500.0000
1978-01-11,31332.2761,32760.9372,1.0731,1.0728,1.2694,1.5045,7500.0000
1978-01-18,31693.9962,33127.8365,1.0841,1.0941,1.2864,1.5442,7500.0000
1978-01-25,31474.2601,32903.9384,1.0712,1.0676,1.2922,1.5571,7500.0000
1978-02-01,31699.4769,33132.7569,1.0788,1.0821,1.3008,1.5769,7800.0000
1978-02-08,32114.4820,33552.7964,1.0907,1.1055,1.3218,1.6273,7800.0000
1978-02-15,31577.9349,33008.3534,1.0678,1.0589,1.3139,1.6068,7800.0000
1978-02-23,31264.6502,32690.6287,1.0547,1.0323,1.3087,1.5934,7800.0000
1978-03-02,31161.5829,32587.1723,1.0520,1.0263,1.3030,1.5783,8100.0000
1978-03-09,31440.8996,32870.2024,1.0600,1.0414,1.3172,1.6120,8100.0000
