start,end,cagr_strat,cagr_bench,mdd_strat,mdd_bench,vol_strat,vol_bench,dvol_strat,dvol_bench,final_strat,final_bench,contributed,months_in_2x_ndx,months_in_2x_sp,months_total,frac_2x_ndx,frac_2x_sp
1976-01-05,1991-01-01,0.13080,0.12994,-0.35294,-0.33604,0.14705,0.14192,0.12468,0.11964,156629.75315,155478.67355,54000.00000,24,7,180,0.13333,0.03889
1976-04-01,1991-03-31,0.14736,0.14530,-0.35368,-0.33602,0.14819,0.14273,0.12509,0.11978,180725.55679,177527.75050,54000.00000,25,7,180,0.13889,0.03889
1976-07-01,1991-06-30,0.14339,0.14141,-0.35417,-0.33601,0.14889,0.14321,0.12551,0.12003,174610.48899,171647.77389,54000.00000,25,7,180,0.13889,0.03889
1976-10-01,1991-09-30,0.14800,0.14541,-0.35466,-0.33599,0.14955,0.14364,0.12602,0.12036,181732.37033,177693.77277,54000.00000,25,7,180,0.13889,0.03889
1977-01-03,1992-01-01,0.15537,0.15202,-0.35518,-0.33597,0.15052,0.14433,0.12686,0.12095,193753.90436,188178.14228,54000.00000,25,7,180,0.13889,0.03889
1977-04-01,1992-03-31,0.15072,0.14715,-0.35573,-0.33595,0.15109,0.14463,0.12725,0.12114,186065.58596,180384.08633,54000.00000,25,7,180,0.13889,0.03889
1977-07-01,1992-06-30,0.14635,0.14325,-0.35635,-0.33594,0.15178,0.14502,0.12752,0.12120,179146.52590,174397.59308,54000.00000,25,7,180,0.13889,0.03889
1977-10-03,1992-09-30,0.14660,0.14320,-0.35699,-0.33594,0.15225,0.14522,0.12785,0.12131,179533.90345,174314.26476,54000.00000,25,7,180,0.13889,0.03889
1978-01-03,1993-01-03,0.15235,0.14760,-0.35771,-0.33594,0.15237,0.14505,0.12808,0.12129,188717.71598,181103.30174,54000.00000,25,7,180,0.13889,0.03889
1978-04-03,1993-03-31,0.15268,0.14765,-0.35850,-0.33595,0.15290,0.14522,0.12873,0.12161,189262.31061,181179.44841,54000.00000,25,7,180,0.13889,0.03889
1978-07-03,1993-06-30,0.14982,0.14451,-0.35931,-0.33597,0.15317,0.14513,0.12900,0.12162,184622.84594,176314.87607,54000.00000,25,7,180,0.13889,0.03889
1978-10-02,1993-09-30,0.15145,0.14514,-0.36010,-0.33600,0.15321,0.14486,0.12902,0.12140,187253.69522,177281.27923,54000.00000,25,7,180,0.13889,0.03889
1979-01-02,1994-01-02,0.15023,0.14358,-0.36096,-0.33602,0.15225,0.14356,0.12897,0.12099,185275.28128,174902.74812,54000.00000,25,7,180,0.13889,0.03889
1979-04-02,1994-04-03,0.14096,0.13474,-0.36187,-0.33604,0.15265,0.14356,0.12939,0.12110,170969.06097,162031.02463,54000.00000,25,7,180,0.13889,0.03889
1979-07-02,1994-06-30,0.13512,0.12943,-0.36280,-0.33608,0.15341,0.14385,0.12950,0.12088,162569.27555,154794.12094,54000.00000,25,7,180,0.13889,0.03889
1979-10-01,1994-10-02,0.13865,0.13187,-0.36374,-0.33612,0.15364,0.14371,0.12957,0.12065,167602.96407,158079.38317,54000.00000,25,7,180,0.13889,0.03889
1980-01-02,1995-01-02,0.13397,0.12728,-0.36471,-0.33615,0.15347,0.14312,0.12910,0.11989,160963.44910,151967.87076,54000.00000,25,7,180,0.13889,0.03889
1980-04-01,1995-04-02,0.14190,0.13391,-0.36569,-0.33619,0.15216,0.14148,0.12856,0.11907,172366.81337,160883.62517,54000.00000,25,7,180,0.13889,0.03889
1980-07-01,1995-07-02,0.15158,0.14131,-0.36679,-0.33622,0.15198,0.14083,0.12885,0.11898,187460.80703,171495.72357,54000.00000,25,7,180,0.13889,0.03889
1980-10-01,1995-10-01,0.15979,0.14735,-0.36781,-0.33626,0.15185,0.14014,0.12901,0.11877,201356.62886,180701.91542,54000.00000,25,7,180,0.13889,0.03889
1981-01-02,1996-01-01,0.16173,0.14903,-0.36878,-0.33630,0.15151,0.13922,0.12862,0.11804,204789.27331,183362.25787,54000.00000,25,7,180,0.13889,0.03889
1981-04-01,1996-03-31,0.16502,0.15127,-0.36980,-0.33635,0.15207,0.13916,0.12901,0.11802,210758.55744,186959.47461,54000.00000,25,7,180,0.13889,0.03889
1981-07-01,1996-06-30,0.16678,0.15361,-0.36617,-0.33640,0.15083,0.13911,0.12802,0.11806,214037.34033,190806.61563,54000.00000,22,7,180,0.12222,0.03889
1981-10-01,1996-09-30,0.16549,0.15338,-0.36360,-0.33646,0.15003,0.13894,0.12736,0.11790,211630.20467,190430.28697,54000.00000,20,7,180,0.11111,0.03889
1982-01-04,1997-01-01,0.17087,0.15748,-0.36463,-0.33652,0.15034,0.13870,0.12767,0.11789,221842.39111,197349.10260,54000.00000,20,7,180,0.11111,0.03889
1982-04-01,1997-03-31,0.16646,0.15356,-0.36577,-0.33658,0.15093,0.13853,0.12822,0.11780,213443.31850,190717.38176,54000.00000,20,7,180,0.11111,0.03889
1982-07-01,1997-06-30,0.18388,0.16728,-0.36704,-0.33665,0.15255,0.13926,0.12950,0.11845,248673.90878,214981.32527,54000.00000,20,7,180,0.11111,0.03889
1982-10-01,1997-09-30,0.19333,0.17285,-0.36845,-0.33671,0.15348,0.13915,0.13054,0.11883,270251.45192,225720.99088,54000.00000,20,7,180,0.11111,0.03889
1983-01-03,1998-01-01,0.18788,0.16861,-0.36971,-0.33677,0.15610,0.13999,0.13449,0.12085,257585.41088,217497.48807,54000.00000,20,7,180,0.11111,0.03889
1983-04-04,1998-03-31,0.20382,0.18016,-0.37092,-0.33684,0.15707,0.13996,0.13522,0.12083,296467.29093,240665.98904,54000.00000,20,7,180,0.11111,0.03889
1983-07-01,1998-06-30,0.20501,0.18007,-0.37207,-0.33692,0.15830,0.14020,0.13578,0.12069,299601.69921,240471.06536,54000.00000,20,7,180,0.11111,0.03889
1983-10-03,1998-09-30,0.18045,0.16420,-0.36339,-0.33699,0.16015,0.14462,0.13932,0.12566,241278.30323,209266.39231,54000.00000,13,7,180,0.07222,0.03889
1984-01-03,1999-01-03,0.20286,0.18448,-0.35999,-0.33706,0.16145,0.14697,0.13960,0.12713,293966.01457,249989.34396,54000.00000,10,7,180,0.05556,0.03889
1984-04-02,1999-03-31,0.20842,0.18813,-0.36087,-0.33712,0.16487,0.14890,0.14211,0.12849,308789.93555,258157.85533,54000.00000,10,7,180,0.05556,0.03889
1984-07-02,1999-06-30,0.21457,0.19213,-0.36183,-0.33718,0.16810,0.15062,0.14434,0.12957,326048.03370,267401.49393,54000.00000,10,7,180,0.05556,0.03889
1984-10-01,1999-09-30,0.20551,0.18333,-0.36286,-0.33723,0.17061,0.15168,0.14627,0.13036,300930.53409,247469.72305,54000.00000,10,7,180,0.05556,0.03889
1985-01-02,2000-01-02,0.23583,0.20487,-0.36391,-0.33727,0.17334,0.15289,0.14825,0.13140,393724.37424,299239.30910,54000.00000,10,7,180,0.05556,0.03889
1985-04-01,2000-04-02,0.24124,0.20738,-0.36497,-0.33731,0.18023,0.15644,0.15411,0.13422,413107.38709,305971.09245,54000.00000,10,7,180,0.05556,0.03889
1985-07-01,2000-07-02,0.22424,0.19492,-0.36608,-0.33735,0.19135,0.16296,0.16385,0.13927,355221.96130,274075.32437,54000.00000,12,7,180,0.06667,0.03889
1985-10-01,2000-10-01,0.21483,0.18678,-0.36722,-0.33740,0.19503,0.16457,0.16644,0.14017,326802.45028,255095.79252,54000.00000,14,7,180,0.07778,0.03889
1986-01-02,2001-01-01,0.18258,0.16112,-0.43311,-0.33744,0.20400,0.17019,0.17215,0.14334,245834.54731,203699.23110,54000.00000,17,7,180,0.09444,0.03889
1986-04-01,2001-04-01,0.15426,0.13718,-0.53641,-0.41924,0.21104,0.17472,0.17776,0.14683,191879.85116,165478.28490,54000.00000,20,7,180,0.11111,0.03889
1986-07-01,2001-07-01,0.16239,0.14364,-0.56356,-0.44371,0.21628,0.17774,0.18027,0.14781,205971.88134,174988.13822,54000.00000,23,8,180,0.12778,0.04444
1986-10-01,2001-09-30,0.12927,0.11507,-0.63447,-0.51260,0.22041,0.17969,0.18317,0.14891,154583.03877,136896.61513,54000.00000,26,9,180,0.14444,0.05000
1987-01-02,2002-01-01,0.14556,0.12841,-0.64063,-0.51319,0.22452,0.18119,0.18575,0.14948,177920.99364,153449.84960,54000.00000,29,12,180,0.16111,0.06667
1987-04-01,2002-03-31,0.14055,0.12348,-0.64603,-0.51367,0.22788,0.18214,0.18772,0.14965,170371.99889,147098.42574,54000.00000,32,15,180,0.17778,0.08333
1987-07-01,2002-06-30,0.11374,0.10069,-0.65193,-0.51415,0.23208,0.18366,0.18965,0.14967,135352.13859,121189.51556,54000.00000,35,18,180,0.19444,0.10000
1987-10-01,2002-09-30,0.07967,0.07422,-0.72389,-0.59068,0.23729,0.18907,0.19305,0.15327,101652.96367,97178.66205,54000.00000,38,19,180,0.21111,0.10556
1988-01-04,2003-01-01,0.08079,0.08196,-0.70402,-0.60789,0.21015,0.18069,0.16055,0.13466,102606.15292,103602.66879,54000.00000,37,17,180,0.20556,0.09444
1988-04-04,2003-03-31,0.07446,0.07591,-0.71348,-0.60817,0.21542,0.18211,0.16322,0.13413,97367.43209,98545.22059,54000.00000,40,20,180,0.22222,0.11111
1988-07-01,2003-06-30,0.09041,0.09055,-0.72213,-0.60859,0.21965,0.18266,0.16612,0.13397,111166.68228,111294.43881,54000.00000,43,23,180,0.23889,0.12778
1988-10-03,2003-09-30,0.09311,0.09263,-0.72942,-0.60895,0.22365,0.18341,0.16908,0.13431,113711.36588,113247.27103,54000.00000,46,26,180,0.25556,0.14444
1989-01-03,2004-01-01,0.10368,0.10190,-0.73605,-0.60916,0.22721,0.18384,0.17161,0.13433,124288.30011,122434.98976,54000.00000,49,29,180,0.27222,0.16111
1989-04-03,2004-03-31,0.10134,0.09958,-0.74203,-0.60933,0.23049,0.18429,0.17346,0.13400,121854.18031,120059.47889,54000.00000,52,31,180,0.28889,0.17222
1989-07-03,2004-06-30,0.10030,0.09833,-0.74838,-0.60952,0.23399,0.18464,0.17579,0.13390,120795.30839,118799.64348,54000.00000,55,34,180,0.30556,0.18889
1989-10-02,2004-09-30,0.09157,0.09065,-0.75467,-0.60960,0.23763,0.18504,0.17812,0.13382,112245.72249,111385.24023,54000.00000,58,37,180,0.32222,0.20556
1990-01-02,2005-01-02,0.10225,0.09954,-0.75410,-0.60965,0.23735,0.18457,0.17741,0.13296,122796.08843,120025.19878,54000.00000,60,39,180,0.33333,0.21667
1990-04-02,2005-03-31,0.09277,0.09121,-0.75933,-0.60956,0.23979,0.18441,0.17942,0.13280,113384.16890,111915.50077,54000.00000,63,39,180,0.35000,0.21667
1990-07-02,2005-06-30,0.09159,0.08978,-0.76486,-0.60945,0.24260,0.18445,0.18149,0.13265,112271.01263,110578.21893,54000.00000,66,39,180,0.36667,0.21667
1990-10-01,2005-10-02,0.09187,0.09061,-0.73646,-0.60918,0.22912,0.18285,0.17031,0.13160,112528.25369,111354.07896,54000.00000,65,39,180,0.36111,0.21667
1991-01-02,2006-01-02,0.09024,0.08869,-0.74244,-0.60842,0.23129,0.18204,0.17241,0.13120,111008.06768,109581.12933,54000.00000,68,39,180,0.37778,0.21667
1991-04-01,2006-04-02,0.09261,0.09018,-0.74803,-0.60793,0.23315,0.18113,0.17451,0.13104,113231.86411,110953.18739,54000.00000,71,39,180,0.39444,0.21667
1991-07-01,2006-07-02,0.08426,0.08282,-0.75346,-0.60770,0.23584,0.18112,0.17657,0.13095,105606.84485,104348.16812,54000.00000,74,39,180,0.41111,0.21667
1991-10-01,2006-10-01,0.08775,0.08534,-0.75933,-0.60750,0.23869,0.18106,0.17866,0.13069,108725.38532,106557.97251,54000.00000,77,39,180,0.42778,0.21667
1992-01-02,2007-01-02,0.09344,0.08953,-0.76488,-0.60742,0.24087,0.18043,0.18073,0.13034,114020.74597,110348.96921,54000.00000,80,39,180,0.44444,0.21667
1992-04-01,2007-04-01,0.09067,0.08680,-0.77011,-0.60755,0.24384,0.18071,0.18368,0.13103,111411.47336,107863.07328,54000.00000,83,39,180,0.46111,0.21667
1992-07-01,2007-07-01,0.09647,0.09093,-0.77531,-0.60755,0.24648,0.18058,0.18626,0.13123,116956.78025,111646.20800,54000.00000,86,39,180,0.47778,0.21667
1992-10-01,2007-09-30,0.09631,0.09027,-0.78042,-0.60738,0.25074,0.18184,0.18921,0.13195,116802.43841,111032.72967,54000.00000,89,39,180,0.49444,0.21667
1993-01-04,2008-01-01,0.08792,0.08309,-0.78542,-0.60733,0.25532,0.18337,0.19192,0.13255,108875.57728,104579.79902,54000.00000,92,39,180,0.51111,0.21667
1993-04-01,2008-03-31,0.06667,0.06594,-0.79080,-0.60749,0.26084,0.18566,0.19503,0.13351,91331.14020,90783.40566,54000.00000,95,39,180,0.52778,0.21667
1993-07-01,2008-06-30,0.06008,0.06029,-0.79614,-0.60759,0.26520,0.18679,0.19794,0.13407,86548.53048,86700.24070,54000.00000,98,39,180,0.54444,0.21667
1993-10-01,2008-09-30,0.04191,0.04603,-0.80166,-0.60777,0.27417,0.19212,0.20614,0.13997,74768.60261,77269.82184,54000.00000,101,39,180,0.56111,0.21667
1994-01-03,2009-01-01,-0.00433,0.01037,-0.81050,-0.60813,0.29863,0.21052,0.22692,0.15795,52269.24023,58426.00730,54000.00000,104,42,180,0.57778,0.23333
1994-04-04,2009-03-31,-0.02343,-0.00438,-0.83358,-0.60849,0.31262,0.21694,0.23607,0.16225,45395.39247,52252.33339,54000.00000,107,45,180,0.59444,0.25000
1994-07-01,2009-06-30,-0.00162,0.01347,-0.84296,-0.60871,0.32177,0.21911,0.24214,0.16331,53343.68970,59833.71025,54000.00000,110,48,180,0.61111,0.26667
1994-10-03,2009-09-30,0.01846,0.02901,-0.85084,-0.60881,0.32908,0.22009,0.24692,0.16358,62183.75127,67510.57746,54000.00000,113,51,180,0.62778,0.28333
1995-01-03,2010-01-03,0.02465,0.03344,-0.85803,-0.60901,0.33573,0.22073,0.25157,0.16388,65247.05712,69906.73296,54000.00000,116,54,180,0.64444,0.30000
1995-04-03,2010-03-31,0.02968,0.03678,-0.86463,-0.60913,0.34230,0.22140,0.25568,0.16388,67869.35924,71777.60372,54000.00000,119,57,180,0.66111,0.31667
1995-07-03,2010-06-30,0.00351,0.01792,-0.87021,-0.60923,0.34989,0.22360,0.25966,0.16459,55451.00065,61922.78944,54000.00000,122,59,180,0.67778,0.32778
1995-10-02,2010-09-30,0.01948,0.02940,-0.87597,-0.60952,0.35643,0.22459,0.26363,0.16463,62677.81502,67719.70647,54000.00000,125,62,180,0.69444,0.34444
1996-01-02,2011-01-02,0.03530,0.04022,-0.88034,-0.60976,0.36049,0.22474,0.26704,0.16486,70945.29866,73766.61872,54000.00000,128,63,180,0.71111,0.35000
1996-04-01,2011-03-31,0.04194,0.04457,-0.88394,-0.60989,0.36387,0.22484,0.26965,0.16498,74786.11292,76372.16097,54000.00000,131,63,180,0.72778,0.35000
1996-07-01,2011-06-30,0.03884,0.04222,-0.88732,-0.61014,0.36738,0.22514,0.27184,0.16486,72963.69490,74950.45644,54000.00000,134,63,180,0.74444,0.35000
1996-10-01,2011-10-02,0.00704,0.02134,-0.89075,-0.61031,0.37490,0.22864,0.27776,0.16808,56961.11062,63589.20223,54000.00000,137,63,180,0.76111,0.35000
1997-01-02,2012-01-02,0.02221,0.03223,-0.89434,-0.61047,0.38170,0.23097,0.28129,0.16875,64020.37288,69243.11583,54000.00000,140,64,180,0.77778,0.35556
1997-04-01,2012-04-01,0.04524,0.04726,-0.89721,-0.61058,0.38418,0.23067,0.28421,0.16909,76782.69099,78035.98693,54000.00000,143,64,180,0.79444,0.35556
1997-07-01,2012-07-01,0.03552,0.04095,-0.89993,-0.61055,0.38731,0.23086,0.28594,0.16882,71063.67201,74196.47127,54000.00000,146,64,180,0.81111,0.35556
1997-10-01,2012-09-30,0.04499,0.04714,-0.90225,-0.61060,0.38932,0.23052,0.28783,0.16880,76627.56496,77959.87349,54000.00000,149,64,180,0.82778,0.35556
1998-01-02,2013-01-01,0.04027,0.04419,-0.90444,-0.61069,0.38914,0.22910,0.28732,0.16750,73797.63965,76140.29083,54000.00000,152,64,180,0.84444,0.35556
1998-04-01,2013-03-31,0.05632,0.05459,-0.90653,-0.61072,0.39090,0.22882,0.28908,0.16751,83950.02101,82781.28712,54000.00000,155,64,180,0.86111,0.35556
1998-07-01,2013-06-30,0.06066,0.05741,-0.90841,-0.61075,0.39276,0.22880,0.29084,0.16765,86956.79623,84694.41294,54000.00000,158,64,180,0.87778,0.35556
1998-10-01,2013-09-30,0.07232,0.06433,-0.90987,-0.61074,0.38833,0.22548,0.28717,0.16504,95663.86009,89595.88442,54000.00000,160,64,180,0.88889,0.35556
1999-01-04,2014-01-01,0.08994,0.07520,-0.91142,-0.61071,0.38732,0.22416,0.28787,0.16480,110726.72105,97965.63224,54000.00000,162,64,180,0.90000,0.35556
1999-04-01,2014-03-31,0.09085,0.07589,-0.91244,-0.61084,0.38522,0.22283,0.28759,0.16455,111571.94455,98527.01009,54000.00000,163,64,180,0.90556,0.35556
1999-07-01,2014-06-30,0.09906,0.08102,-0.91317,-0.61098,0.38279,0.22159,0.28765,0.16461,119536.00571,102803.17587,54000.00000,163,64,180,0.90556,0.35556
1999-10-01,2014-09-30,0.10033,0.08177,-0.91388,-0.61118,0.38109,0.22061,0.28791,0.16471,120825.38941,103438.47252,54000.00000,163,64,180,0.90556,0.35556
2000-01-03,2015-01-01,0.10841,0.08684,-0.91459,-0.61148,0.38010,0.22016,0.28769,0.16446,129364.52477,107895.95450,54000.00000,163,64,180,0.90556,0.35556
2000-04-03,2015-03-31,0.11089,0.08819,-0.89662,-0.59098,0.36973,0.21782,0.27827,0.16277,132116.45055,109121.08678,54000.00000,153,64,180,0.85000,0.35556
2000-07-03,2015-06-30,0.11115,0.08839,-0.88325,-0.58452,0.35379,0.21307,0.26459,0.15972,132408.89162,109300.49185,54000.00000,151,64,180,0.83889,0.35556
2000-10-02,2015-09-30,0.09476,0.07935,-0.82899,-0.55111,0.33589,0.21328,0.25175,0.16032,115291.46549,101385.21172,54000.00000,135,50,180,0.75000,0.27778
2001-01-02,2016-01-03,0.10520,0.08716,-0.71936,-0.55111,0.30078,0.20893,0.22550,0.15761,125898.77721,108183.94794,54000.00000,85,44,180,0.47222,0.24444
2001-04-02,2016-03-31,0.10323,0.08610,-0.67985,-0.55111,0.27742,0.20628,0.20814,0.15573,123811.59630,107232.71814,54000.00000,44,40,180,0.24444,0.22222
2001-07-02,2016-06-30,0.10359,0.08656,-0.67133,-0.55111,0.26810,0.20393,0.20297,0.15523,124194.71628,107646.24915,54000.00000,38,36,180,0.21111,0.20000
2001-10-01,2016-10-02,0.11061,0.09173,-0.66708,-0.55111,0.26190,0.20152,0.19882,0.15395,131798.77687,112396.65047,54000.00000,35,34,180,0.19444,0.18889
