date,in_2x_ndx,in_2x_sp,dd_ndx,dd_sp
1976-01-05,False,False,0.0000,0.0000
1976-02-02,False,False,0.0000,0.0000
1976-03-01,False,False,-0.0200,-0.0195
1976-04-01,False,False,-0.0179,-0.0106
1976-05-03,False,False,-0.0330,-0.0223
1976-06-01,False,False,-0.0465,-0.0299
1976-07-01,False,False,-0.0197,-0.0065
1976-08-02,False,False,-0.0135,-0.0242
1976-09-01,False,False,-0.0209,-0.0128
1976-10-01,False,False,-0.0225,-0.0328
1976-11-01,False,False,-0.0230,-0.0397
1976-12-01,False,False,-0.0075,-0.0424
1977-01-03,False,False,-0.0019,-0.0041
1977-02-01,False,False,-0.0161,-0.0425
1977-03-01,False,False,-0.0280,-0.0571
1977-04-01,False,False,-0.0341,-0.0672
1977-05-02,False,False,-0.0209,-0.0666
1977-06-01,False,False,-0.0265,-0.0822
1977-07-01,False,False,0.0000,-0.0485
1977-08-01,False,False,-0.0228,-0.0547
1977-09-01,False,False,-0.0263,-0.0727
1977-10-03,False,False,-0.0189,-0.0699
1977-11-01,False,False,-0.0618,-0.1182
1977-12-01,False,False,-0.0062,-0.0822
1978-01-03,False,False,-0.0100,-0.0868
1978-02-01,False,False,-0.0334,-0.1209
1978-03-01,False,False,-0.0341,-0.1442
1978-04-03,False,False,-0.0029,-0.1276
1978-05-01,False,False,0.0000,-0.0328
1978-06-01,False,False,-0.0130,-0.0318
1978-07-03,False,False,-0.0350,-0.0501
1978-08-01,False,False,0.0000,-0.0000
1978-09-01,False,False,-0.0036,-0.0122
1978-10-02,False,False,-0.0427,-0.0351
1978-11-01,False,False,-0.1767,-0.0883
1978-12-01,False,False,-0.1656,-0.0896
1979-01-02,False,False,-0.1538,-0.0816
1979-02-01,False,False,-0.0969,-0.0466
1979-03-01,False,False,-0.1143,-0.0721
1979-04-02,False,False,-0.0567,-0.0295
1979-05-01,False,False,-0.0392,-0.0180
1979-06-01,False,False,-0.0538,-0.0377
