date,MSCI World,All Weather,Golden Butterfly,All Weather Aggressive
2017-12-31,100.0,100.0,100.0,100.0
2018-01-31,101.22,96.37,97.46,100.65
2018-02-28,98.23,95.11,96.38,98.68
2018-03-31,95.99,95.15,96.36,95.58
2018-04-30,98.14,95.95,97.58,97.63
2018-05-31,102.64,100.83,102.96,102.46
2018-06-30,103.73,101.21,103.33,102.21
2018-07-31,105.53,99.92,102.28,103.97
2018-08-31,107.13,101.08,103.84,105.87
2018-09-30,108.18,100.54,103.06,105.8
2018-10-31,103.04,99.74,101.47,100.48
2018-11-30,103.77,100.59,102.21,101.0
2018-12-31,95.45,100.13,99.78,94.03
2019-01-31,102.39,103.13,104.01,100.72
2019-02-28,106.44,104.36,106.41,103.93
2019-03-31,109.46,108.64,108.51,106.97
2019-04-30,113.99,109.43,110.12,112.2
2019-05-31,107.91,110.85,109.13,110.4
2019-06-30,112.31,112.29,111.8,117.59
2019-07-31,115.53,114.89,114.62,119.41
2019-08-31,113.97,120.43,117.63,117.97
2019-09-30,117.7,120.75,118.39,118.54
2019-10-31,118.41,119.38,118.0,121.24
2019-11-30,123.31,120.95,120.23,123.15
2019-12-31,124.91,119.32,119.92,125.29
2020-01-31,125.52,124.63,123.69,128.19
2020-02-29,115.5,125.57,121.61,120.74
2020-03-31,100.08,123.97,115.91,106.34
2020-04-30,112.47,130.52,124.24,121.16
2020-05-31,115.97,128.96,124.51,125.13
2020-06-30,117.22,128.51,124.83,127.94
2020-07-31,116.49,126.91,123.44,130.59
2020-08-31,123.61,126.02,124.23,137.76
2020-09-30,121.28,126.41,123.55,134.24
2020-10-31,118.27,123.96,122.91,135.62
2020-11-30,130.21,125.59,125.37,148.77
2020-12-31,131.72,123.81,126.45,159.45
2021-01-31,132.58,123.25,127.79,164.27
2021-02-28,135.43,120.27,126.48,168.14
2021-03-31,145.67,123.65,131.56,180.88
2021-04-30,146.91,123.52,130.07,180.32
2021-05-31,148.5,124.8,131.84,175.83
2021-06-30,154.49,129.51,134.91,182.66
2021-07-31,157.36,132.97,135.84,184.68
2021-08-31,162.57,134.74,138.26,192.19
2021-09-30,158.35,133.72,136.82,186.43
2021-10-31,166.41,136.32,139.38,198.63
2021-11-30,168.64,140.3,142.57,201.52
2021-12-31,174.92,141.72,144.51,202.77
2022-01-31,168.44,139.76,140.64,193.96
2022-02-28,163.11,138.92,140.99,190.49
2022-03-31,168.09,138.23,141.29,194.78
2022-04-30,163.64,138.08,141.74,188.54
2022-05-31,160.26,134.11,136.96,181.63
2022-06-30,151.07,132.1,135.6,172.3
2022-07-31,167.43,140.74,143.78,187.63
2022-08-31,162.43,137.53,142.0,183.2
2022-09-30,150.14,130.38,136.43,170.38
2022-10-31,159.33,128.82,137.69,175.17
2022-11-30,165.1,131.55,138.75,180.73
2022-12-31,152.43,124.69,132.41,167.68
2023-01-31,160.4,128.86,137.64,180.8
2023-02-28,159.77,127.09,136.72,179.13
2023-03-31,160.51,128.49,136.14,184.26
2023-04-30,161.51,128.03,135.11,183.41
2023-05-31,164.36,129.07,137.2,189.46
2023-06-30,172.07,129.47,138.45,197.53
2023-07-31,175.11,128.7,139.46,201.46
2023-08-31,172.68,127.65,137.61,195.85
2023-09-30,170.87,125.8,136.4,194.76
2023-10-31,165.69,123.08,134.4,194.04
2023-11-30,174.88,126.32,137.37,203.84
2023-12-31,181.98,131.41,143.38,213.8
2024-01-31,187.4,133.49,144.92,217.14
2024-02-29,195.97,133.93,147.23,230.71
2024-03-31,203.27,137.75,152.82,241.01
2024-04-30,196.66,134.22,149.94,233.49
2024-05-31,203.62,136.58,152.51,241.4
2024-06-30,210.25,140.33,155.46,249.39
2024-07-31,211.66,141.54,160.03,251.42
2024-08-31,212.41,141.47,158.53,247.72
2024-09-30,214.44,143.32,160.71,253.61
2024-10-31,216.1,143.42,163.99,259.38
2024-11-30,232.87,150.79,173.47,280.85
2024-12-31,229.67,148.26,170.08,278.39
2025-01-31,237.5,151.27,174.76,288.56
2025-02-28,236.57,154.74,175.0,283.34
2025-03-31,217.52,148.12,168.0,265.4
2025-04-30,208.2,141.27,161.52,255.87
2025-05-31,220.6,141.67,163.77,269.11
2025-06-30,223.7,141.07,162.8,273.71
2025-07-31,231.86,144.5,167.58,284.77
2025-08-31,233.2,144.17,169.69,285.88
2025-09-30,239.7,148.12,176.12,300.14
2025-10-31,247.64,152.7,181.94,313.19
2025-11-30,247.9,154.4,185.14,311.52
2025-12-31,246.91,152.26,183.64,309.38
2026-01-31,247.44,152.57,186.32,313.96
2026-02-28,252.45,158.95,195.28,323.28
2026-03-31,245.27,158.09,190.32,310.78
2026-04-30,262.64,158.98,193.96,336.32
2026-05-31,274.59,161.09,197.72,356.03
2026-06-30,278.86,162.16,198.89,358.6
2026-07-31,277.4,159.12,194.68,344.69
2026-08-31,283.79,163.03,200.01,359.68
