Date,port_pac_real,sp500_pac_real,world_pac_real,contributions_cumulated
2024-11-30,200.0,200.0,200.0,200.0
2024-12-31,393.7500914627489,395.1879376118357,394.3254335994644,400.0
2025-01-31,606.8967201953571,605.8013178270377,607.4104515872799,600.0
2025-02-28,800.3623068633271,798.110709044234,804.9151575089729,800.0
2025-03-31,981.1996069723434,953.6406027496025,970.6056208766803,1000.0
2025-04-30,1186.930057207579,1145.3724714976395,1177.5756846864015,1200.0
2025-05-31,1453.0286634524073,1417.353252949447,1446.4991610403533,1400.0
2025-06-30,1732.7684563711603,1690.185751551405,1711.817489943878,1600.0
2025-07-31,1952.937709227994,1929.1131658539368,1929.2004251491624,1800.0
2025-08-31,2210.3174904773705,2168.697676449485,2183.0963132521497,2000.0
2025-09-30,2529.905667778035,2445.9475832204794,2453.5987196149376,2200.0
2025-10-31,2823.212916188887,2704.252423261758,2700.492316642961,2400.0
2025-11-30,3006.088580642808,2909.5258074938984,2909.6870319017216,2600.0
2025-12-31,3235.445682442416,3133.5810173340988,3154.5588437769106,2800.0
