start,end,cagr_lump,cagr_pac,mdd_lump,mdd_pac,vol_lump,vol_pac,dvol_lump,dvol_pac,final_lump,final_pac,contributed,invested_lump
1976-01-05,1996-01-01,0.15987,0.13331,-0.35887,-0.35657,0.13866,0.29061,0.11197,0.11275,374846.71191,270320.85867,60000.00000,45036.72666
1976-04-01,1996-03-31,0.15098,0.13303,-0.35887,-0.35657,0.13905,0.31022,0.11265,0.11342,335785.69679,269396.17574,60000.00000,45036.72666
1976-07-01,1996-06-30,0.16042,0.14117,-0.35887,-0.35657,0.13848,0.31023,0.11293,0.11371,377407.47785,297619.63427,60000.00000,45036.72666
1976-10-01,1996-09-30,0.15603,0.13192,-0.35887,-0.35657,0.14302,0.31112,0.11431,0.11512,357419.86732,265752.71780,60000.00000,45036.72666
1977-01-03,1997-01-01,0.16149,0.13975,-0.35887,-0.35657,0.14623,0.31889,0.11418,0.11501,382475.70540,292457.18707,60000.00000,45036.72666
1977-04-01,1997-03-31,0.16123,0.13780,-0.35887,-0.35657,0.14035,0.30978,0.11464,0.11549,381238.66360,285552.57969,60000.00000,45036.72666
1977-07-01,1997-06-30,0.16330,0.14065,-0.35887,-0.35657,0.14285,0.31138,0.11480,0.11573,391178.99451,295711.00397,60000.00000,45036.72666
1977-10-03,1997-09-30,0.17301,0.14940,-0.35657,-0.35657,0.14380,0.31447,0.11494,0.11593,441439.58314,329302.95519,60000.00000,45036.72666
1978-01-03,1998-01-01,0.17659,0.14718,-0.35887,-0.35657,0.15583,0.31775,0.11779,0.11882,461576.31288,320438.29805,60000.00000,45036.72666
1978-04-03,1998-03-31,0.17979,0.15041,-0.35887,-0.35657,0.15049,0.29842,0.11834,0.11937,480449.32855,333459.43840,60000.00000,45036.72666
1978-07-03,1998-06-30,0.17036,0.14718,-0.35887,-0.35657,0.15418,0.30812,0.11858,0.11964,427048.65780,320437.45558,60000.00000,45036.72666
1978-10-02,1998-09-30,0.15623,0.13628,-0.35887,-0.35657,0.16182,0.35765,0.12394,0.12510,358330.32602,280311.78507,60000.00000,45036.72666
1979-01-02,1999-01-03,0.18332,0.15317,-0.35887,-0.35657,0.16107,0.30479,0.12582,0.12699,502093.58606,344998.74291,60000.00000,45036.72666
1979-04-02,1999-03-31,0.18615,0.16136,-0.35887,-0.35657,0.16639,0.31446,0.12787,0.12909,520235.29000,381830.20372,60000.00000,45036.72666
1979-07-02,1999-06-30,0.18626,0.16272,-0.35887,-0.35657,0.16874,0.31272,0.13009,0.13133,520948.43726,388325.06450,60000.00000,45036.72666
1979-10-01,1999-09-30,0.18978,0.17075,-0.35887,-0.35657,0.17129,0.33694,0.13118,0.13242,544443.85668,429135.35378,60000.00000,45036.72666
1980-01-02,2000-01-02,0.20677,0.18401,-0.35887,-0.35657,0.17376,0.31325,0.13064,0.13191,674098.74435,506451.65296,60000.00000,45036.72666
1980-04-01,2000-04-02,0.24247,0.20979,-0.35887,-0.35657,0.17432,0.30786,0.13382,0.13511,1057840.53670,700224.46830,60000.00000,45036.72666
