start,end,cagr_lump,cagr_pac,mdd_lump,mdd_pac,vol_lump,vol_pac,dvol_lump,dvol_pac,final_lump,final_pac,contributed,invested_lump
1976-01-05,1996-01-01,0.16749,0.15079,-0.32958,-0.32678,0.15647,0.30242,0.11627,0.11661,412083.76432,335033.08380,60000.00000,45036.72666
1976-04-01,1996-03-31,0.16376,0.15376,-0.32958,-0.32668,0.15532,0.31757,0.11653,0.11691,393393.10387,347519.46364,60000.00000,45036.72666
1976-07-01,1996-06-30,0.16433,0.15479,-0.32958,-0.32657,0.15622,0.31933,0.11671,0.11702,396218.46633,351998.26230,60000.00000,45036.72666
1976-10-01,1996-09-30,0.16340,0.15139,-0.32958,-0.32647,0.15901,0.32238,0.11713,0.11744,391640.61692,337509.42906,60000.00000,45036.72666
1977-01-03,1997-01-01,0.17206,0.16116,-0.32958,-0.32635,0.15923,0.33168,0.11717,0.11748,436207.01714,380921.76067,60000.00000,45036.72666
1977-04-01,1997-03-31,0.17790,0.16320,-0.32958,-0.32622,0.15346,0.32186,0.11761,0.11793,469231.57425,390663.64890,60000.00000,45036.72666
1977-07-01,1997-06-30,0.18136,0.16603,-0.32958,-0.32608,0.15341,0.32284,0.11798,0.11829,489939.07640,404653.22787,60000.00000,45036.72666
1977-10-03,1997-09-30,0.18942,0.17111,-0.31388,-0.32593,0.15444,0.32380,0.11826,0.11862,542036.07710,431090.91524,60000.00000,45036.72666
1978-01-03,1998-01-01,0.19816,0.17261,-0.32958,-0.32576,0.16134,0.32922,0.12023,0.12062,604915.32102,439217.59990,60000.00000,45036.72666
1978-04-03,1998-03-31,0.20703,0.17569,-0.32958,-0.32557,0.15664,0.30508,0.12068,0.12108,676323.46771,456404.51091,60000.00000,45036.72666
1978-07-03,1998-06-30,0.20401,0.17626,-0.32958,-0.32537,0.15743,0.31158,0.12084,0.12127,651093.42825,459668.36744,60000.00000,45036.72666
1978-10-02,1998-09-30,0.19089,0.16625,-0.32958,-0.32516,0.16215,0.34638,0.12408,0.12464,552086.82683,405761.64683,60000.00000,45036.72666
1979-01-02,1999-01-03,0.20733,0.17701,-0.32958,-0.32494,0.16083,0.31422,0.12448,0.12509,678844.21707,464028.86973,60000.00000,45036.72666
1979-04-02,1999-03-31,0.20682,0.17824,-0.32958,-0.32469,0.16275,0.31782,0.12489,0.12556,674494.50413,471198.93944,60000.00000,45036.72666
1979-07-02,1999-06-30,0.20800,0.17911,-0.32958,-0.32442,0.16273,0.31423,0.12521,0.12590,684651.07914,476332.41527,60000.00000,45036.72666
1979-10-01,1999-09-30,0.20414,0.17858,-0.32958,-0.32414,0.16317,0.33026,0.12531,0.12604,652157.12288,473241.21285,60000.00000,45036.72666
1980-01-02,2000-01-02,0.20868,0.17968,-0.32958,-0.32383,0.16387,0.31071,0.12531,0.12611,690479.44081,479792.17038,60000.00000,45036.72666
1980-04-01,2000-04-02,0.20994,0.17587,-0.32958,-0.32351,0.16373,0.30930,0.12618,0.12696,701542.66868,457438.56207,60000.00000,45036.72666
1980-07-01,2000-07-02,0.20452,0.17683,-0.32958,-0.32313,0.16663,0.31264,0.12736,0.12818,655280.61557,462986.98856,60000.00000,45036.72666
1980-10-01,2000-10-01,0.20323,0.17805,-0.32958,-0.32277,0.17314,0.32035,0.12724,0.12804,644716.11898,470061.03750,60000.00000,45036.72666
1981-01-02,2001-01-01,0.18603,0.16393,-0.32958,-0.32240,0.17081,0.33052,0.12776,0.12865,519441.56249,394226.46760,60000.00000,45036.72666
1981-04-01,2001-04-01,0.17852,0.15675,-0.32958,-0.32200,0.16998,0.33192,0.12913,0.13009,472832.61502,360632.18103,60000.00000,45036.72666
1981-07-01,2001-07-01,0.18215,0.15552,-0.32958,-0.32156,0.17260,0.32962,0.12953,0.13051,494833.70829,355184.85884,60000.00000,45036.72666
1981-10-01,2001-09-30,0.17925,0.14417,-0.35659,-0.35094,0.17066,0.32158,0.13069,0.13169,477183.59904,308763.46863,60000.00000,45036.72666
1982-01-04,2002-01-01,0.17420,0.14105,-0.35659,-0.35069,0.17064,0.32972,0.13099,0.13200,448045.23220,297168.44863,60000.00000,45036.72666
1982-04-01,2002-03-31,0.17902,0.13805,-0.35659,-0.35042,0.17035,0.32292,0.13107,0.13218,475831.80419,286435.44645,60000.00000,45036.72666
1982-07-01,2002-06-30,0.17431,0.12784,-0.35659,-0.35012,0.17138,0.32266,0.13154,0.13265,448626.14344,252872.82117,60000.00000,45036.72666
1982-10-01,2002-09-30,0.15196,0.11030,-0.46211,-0.45094,0.17491,0.31003,0.13503,0.13613,339895.54958,204632.15733,60000.00000,45036.72666
1983-01-03,2003-01-01,0.14737,0.11258,-0.47415,-0.46066,0.17684,0.31579,0.13511,0.13628,321180.69125,210296.09398,60000.00000,45036.72666
1983-04-04,2003-03-31,0.13044,0.10042,-0.47415,-0.46008,0.17880,0.31608,0.13560,0.13678,261005.22716,181890.87089,60000.00000,45036.72666
1983-07-01,2003-06-30,0.13572,0.11029,-0.47415,-0.45953,0.18101,0.33611,0.13566,0.13686,278393.64520,204618.22194,60000.00000,45036.72666
1983-10-03,2003-09-30,0.14041,0.11246,-0.47415,-0.45895,0.18105,0.33304,0.13570,0.13689,294851.33275,210000.17169,60000.00000,45036.72666
1984-01-03,2004-01-01,0.14424,0.11376,-0.47415,-0.45833,0.18019,0.33331,0.13582,0.13699,309028.58215,213320.96017,60000.00000,45036.72666
1984-04-02,2004-03-31,0.15337,0.11747,-0.47415,-0.45766,0.17940,0.33309,0.13586,0.13701,345855.76690,223048.34676,60000.00000,45036.72666
1984-07-02,2004-06-30,0.15208,0.11209,-0.47415,-0.45691,0.18032,0.32926,0.13606,0.13725,340407.93779,209063.01738,60000.00000,45036.72666
1984-10-01,2004-09-30,0.14524,0.10801,-0.47415,-0.45610,0.18020,0.32695,0.13618,0.13731,312867.88379,199094.94799,60000.00000,45036.72666
1985-01-02,2005-01-02,0.15057,0.11136,-0.47415,-0.45526,0.18051,0.31415,0.13654,0.13767,334090.11271,207247.23244,60000.00000,45036.72666
1985-04-01,2005-03-31,0.14397,0.10992,-0.47415,-0.45441,0.18082,0.32633,0.13648,0.13761,308040.31280,203694.71567,60000.00000,45036.72666
1985-07-01,2005-06-30,0.13768,0.10668,-0.47415,-0.45353,0.18074,0.33196,0.13645,0.13755,285161.67747,195961.92861,60000.00000,45036.72666
1985-10-01,2005-10-02,0.14016,0.10540,-0.47415,-0.45262,0.17831,0.31937,0.13661,0.13770,293931.25467,193008.31984,60000.00000,45036.72666
1986-01-02,2006-01-02,0.13336,0.10564,-0.47415,-0.45164,0.18039,0.32320,0.13652,0.13759,270489.10105,193550.06799,60000.00000,45036.72666
1986-04-01,2006-04-02,0.12636,0.10499,-0.47415,-0.45070,0.18177,0.32665,0.13626,0.13730,248377.02796,192045.59362,60000.00000,45036.72666
1986-07-01,2006-07-02,0.12063,0.10248,-0.47415,-0.44979,0.18200,0.33863,0.13605,0.13705,231730.63301,186396.88283,60000.00000,45036.72666
1986-10-01,2006-10-01,0.12661,0.10202,-0.47415,-0.44884,0.17893,0.32205,0.13495,0.13592,249139.33126,185384.92945,60000.00000,45036.72666
1987-01-02,2007-01-02,0.12691,0.10512,-0.47415,-0.44781,0.17772,0.31152,0.13498,0.13593,250036.37045,192345.52963,60000.00000,45036.72666
1987-04-01,2007-04-01,0.11539,0.10346,-0.47415,-0.44681,0.18109,0.33256,0.13513,0.13611,217526.57624,188591.16583,60000.00000,45036.72666
1987-07-01,2007-07-01,0.11760,0.10920,-0.47415,-0.44583,0.17818,0.32680,0.13476,0.13570,223396.51026,201966.82653,60000.00000,45036.72666
1987-10-01,2007-09-30,0.10855,0.10492,-0.47415,-0.44486,0.17914,0.39241,0.13543,0.13639,200401.45110,191889.93172,60000.00000,45036.72666
1988-01-04,2008-01-01,0.12368,0.10176,-0.47415,-0.44365,0.16366,0.31866,0.11356,0.11410,240433.18628,184826.54727,60000.00000,45036.72666
1988-04-04,2008-03-31,0.11338,0.09095,-0.47415,-0.44230,0.16286,0.31941,0.11274,0.11319,212333.67093,162665.44492,60000.00000,45036.72666
1988-07-01,2008-06-30,0.11183,0.09205,-0.47415,-0.44085,0.16357,0.32261,0.11273,0.11314,208419.86400,164783.97597,60000.00000,45036.72666
1988-10-03,2008-09-30,0.10701,0.08287,-0.47415,-0.43931,0.16640,0.31951,0.11840,0.11911,196746.63173,148015.14646,60000.00000,45036.72666
1989-01-03,2009-01-01,0.06447,0.04119,-0.50715,-0.49594,0.18228,0.32099,0.13621,0.13679,119817.92843,92445.89264,60000.00000,45036.72666
1989-04-03,2009-03-31,0.04454,0.02521,-0.55260,-0.53687,0.18816,0.32833,0.14052,0.14103,95909.52552,77839.80866,60000.00000,45036.72666
1989-07-03,2009-06-30,0.06463,0.05087,-0.55260,-0.53631,0.19016,0.32654,0.14156,0.14206,120030.53648,102856.09655,60000.00000,45036.72666
1989-10-02,2009-09-30,0.06372,0.05441,-0.55260,-0.53577,0.19218,0.34733,0.14186,0.14231,118798.20660,106982.74084,60000.00000,45036.72666
1990-01-02,2010-01-03,0.06915,0.06209,-0.55260,-0.53520,0.19043,0.35510,0.14115,0.14152,126365.47625,116632.25998,60000.00000,45036.72666
1990-04-02,2010-03-31,0.07341,0.06077,-0.55260,-0.53459,0.19056,0.34250,0.14151,0.14187,132685.92223,114906.23180,60000.00000,45036.72666
1990-07-02,2010-06-30,0.06550,0.05521,-0.55260,-0.53395,0.19326,0.34955,0.14260,0.14295,121226.74499,107952.31275,60000.00000,45036.72666
1990-10-01,2010-09-30,0.07614,0.05416,-0.55260,-0.53327,0.19148,0.34169,0.14236,0.14269,136919.21085,106686.20944,60000.00000,45036.72666
1991-01-02,2011-01-02,0.08426,0.06170,-0.55260,-0.53248,0.19074,0.32645,0.14230,0.14272,150424.72174,116115.52316,60000.00000,45036.72666
1991-04-01,2011-03-31,0.08370,0.06664,-0.55260,-0.53170,0.19451,0.33865,0.14269,0.14289,149454.25439,122810.24823,60000.00000,45036.72666
1991-07-01,2011-06-30,0.08148,0.06533,-0.55260,-0.53094,0.19533,0.33348,0.14272,0.14290,145637.86204,120995.64135,60000.00000,45036.72666
1991-10-01,2011-10-02,0.07500,0.05577,-0.55260,-0.53015,0.20144,0.34051,0.14625,0.14641,135133.66360,108631.17344,60000.00000,45036.72666
1992-01-02,2012-01-02,0.07092,0.05693,-0.55260,-0.52930,0.20307,0.34588,0.14689,0.14699,128945.16051,110051.86300,60000.00000,45036.72666
1992-04-01,2012-04-01,0.08164,0.06400,-0.55260,-0.52846,0.20206,0.33762,0.14719,0.14727,145910.60012,119183.66322,60000.00000,45036.72666
1992-07-01,2012-07-01,0.07739,0.05581,-0.55260,-0.52756,0.20495,0.33906,0.14721,0.14727,138902.99572,108672.11502,60000.00000,45036.72666
1992-10-01,2012-09-30,0.08805,0.06248,-0.55260,-0.52661,0.21794,0.34085,0.14716,0.14717,157226.73743,117148.65877,60000.00000,45036.72666
1993-01-04,2013-01-01,0.08375,0.06099,-0.55260,-0.52560,0.21632,0.34170,0.14720,0.14718,149529.64641,115186.15130,60000.00000,45036.72666
1993-04-01,2013-03-31,0.08941,0.06581,-0.55260,-0.52457,0.21750,0.34659,0.14734,0.14726,159763.99015,121657.39877,60000.00000,45036.72666
1993-07-01,2013-06-30,0.09277,0.07087,-0.55260,-0.52348,0.21174,0.34208,0.14746,0.14734,166185.45866,128879.41998,60000.00000,45036.72666
1993-10-01,2013-09-30,0.09014,0.06908,-0.55260,-0.52233,0.21341,0.34070,0.14750,0.14735,161136.32221,126267.40076,60000.00000,45036.72666
1994-01-03,2014-01-01,0.09553,0.07548,-0.55260,-0.52113,0.20812,0.33790,0.14751,0.14731,171668.53178,135879.75420,60000.00000,45036.72666
