date,World,USA,Europe,Japan,EM,EM Asia,World Small Cap,NASDAQ
2001-01-01,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
2001-02-01,0.915600,0.910639,0.912267,0.955044,0.921699,0.939989,0.971067,1.000000
2001-03-01,0.855634,0.852586,0.844510,0.927436,0.831170,0.839518,0.917982,0.664784
2001-04-01,0.919093,0.919014,0.905281,0.990490,0.872240,0.839994,0.990754,0.764921
2001-05-01,0.907677,0.924545,0.862157,0.988123,0.882651,0.847091,1.002054,0.763351
2001-06-01,0.879368,0.903387,0.829962,0.929300,0.864533,0.830844,0.999875,0.781961
2001-07-01,0.867788,0.894962,0.832121,0.860065,0.809903,0.785509,0.966815,0.734196
2001-08-01,0.826303,0.835528,0.810666,0.838558,0.801914,0.785643,0.964896,0.654387
2001-09-01,0.753602,0.771652,0.729779,0.760790,0.677794,0.667557,0.838654,0.543682
2001-10-01,0.768113,0.782951,0.752923,0.759208,0.719857,0.712610,0.894862,0.613472
2001-11-01,0.813670,0.843294,0.783160,0.767438,0.795013,0.814343,0.951370,0.701128
2001-12-01,0.818884,0.848653,0.803226,0.715674,0.858117,0.888300,0.975993,0.708792
2002-01-01,0.794165,0.836685,0.761335,0.659661,0.887197,0.930003,0.956026,0.703314
2002-02-01,0.787415,0.820348,0.761209,0.687067,0.901772,0.957248,0.947937,0.630127
2002-03-01,0.822390,0.850938,0.802705,0.727137,0.956015,1.025701,1.022175,0.671981
2002-04-01,0.794763,0.795748,0.797243,0.769470,0.962220,1.028261,1.038690,0.615213
2002-05-01,0.796605,0.789829,0.795772,0.817444,0.946889,1.010166,1.036087,0.589201
2002-06-01,0.748435,0.729637,0.768473,0.774875,0.875851,0.965404,0.982472,0.533974
2002-07-01,0.685442,0.677185,0.683046,0.721053,0.809237,0.927069,0.875782,0.485081
2002-08-01,0.686867,0.680409,0.683090,0.713416,0.821706,0.917005,0.871762,0.480506
2002-09-01,0.611480,0.603630,0.593243,0.682027,0.733052,0.806206,0.806057,0.428643
2002-10-01,0.656722,0.658463,0.650613,0.634574,0.780618,0.844966,0.815862,0.486598
2002-11-01,0.692277,0.698098,0.682575,0.660314,0.834350,0.902292,0.861995,0.541456
2002-12-01,0.658864,0.655940,0.657890,0.643310,0.806628,0.846121,0.822842,0.489357
2003-01-01,0.638957,0.640100,0.626833,0.617245,0.803116,0.860261,0.808303,0.484332
2003-02-01,0.628016,0.630357,0.606392,0.620885,0.781440,0.814838,0.794314,0.490744
2003-03-01,0.626290,0.636228,0.597678,0.593478,0.759283,0.773952,0.796329,0.492410
2003-04-01,0.682225,0.689384,0.679252,0.588850,0.826914,0.808757,0.878761,0.537947
2003-05-01,0.721548,0.726373,0.724116,0.617464,0.886263,0.878217,0.970681,0.586651
2003-06-01,0.734304,0.735376,0.731559,0.663008,0.936775,0.946966,1.002430,0.596925
2003-07-01,0.749354,0.749032,0.746570,0.689918,0.995443,1.034878,1.042740,0.638600
2003-08-01,0.765723,0.763087,0.745267,0.762630,1.062257,1.107121,1.108165,0.666788
2003-09-01,0.770580,0.754278,0.760441,0.808144,1.070044,1.096816,1.129038,0.658572
2003-10-01,0.816462,0.797334,0.811367,0.845137,1.161102,1.208849,1.228719,0.712548
2003-11-01,0.829090,0.805054,0.845920,0.819057,1.175371,1.190888,1.250836,0.723366
2003-12-01,0.881307,0.846887,0.915398,0.875883,1.260581,1.277395,1.303516,0.739754
2004-01-01,0.895644,0.862230,0.926193,0.891731,1.305350,1.344767,1.359609,0.763428
2004-02-01,0.910962,0.872692,0.953446,0.889126,1.365566,1.394848,1.387761,0.750511
2004-03-01,0.905273,0.858831,0.924031,1.008833,1.383112,1.385966,1.427233,0.737847
2004-04-01,0.887234,0.845645,0.917487,0.954152,1.270033,1.300730,1.362636,0.710931
2004-05-01,0.895931,0.856894,0.933605,0.920681,1.245019,1.242346,1.369028,0.736058
2004-06-01,0.914710,0.873082,0.946536,0.970287,1.250706,1.225147,1.430086,0.759166
2004-07-01,0.885088,0.843354,0.920634,0.912770,1.228591,1.182251,1.356601,0.700194
2004-08-01,0.889331,0.847673,0.921328,0.919391,1.280020,1.236828,1.355020,0.682385
2004-09-01,0.906440,0.856980,0.958301,0.898015,1.353950,1.289728,1.404913,0.704645
2004-10-01,0.928841,0.870086,0.992941,0.921527,1.386386,1.301603,1.446081,0.734144
2004-11-01,0.978044,0.905865,1.066013,0.966014,1.514801,1.426810,1.561603,0.779915
2004-12-01,1.015677,0.937620,1.111188,1.015589,1.587726,1.473190,1.626006,0.809680
2005-01-01,0.993000,0.914407,1.090709,0.992007,1.592751,1.499843,1.605470,0.768149
2005-02-01,1.024907,0.933477,1.145419,1.012462,1.732608,1.602310,1.657601,0.764677
2005-03-01,1.005436,0.918569,1.116927,0.991929,1.618463,1.516820,1.620058,0.745622
2005-04-01,0.984231,0.901972,1.090382,0.966411,1.575325,1.474183,1.556638,0.717184
2005-05-01,1.002473,0.931458,1.095799,0.957619,1.630790,1.529624,1.605403,0.772362
2005-06-01,1.011590,0.933793,1.111345,0.956691,1.687083,1.572413,1.653127,0.768670
2005-07-01,1.047152,0.968879,1.151922,0.966224,1.806458,1.675325,1.738915,0.816964
2005-08-01,1.055531,0.959882,1.169356,1.033459,1.822719,1.622799,1.756751,0.805265
2005-09-01,1.083252,0.968107,1.197764,1.140602,1.992681,1.727291,1.801708,0.805650
2005-10-01,1.057186,0.952225,1.160153,1.126936,1.862488,1.609126,1.741701,0.794432
2005-11-01,1.092987,0.990702,1.180014,1.175047,2.016697,1.748482,1.812796,0.837118
2005-12-01,1.117481,0.991259,1.221555,1.275851,2.136161,1.878254,1.887467,0.827364
2006-01-01,1.167598,1.018315,1.301494,1.340183,2.376063,2.025193,2.030399,0.865618
2006-02-01,1.166349,1.019348,1.302654,1.328838,2.373789,2.021025,2.014365,0.857022
2006-03-01,1.192522,1.032422,1.353890,1.362848,2.395068,2.059641,2.108956,0.879530
2006-04-01,1.229365,1.046032,1.424529,1.402519,2.565986,2.203757,2.164566,0.873641
2006-05-01,1.188472,1.015079,1.387693,1.315314,2.297676,2.033552,2.043954,0.820172
2006-06-01,1.188614,1.016218,1.392879,1.300765,2.292804,2.018839,2.012611,0.818161
2006-07-01,1.196290,1.019611,1.414345,1.293569,2.326522,2.016829,1.956585,0.788337
2006-08-01,1.227954,1.044241,1.459302,1.312994,2.386962,2.088332,2.011598,0.823644
2006-09-01,1.242950,1.070826,1.471870,1.291871,2.407027,2.171984,2.018868,0.852358
2006-10-01,1.288824,1.107420,1.535144,1.314362,2.521481,2.232087,2.107654,0.893790
2006-11-01,1.321053,1.129395,1.590141,1.323699,2.709269,2.412504,2.181275,0.918954
2006-12-01,1.348265,1.143112,1.641239,1.356638,2.831521,2.502264,2.218847,0.913336
2007-01-01,1.364451,1.163828,1.651115,1.368118,2.802921,2.450913,2.259321,0.932336
2007-02-01,1.357913,1.142542,1.645258,1.423172,2.786684,2.456139,2.277167,0.914876
2007-03-01,1.383347,1.154899,1.705612,1.404908,2.898314,2.508424,2.334783,0.917562
2007-04-01,1.445192,1.204405,1.818049,1.377600,3.036232,2.630673,2.411633,0.957369
2007-05-01,1.487095,1.246583,1.853281,1.400103,3.184518,2.802583,2.474234,0.988120
2007-06-01,1.476147,1.225740,1.853576,1.395906,3.335147,2.972108,2.455858,0.988287
2007-07-01,1.443756,1.187799,1.814371,1.393681,3.512848,3.207638,2.374447,0.967320
2007-08-01,1.443288,1.205836,1.794593,1.352756,3.439344,3.163431,2.307305,0.986991
2007-09-01,1.512416,1.251607,1.885522,1.384473,3.819460,3.535567,2.355878,1.027615
2007-10-01,1.559133,1.272699,1.973656,1.379216,4.245706,3.929883,2.471341,1.088254
2007-11-01,1.496109,1.218977,1.910920,1.353953,3.944929,3.561213,2.284696,1.013552
2007-12-01,1.477240,1.212017,1.877483,1.300417,3.959093,3.542586,2.243808,1.010919
2008-01-01,1.364679,1.138459,1.681827,1.240988,3.466182,3.036533,2.066149,0.911569
2008-02-01,1.357441,1.103066,1.709191,1.249562,3.723289,3.261915,2.083300,0.867021
2008-03-01,1.345098,1.099002,1.716909,1.199648,3.526591,3.042821,2.063353,0.870505
2008-04-01,1.416875,1.153400,1.797712,1.286825,3.813357,3.294829,2.147694,0.922150
2008-05-01,1.440246,1.171804,1.810295,1.319229,3.885210,3.160020,2.226309,0.964750
2008-06-01,1.325888,1.076295,1.653122,1.229353,3.498150,2.766522,2.047502,0.877554
2008-07-01,1.293828,1.063986,1.605808,1.187458,3.368966,2.747068,2.011193,0.890602
2008-08-01,1.276239,1.078559,1.542806,1.140234,3.100971,2.554623,2.010384,0.907266
2008-09-01,1.124995,0.979627,1.310359,1.013008,2.558625,2.131616,1.743919,0.802240
2008-10-01,0.911988,0.812095,1.032046,0.863267,1.858758,1.618885,1.349505,0.660520
2008-11-01,0.853585,0.752175,0.961786,0.852501,1.718967,1.504381,1.235208,0.589808
2008-12-01,0.881410,0.761928,1.012349,0.921847,1.853510,1.673194,1.310371,0.606125
2009-01-01,0.804452,0.699856,0.900632,0.859193,1.734567,1.567391,1.210440,0.567858
2009-02-01,0.722651,0.628128,0.809535,0.752830,1.637006,1.467270,1.084573,0.530320
2009-03-01,0.777575,0.681952,0.866030,0.769132,1.872483,1.700943,1.174613,0.588694
2009-04-01,0.865589,0.747431,0.988895,0.843165,2.184370,1.984894,1.369453,0.661762
2009-05-01,0.945107,0.788554,1.111581,0.930059,2.558880,2.285440,1.489515,0.684178
2009-06-01,0.941242,0.790338,1.090236,0.946441,2.524919,2.279188,1.506966,0.708042
2009-07-01,1.021247,0.849912,1.204941,0.986941,2.810645,2.570819,1.639716,0.763866
2009-08-01,1.063831,0.879471,1.281163,1.025795,2.801338,2.500587,1.740159,0.776172
2009-09-01,1.106601,0.913586,1.340756,1.008602,3.056075,2.730512,1.843214,0.820482
2009-10-01,1.087150,0.895889,1.325276,0.983305,3.060137,2.704422,1.770856,0.791141
2009-11-01,1.132125,0.949189,1.364225,0.973214,3.191741,2.787635,1.813162,0.830154
2009-12-01,1.152819,0.968742,1.385009,0.980775,3.318180,2.914791,1.896771,0.878917
2010-01-01,1.105393,0.934758,1.303303,0.999394,3.133656,2.741486,1.851351,0.832324
2010-02-01,1.121415,0.963607,1.277497,1.010604,3.145343,2.743242,1.894698,0.868114
2010-03-01,1.191490,1.021313,1.361219,1.061687,3.399525,2.955423,2.041804,0.930631
2010-04-01,1.192322,1.037678,1.326088,1.060059,3.441471,3.025281,2.121152,0.955788
2010-05-01,1.079246,0.954013,1.167509,0.974338,3.140255,2.765995,1.918194,0.877142
2010-06-01,1.042644,0.903282,1.159206,0.954817,3.117731,2.803974,1.829543,0.820286
2010-07-01,1.127449,0.966412,1.294355,0.988833,3.379570,2.964147,1.971944,0.877401
2010-08-01,1.085816,0.923485,1.246935,0.966266,3.315073,2.922226,1.881683,0.823243
2010-09-01,1.187481,1.007445,1.384095,1.011074,3.683924,3.251504,2.099006,0.922932
2010-10-01,1.232009,1.047119,1.444163,1.031698,3.791213,3.336851,2.182326,0.977624
2010-11-01,1.205990,1.048286,1.335038,1.053397,3.691286,3.273107,2.193934,0.974694
2010-12-01,1.295059,1.118392,1.447176,1.133715,3.955129,3.478920,2.400729,1.035675
2011-01-01,1.324620,1.145207,1.504510,1.135157,3.848575,3.430368,2.422653,1.054794
2011-02-01,1.371584,1.183602,1.554371,1.186949,3.813253,3.298822,2.521177,1.087602
2011-03-01,1.358688,1.185011,1.542118,1.078691,4.038052,3.534485,2.552077,1.087855
2011-04-01,1.417270,1.221272,1.667850,1.082631,4.164190,3.669151,2.649502,1.124749
2011-05-01,1.389303,1.208033,1.616496,1.065023,4.056621,3.613128,2.596494,1.110528
2011-06-01,1.367860,1.187550,1.586025,1.080663,3.995922,3.536754,2.541096,1.087068
2011-07-01,1.343420,1.164420,1.532654,1.118970,3.980894,3.566009,2.482361,1.081072
2011-08-01,1.249330,1.100013,1.379288,1.028045,3.626605,3.195019,2.278131,1.012401
2011-09-01,1.141921,1.020896,1.228229,1.011794,3.098477,2.790952,2.023332,0.948682
2011-10-01,1.260361,1.133058,1.376972,1.009304,3.509200,3.127550,2.262936,1.054970
2011-11-01,1.230311,1.129951,1.315343,0.964790,3.275515,2.862834,2.209215,1.030491
2011-12-01,1.230092,1.140649,1.295178,0.972862,3.236350,2.882080,2.191745,1.025202
2012-01-01,1.292184,1.194367,1.356246,1.016846,3.604064,3.189132,2.357584,1.108008
2012-02-01,1.356018,1.246990,1.442691,1.068193,3.820613,3.373222,2.465325,1.169011
2012-03-01,1.374197,1.286922,1.435161,1.083266,3.693505,3.267012,2.490286,1.218914
2012-04-01,1.359550,1.279164,1.404840,1.048674,3.650391,3.262636,2.473356,1.201899
2012-05-01,1.243487,1.200574,1.235388,0.955086,3.242913,2.953717,2.254008,1.116286
2012-06-01,1.307469,1.248047,1.333997,1.004260,3.369598,3.030239,2.336595,1.159553
2012-07-01,1.324640,1.264966,1.349262,0.980280,3.437754,3.094363,2.333693,1.162089
2012-08-01,1.358892,1.294657,1.408912,0.973190,3.427818,3.074054,2.411093,1.213242
2012-09-01,1.396833,1.327670,1.450900,0.996545,3.635338,3.298734,2.496611,1.233539
2012-10-01,1.387791,1.303710,1.472158,0.977878,3.613658,3.285079,2.482602,1.179336
2012-11-01,1.406311,1.312202,1.510584,1.001103,3.659803,3.376752,2.508132,1.193195
2012-12-01,1.433515,1.324676,1.553300,1.054232,3.839190,3.494293,2.589370,1.197662
2013-01-01,1.506980,1.394773,1.644509,1.092941,3.892719,3.532272,2.740679,1.247094
2013-02-01,1.510221,1.412696,1.599565,1.122108,3.844372,3.531172,2.763741,1.255090
2013-03-01,1.546375,1.465835,1.597257,1.177601,3.778991,3.449087,2.860337,1.298550
2013-04-01,1.596173,1.494825,1.669524,1.280915,3.808955,3.500481,2.896520,1.323762
2013-05-01,1.598193,1.526324,1.675483,1.208409,3.713027,3.470704,2.927710,1.375193
2013-06-01,1.559451,1.505975,1.595083,1.229616,3.478415,3.269465,2.866054,1.355152
2013-07-01,1.642005,1.585211,1.712735,1.237034,3.516640,3.314704,3.051041,1.444897
2013-08-01,1.607754,1.541479,1.691058,1.210443,3.457625,3.276281,2.993164,1.431314
2013-09-01,1.688792,1.592536,1.812908,1.312174,3.683573,3.448769,3.201251,1.504674
2013-10-01,1.755299,1.663241,1.890608,1.312183,3.863079,3.614999,3.300267,1.564812
2013-11-01,1.787308,1.710680,1.913403,1.331752,3.806893,3.620789,3.361103,1.621813
2013-12-01,1.825797,1.756623,1.956491,1.342532,3.752163,3.574881,3.441878,1.669509
2014-01-01,1.758583,1.696987,1.881122,1.290744,3.509350,3.404884,3.378535,1.641553
2014-02-01,1.847554,1.776780,2.019114,1.283885,3.626338,3.517111,3.557177,1.724340
2014-03-01,1.851278,1.788982,1.999794,1.269087,3.738466,3.566346,3.543072,1.681806
2014-04-01,1.871264,1.799732,2.052132,1.236343,3.752384,3.572913,3.484897,1.649106
2014-05-01,1.909845,1.842684,2.074340,1.286535,3.884214,3.720355,3.525776,1.701528
2014-06-01,1.944832,1.882163,2.072881,1.353994,3.989171,3.825673,3.665468,1.769057
2014-07-01,1.914262,1.855685,1.994651,1.361844,4.069582,3.958380,3.518246,1.754818
2014-08-01,1.957230,1.930165,2.003211,1.332330,4.162918,4.002930,3.627530,1.840516
2014-09-01,1.904914,1.900011,1.928294,1.324333,3.855215,3.771845,3.425565,1.806827
2014-10-01,1.917692,1.945864,1.877536,1.307090,3.901118,3.827189,3.484261,1.863257
2014-11-01,1.957027,1.997467,1.927749,1.311151,3.860089,3.834060,3.500689,1.929231
2014-12-01,1.926283,1.991373,1.845311,1.292572,3.684012,3.763366,3.521823,1.908135
2015-01-01,1.891833,1.935158,1.845481,1.322770,3.706396,3.853745,3.458682,1.868786
2015-02-01,2.003613,2.048369,1.961539,1.403105,3.821605,3.946902,3.672892,2.002384
2015-03-01,1.973546,2.018800,1.911343,1.426268,3.768025,3.961305,3.682205,1.978440
2015-04-01,2.020848,2.037260,1.996656,1.476850,4.058789,4.237341,3.717714,1.996120
2015-05-01,2.029526,2.064409,1.984678,1.496236,3.897036,4.121358,3.773267,2.049398
2015-06-01,1.983160,2.025309,1.924343,1.470796,3.798793,3.959748,3.740612,2.017145
2015-07-01,2.019418,2.065783,1.984568,1.477737,3.537800,3.677894,3.724916,2.075684
2015-08-01,1.886614,1.940465,1.843455,1.391907,3.219049,3.340858,3.528475,1.934683
2015-09-01,1.817879,1.889076,1.757665,1.298757,3.123356,3.290902,3.379663,1.872640
