EURUSD,mese
0.7061909035241388,1969-12
0.7061909035241389,1970-01
0.7061909035241389,1970-02
0.7061909035241388,1970-03
0.7061909035241387,1970-04
0.7061909035241388,1970-05
0.7061909035241388,1970-06
0.7061909035241388,1970-07
0.7061909035241388,1970-08
0.7061909035241383,1970-09
0.7061909035241387,1970-10
0.7061909035241387,1970-11
0.7061909035241386,1970-12
0.7106567794606401,1971-01
0.7117722873071206,1971-02
0.7117722873071207,1971-03
0.7111847417379817,1971-04
0.7273557638661452,1971-05
0.7359297021435457,1971-06
0.7425046558168188,1971-07
0.7566552612483817,1971-08
0.7699999126816061,1971-09
0.7770605215856975,1971-10
0.7754984268649969,1971-11
0.7907056739165284,1971-12
0.8000553169375186,1972-01
0.8113060163533014,1972-02
0.8141683068412866,1972-03
0.8133484507830409,1972-04
0.8129647113824889,1972-05
0.8157100002835156,1972-06
0.8176194821265178,1972-07
0.8111277912751758,1972-08
0.8094512251098767,1972-09
0.805993110545824,1972-10
0.8067981979330591,1972-11
0.8080088492241927,1972-12
0.8086661369433541,1973-01
0.859976279121061,1973-02
0.9187610930251486,1973-03
0.9111177054774213,1973-04
0.9261022275604099,1973-05
1.0019610431455839,1973-06
1.10644636425443,1973-07
1.0649603242267607,1973-08
1.066014479459848,1973-09
1.0707397600970827,1973-10
1.0013787559173795,1973-11
0.9725171038485713,1973-12
0.9181409921133697,1974-01
0.952132434575388,1974-02
0.9871891784043801,1974-03
1.0231409654415122,1974-04
1.0499913498937066,1974-05
1.0235056060263525,1974-06
1.012479907120945,1974-07
0.9871137744035854,1974-08
0.9713110510704053,1974-09
0.9968600381434541,1974-10
1.0293344113494018,1974-11
1.0548335742147281,1974-12
1.092925158314664,1975-01
1.1106779712510626,1975-02
1.114413274219958,1975-03
1.0879108960764157,1975-04
1.0996208070190805,1975-05
1.104319037341743,1975-06
1.0452779176197473,1975-07
1.0042969796776304,1975-08
0.9869253147880211,1975-09
1.00114603048315,1975-10
0.9980918701337461,1975-11
0.9858712693665745,1975-12
0.9931445559647833,1976-01
1.0088835266397396,1976-02
1.0096323073821678,1976-03
1.0183840452712174,1976-04
1.0088835266397396,1976-05
1.0027773838596896,1976-06
