indice,anni,base_deterministica_pct,mc_media_pct,mc_dev_std_bps,mc_p5_pct,mc_p95_pct,scarto_medio_bps
MSCI World,1,7.304,7.338,4.55,7.272,7.41,3.42
MSCI World,3,7.563,7.562,3.24,7.507,7.62,-0.17
MSCI World,5,7.003,6.999,2.85,6.954,7.041,-0.42
MSCI World,10,7.277,7.283,2.92,7.234,7.328,0.61
MSCI World,15,6.621,6.626,2.27,6.589,6.66,0.52
MSCI World,20,6.096,6.106,2.3,6.07,6.146,1.02
MSCI ACWI IMI,1,7.671,7.693,6.66,7.571,7.795,2.15
MSCI ACWI IMI,3,7.409,7.415,4.97,7.335,7.485,0.56
MSCI ACWI IMI,5,6.767,6.765,4.52,6.691,6.834,-0.2
MSCI ACWI IMI,10,5.201,5.192,4.86,5.104,5.263,-0.82
MSCI ACWI IMI,15,4.946,4.95,4.42,4.877,5.019,0.36
MSCI ACWI IMI,20,5.031,5.022,4.0,4.951,5.083,-0.89
S&P 500,1,9.523,9.503,5.18,9.418,9.597,-2.0
S&P 500,3,9.702,9.738,2.72,9.695,9.782,3.53
S&P 500,5,10.586,10.569,2.71,10.524,10.614,-1.71
S&P 500,10,8.267,8.266,3.16,8.218,8.315,-0.14
S&P 500,15,7.296,7.29,2.1,7.256,7.322,-0.63
S&P 500,20,6.412,6.415,2.19,6.379,6.449,0.29
Nasdaq Composite,1,10.718,10.721,9.29,10.561,10.886,0.3
Nasdaq Composite,3,9.929,9.922,6.33,9.822,10.033,-0.66
Nasdaq Composite,5,11.38,11.369,4.47,11.294,11.44,-1.12
Nasdaq Composite,10,9.072,9.074,4.69,9.001,9.151,0.24
Nasdaq Composite,15,9.295,9.31,3.73,9.246,9.367,1.45
Nasdaq Composite,20,7.515,7.516,4.2,7.45,7.585,0.17
Russell 2000,1,7.086,7.14,10.89,6.954,7.315,5.37
Russell 2000,3,7.569,7.55,6.9,7.423,7.652,-1.85
Russell 2000,5,5.779,5.767,7.27,5.646,5.878,-1.28
Russell 2000,10,6.464,6.462,4.85,6.384,6.542,-0.22
Russell 2000,15,6.31,6.299,5.84,6.185,6.388,-1.09
Russell 2000,20,6.252,6.254,4.99,6.16,6.331,0.21
