indice,anni,finestre,da,a,lordo_mediana,netto_p5,netto_p25,netto_mediana,netto_p75,netto_p95,netto_moltiplicatore_mediano,lordo_moltiplicatore_mediano,erosione_pp,solo_costi_pp,solo_tasse_pp,quota_finestre_negative_netto,reale_p5,reale_p25,reale_mediana,reale_p75,reale_p95,reale_moltiplicatore_mediano,quota_finestre_negative_reale,inflazione_mediana
MSCI World,1,668,1969-12,2026-07,0.10588602591433072,-0.2558677137313539,-0.013486337988880714,0.0730363473919563,0.1577383904333186,0.2923719507183492,1.0730363473919562,1.1058860259143306,0.032849678522374415,0.0071882591684439,0.025661419353930515,0.27095808383233533,-0.3095817333164937,-0.07976098093734443,0.030659790163857337,0.11281013772701243,0.2110170014671356,1.0306597901638574,0.4161676646706587,0.04104213073187468
MSCI World,3,644,1969-12,2026-07,0.1070290065641456,-0.1244628301958763,0.012167919098407809,0.07563290543180512,0.11914364622846929,0.19732576641300933,1.2444925392168185,1.3566789768318444,0.03139610113234048,0.0071956885426675,0.02420041258967298,0.2204968944099379,-0.19335469751321796,-0.06839452744010024,0.030766659962309095,0.06926712730155177,0.1325714828219053,1.095168963632164,0.38509316770186336,0.03974077223463557
MSCI World,5,620,1969-12,2026-07,0.09793335858548746,-0.05754589281740809,0.005826246793895318,0.07003014949266095,0.10995905400485928,0.19034974727023643,1.4027493427469442,1.59543789490068,0.02790320909282651,0.0071365668308061014,0.020766642262020407,0.23225806451612904,-0.14768156222341913,-0.04290339965207357,0.022454260624553468,0.06711692460516872,0.10539641999935122,1.1174277690460772,0.4483870967741935,0.033047363851462896
MSCI World,10,560,1969-12,2026-07,0.0975584726148282,-0.019752248623756373,0.04177914872503502,0.07277064322976934,0.09668497022986705,0.15073466757229376,2.018720206208908,2.5368005261975197,0.024787829385058857,0.007134130071996703,0.017653699313062154,0.0875,-0.11091652910961881,-0.004329383509664664,0.021672601863239493,0.04567337129741744,0.0835213769990407,1.2391318146233712,0.26071428571428573,0.03089855382294948
MSCI World,15,500,1969-12,2026-07,0.08733323358331002,0.015780261879851088,0.044150174932649056,0.06621156625109614,0.10196014758054156,0.1205273695974728,2.6160843434191006,3.511082562185053,0.021121667332213878,0.007067666018291785,0.014054001313922093,0.0,-0.05751807140726745,-0.004501467017673344,0.01970026028360894,0.04195299172247985,0.07339776889460156,1.3399538371525526,0.3,0.03393648299561269
MSCI World,20,440,1969-12,2026-07,0.07960940757240442,0.027527522143351614,0.046320309054808995,0.06095690513054208,0.08517302938296367,0.13127424711014926,3.265540008561108,4.627360817602595,0.01865250244186234,0.0070174611492210826,0.011635041292641257,0.0,-0.0469554361998215,0.005980461198781095,0.019603941208728548,0.03494984943623641,0.053299476488535745,1.474450252412907,0.21818181818181817,0.03541878526778486
MSCI ACWI IMI,1,375,1994-05,2026-07,0.11088485370048473,-0.26846101931100896,0.006939953717378322,0.07671143559205928,0.14604678163748996,0.24668041294392307,1.0767114355920593,1.1108848537004847,0.034173418108425446,0.007220751549053217,0.02695266655937223,0.24266666666666667,-0.28730365545206066,-0.022396677479965932,0.05438907054490749,0.12099711814202418,0.23570887473664398,1.0543890705449075,0.2853333333333333,0.020221669102487905
MSCI ACWI IMI,3,351,1994-05,2026-07,0.10502496704470254,-0.12347393773882676,0.0331671209670098,0.07409308351049138,0.10545026817404257,0.16035580726406173,1.2391553607039965,1.3493240832237057,0.03093188353421117,0.007182662285790675,0.023749221248420493,0.19658119658119658,-0.1456388592703856,0.008472379898025517,0.054558201992919164,0.08684283027248474,0.1352943122391539,1.172766795995315,0.21082621082621084,0.021310332330973125
MSCI ACWI IMI,5,327,1994-05,2026-07,0.0949540793502488,-0.04945583914914451,0.0036272545345006346,0.06766715144462587,0.09147918589349868,0.13008629260940352,1.387328811687043,1.573908676994225,0.027286927905622926,0.007117201515777438,0.020169726389845488,0.22324159021406728,-0.07082364655408413,-0.016869940179003673,0.047288869711372916,0.07797928941965115,0.10250267805586497,1.2598894521021091,0.3180428134556575,0.021944853638429018
MSCI ACWI IMI,10,267,1994-05,2026-07,0.07282928307189196,-0.026607260233861486,0.03744752089172365,0.05200615405326836,0.0780127090181073,0.09410087520229199,1.6602856096739194,2.019789878405289,0.0208231290186236,0.006973390339967578,0.01384973867865602,0.1198501872659176,-0.04836760347710652,0.01373973016930885,0.029151460267939466,0.0611554825303825,0.08153114692505449,1.3328858148990075,0.19850187265917604,0.0199483838581902
MSCI ACWI IMI,15,207,1994-05,2026-07,0.06810847358436112,0.018435987305779424,0.02753365272643238,0.049459565679766504,0.06262200466557499,0.09400334841815491,2.0629355335272894,2.6867694826769846,0.018648907904594614,0.006942705078298861,0.011706202826295753,0.0,-0.0032223835747256734,0.005351872764283838,0.034740179502967816,0.04704611609176945,0.07433557474148601,1.6690513541088496,0.13526570048309178,0.018545102756542198
MSCI ACWI IMI,20,147,1994-05,2026-07,0.06772917236740161,0.024652235378019527,0.04042227608980986,0.050307045727739474,0.06320673573678426,0.07011290619343886,2.6688586750251146,3.7087039986833354,0.01742212663966214,0.0069402396203883665,0.010481887019273772,0.0,0.007999367280507163,0.021977178934772912,0.03031495716863497,0.044363801884772625,0.05028177144826207,1.8171889664662328,0.006802721088435374,0.018475710315465133
S&P 500,1,451,1988-01,2026-07,0.13516018479339542,-0.247726645107743,0.007733151448490072,0.09523043108765372,0.18855541808638798,0.30363461037848927,1.0952304310876537,1.1351601847933954,0.0399297537057417,0.006470413053322854,0.033459340652418845,0.21286031042128603,-0.2734974627025636,-0.015125696817454348,0.07228152402216925,0.1609044296343769,0.27289611869632946,1.0722815240221693,0.28824833702882485,0.022557926783053572
S&P 500,3,427,1988-01,2026-07,0.13380396437303776,-0.12093400524899489,0.049765375330849126,0.09702357403160677,0.13297922932000705,0.25572504202906465,1.3202247824343425,1.4575179551590969,0.03678039034143099,0.006462682596926728,0.030317707744504263,0.1686182669789227,-0.14302810060066992,0.0158098513067072,0.06215139272022219,0.11610737498042667,0.22145723371406179,1.1982826431392504,0.20374707259953162,0.023099847624958647
S&P 500,5,403,1988-01,2026-07,0.14151565967324387,-0.05385461167570873,0.010179093040562748,0.10586289806028848,0.13701126817776466,0.21816193379217524,1.6538893025192145,1.9382481060888002,0.035652761612955386,0.006506639260137614,0.02914612235281777,0.22084367245657568,-0.07617257414083232,-0.012137750588595897,0.07319162769392062,0.11565829162855479,0.17888239980335935,1.4235947565623959,0.2977667493796526,0.022732346890383948
S&P 500,10,343,1988-01,2026-07,0.10822569892404754,-0.0436826080113745,0.04670731089041802,0.0826720103447307,0.12484208388087725,0.16266978797687334,2.2129372219639762,2.7943587974367228,0.025553688579316836,0.006316886483867412,0.019236802095449423,0.13411078717201166,-0.06559040881949187,0.02510998322861191,0.0562534898504059,0.1033772409712942,0.129741085076098,1.728548496275199,0.16034985422740525,0.02170433307957187
S&P 500,15,283,1988-01,2026-07,0.09406119444567129,0.019465902613051412,0.03876780280030412,0.07296288520681826,0.0899597360206269,0.13455722124828298,2.8758782320643475,3.8514495458740328,0.02109830923885303,0.006236148808340447,0.014862160430512583,0.0,-0.002173488933395551,0.017115145846963165,0.04819550968190045,0.06634142858294778,0.1138436161555139,2.0259765942992987,0.07420494699646643,0.021208565149961833
S&P 500,20,223,1988-01,2026-07,0.08223078433351971,0.03988054328787063,0.052820618679349396,0.06412367548282183,0.0784505627064731,0.09191666165884518,3.466108207151744,4.857330648669656,0.018107108850697884,0.0061687154707013026,0.011938393379996581,0.0,0.015937603650766376,0.02916279587859605,0.03892691070668319,0.05495332428565214,0.07160443207795437,2.1463468913972896,0.0,0.01932170478271744
Nasdaq Composite,1,607,1975-01,2026-07,0.15407297650192775,-0.2848192409828397,-0.016813988065919105,0.10718189059053529,0.21692614572429714,0.450127179980448,1.1071818905905353,1.1540729765019277,0.04689108591139246,0.009232583812015083,0.03765850209937738,0.2784184514003295,-0.3063606941026954,-0.08548709949074357,0.05736326589118912,0.1675552380003017,0.36479880523186614,1.0573632658911891,0.3986820428336079,0.02888338778716415
