indice,anni,finestre,da,a,lordo_mediana,netto_p5,netto_p25,netto_mediana,netto_p75,netto_p95,netto_moltiplicatore_mediano,lordo_moltiplicatore_mediano,erosione_pp,solo_costi_pp,solo_tasse_pp,quota_finestre_negative_netto,reale_p5,reale_p25,reale_mediana,reale_p75,reale_p95,reale_moltiplicatore_mediano,quota_finestre_negative_reale,inflazione_mediana
MSCI World,1,362,1995-06,2026-07,0.11323775731759222,-0.27875427654761503,0.008430902808166052,0.07844126680232033,0.15082299307775204,0.249292242169963,1.0784412668023204,1.1132377573175922,0.034796490515271894,0.00723604542256473,0.027560445092707164,0.23204419889502761,-0.29764693335847187,-0.0162837327886321,0.059413071512235516,0.12857639676437865,0.23165209068059417,1.0594130715122354,0.27900552486187846,0.02003731812552334
MSCI World,3,338,1995-06,2026-07,0.11086374840259339,-0.13618581127467735,0.025035709575568277,0.07858256948379805,0.1029477244216857,0.1751024932686253,1.2547586342110613,1.3708261589566852,0.03228117891879534,0.007220614364617295,0.025060564554178044,0.20710059171597633,-0.15620064648648904,0.00590200736804064,0.05572225943894371,0.08929761928127339,0.1517153514570416,1.1766562096865747,0.23668639053254437,0.021147062345178158
MSCI World,5,314,1995-06,2026-07,0.09801326778669661,-0.05566143613584708,-0.00766388265803522,0.07009363413692582,0.09596139029396278,0.12185853707136261,1.403166650317458,1.5960205146291906,0.027919633649770792,0.007137086240613932,0.02078254740915686,0.28343949044585987,-0.07770567731740641,-0.028588218463510423,0.04919337766002052,0.0786028962995618,0.10138495010285226,1.2713904143026797,0.35668789808917195,0.02178391788647349
MSCI World,10,254,1995-06,2026-07,0.07197169773624112,-0.03968307352198551,0.031585602103634536,0.051297309940264824,0.08560341182650716,0.09943502154643771,1.649132818016577,2.0037029490318528,0.0206743877959763,0.006967816035285956,0.013706571760690345,0.1732283464566929,-0.060908004546839076,0.0116767834233516,0.030215197421937345,0.06895886600957635,0.08859077402923135,1.3467321670754187,0.2125984251968504,0.01948207511088651
MSCI World,15,194,1995-06,2026-07,0.07080767176564784,0.013198351152156385,0.022638237174602283,0.05178251985632065,0.06287988951655754,0.10143706596685607,2.132505379083972,2.790443815164374,0.019025151909327187,0.00696024986647692,0.012064902042850267,0.0,-0.0076212011283794566,0.0008649956887582522,0.03724294639523473,0.04806912566523153,0.08146481965411323,1.7306501925383684,0.2422680412371134,0.01848440149176589
MSCI World,20,134,1995-06,2026-07,0.06524308246759403,0.02219467847477965,0.0354613262758941,0.04810467934135898,0.06612081658715413,0.07250547141985238,2.559175914977538,3.5398352746720176,0.017138403126235047,0.006924080036039726,0.01021432309019532,0.0,0.0056789770726171866,0.018126120052878947,0.02973332057282807,0.04637151613394769,0.05257528282512917,1.7967913770963913,0.007462686567164179,0.018288203305987905
MSCI ACWI IMI,1,362,1995-06,2026-07,0.11129519016181222,-0.27472985719604026,0.0060174050283515745,0.07701311085506235,0.1457252758749415,0.2473498944935427,1.0770131108550625,1.1112951901618122,0.03428207930674987,0.007223418736052256,0.027058660570697612,0.2430939226519337,-0.2932913414566411,-0.021306615923468636,0.05485089700214807,0.12297071415194977,0.2357129836078416,1.0548508970021482,0.27900552486187846,0.02003731812552334
MSCI ACWI IMI,3,338,1995-06,2026-07,0.10351208657246336,-0.12767237650211963,0.031351595856493164,0.07293144408808172,0.10182982986494127,0.1555188621083688,1.2351393797343053,1.3437898645923794,0.030580642484381637,0.0071728285627213895,0.023407813921660248,0.20414201183431951,-0.14907468955216607,0.006779067989405196,0.05212221943441586,0.0844431247862848,0.13386407055120159,1.1646585223717691,0.21893491124260356,0.021147062345178158
MSCI ACWI IMI,5,314,1995-06,2026-07,0.09248921852529723,-0.05001214616997415,0.00220110628489667,0.06571581138790661,0.08876916556248432,0.11300938549862898,1.3746975452476125,1.5562736625739904,0.026773407137390626,0.007101179920415035,0.01967222721697559,0.23248407643312102,-0.0711437519365703,-0.01814384932031657,0.04492265143755747,0.07217287418160245,0.09502321277768537,1.2457281952664077,0.33121019108280253,0.02178391788647349
MSCI ACWI IMI,10,254,1995-06,2026-07,0.0745285867747213,-0.026990955801974453,0.033528934743866645,0.053413147978529696,0.07877680612206234,0.0942581571829213,1.682629930580274,2.0520196127499886,0.0211154387961916,0.006984435814036183,0.014131002982155416,0.12598425196850394,-0.04851288140298271,0.014471098638259572,0.030933333779049388,0.0619587108400555,0.08182972885561171,1.3561441538809662,0.20866141732283464,0.01948207511088651
