date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1881-01-31,1.0,1.0636415525114156,1.0,1.0,1.0,1.0
1881-02-28,1.0,1.0639995363403438,1.0,1.0,1.0,1.0
1881-03-31,1.0,1.0799509070229178,1.0,1.0,1.0,1.0
1881-04-30,1.0,1.0804556917684547,1.0,1.0,1.0,1.0
1881-05-31,1.0,1.1331467249683096,1.0,1.0,1.0,1.0
1881-06-30,1.0,1.1512334900014576,1.0,1.0,1.0,1.0
1881-07-31,1.0,1.1152209935437118,1.0,1.0,1.0,1.0
1881-08-31,1.0,1.093194647148918,1.0,1.0,1.0,1.0
1881-09-30,1.0,1.1064187759450743,1.0,1.0,1.0,1.0
1881-10-31,1.0,1.0932155118854632,1.0,1.0,1.0,1.0
1881-11-30,1.0,1.1049179543568657,1.0,1.0,1.0,1.0
1881-12-31,1.0,1.077473505975223,1.0,1.0,1.0,1.0
1882-01-31,1.0,1.0661190985356614,1.0,1.0,1.0,1.0
1882-02-28,1.0,1.0475100376941042,1.0,1.0,1.0,1.0
1882-03-31,1.0,1.0505253227767009,1.0,1.0,1.0,1.0
1882-04-30,1.0046136101499423,1.0505253227767009,1.0,1.0,1.0,1.0
1882-05-31,0.9970819048835355,1.0505253227767009,1.0,1.0,1.0,1.0
1882-06-30,0.996499837221607,1.0505253227767009,1.0,1.0,1.0,1.0
1882-07-31,0.996499837221607,1.1146418917724619,1.0,1.0,1.0,1.0
1882-08-31,0.996499837221607,1.1530351124890688,1.0,1.0,1.0,1.0
1882-09-30,0.996499837221607,1.1692049684355175,1.0,1.0,1.0,1.0
1882-10-31,0.996499837221607,1.142348230378505,1.0,1.0,1.0,1.0
1882-11-30,0.996499837221607,1.0984358876401767,1.0,1.0,1.0,1.0
1882-12-31,0.996499837221607,1.1091492611857205,1.0,1.0,1.0,1.0
1883-01-31,0.996499837221607,1.1085161851233998,1.0,1.0,1.0,1.0
1883-02-28,0.9787880959954881,1.1085161851233998,1.0,1.0,1.0,1.0
1883-03-31,0.9787880959954881,1.1274094253267135,1.0,1.0,1.0,1.0
1883-04-30,0.9787880959954881,1.156207383473646,1.0,1.0,1.0,1.0
1883-05-31,0.9787880959954881,1.141817164662014,1.0,1.0,1.0,1.0
1883-06-30,0.9787880959954881,1.157057884240013,1.0,1.0,1.0,1.0
1883-07-31,0.9787880959954881,1.1445495981202936,1.0,1.0,1.0,1.0
1883-08-31,0.9787880959954881,1.0980385380989477,1.0,1.0,1.0,1.0
1883-09-30,0.9787880959954881,1.1155479369080301,1.0,1.0,1.0,1.0
1883-10-31,0.9787880959954881,1.090794405607592,1.0,1.0,1.0,1.0
1883-11-30,0.9787880959954881,1.1125612958297768,1.0,1.0,1.0,1.0
1883-12-31,0.9621941122190567,1.1125612958297768,1.0,1.0,1.0,1.0
1884-01-31,0.9383194455769172,1.1125612958297768,1.0,1.0,1.0,1.0
1884-02-29,0.9686351943309731,1.1125612958297768,1.0,1.0,1.0,1.0
1884-03-31,0.9699506810375597,1.1125612958297768,1.0,1.0,1.0,1.0
1884-04-30,0.9309848950304691,1.1125612958297768,1.0,1.0,1.0,1.0
1884-05-31,0.8605063333212045,1.1125612958297768,1.0,1.0,1.0,1.0
1884-06-30,0.8303068789745572,1.1125612958297768,1.0,1.0,1.0,1.0
1884-07-31,0.8352713446186502,1.1125612958297768,1.0,1.0,1.0,1.0
1884-08-31,0.8926775215041283,1.1125612958297768,1.0,1.0,1.0,1.0
1884-09-30,0.8693985382473232,1.1125612958297768,1.0,1.0,1.0,1.0
1884-10-31,0.845958871774969,1.1125612958297768,1.0,1.0,1.0,1.0
1884-11-30,0.8337855109080419,1.1125612958297768,1.0,1.0,1.0,1.0
1884-12-31,0.8368475163187904,1.1125612958297768,1.0,1.0,1.0,1.0
1885-01-31,0.8225465506981352,1.1125612958297768,1.0,1.0,1.0,1.0
1885-02-28,0.8526839579271341,1.1125612958297768,1.0,1.0,1.0,1.0
1885-03-31,0.8594855921681891,1.1125612958297768,1.0,1.0,1.0,1.0
1885-04-30,0.8623063924849511,1.1125612958297768,1.0,1.0,1.0,1.0
1885-05-31,0.8571545886564703,1.1125612958297768,1.0,1.0,1.0,1.0
1885-06-30,0.857829201064209,1.1125612958297768,1.0,1.0,1.0,1.0
1885-07-31,0.8943201913032776,1.1125612958297768,1.0,1.0,1.0,1.0
1885-08-31,0.8943201913032776,1.1805206640720547,1.0,1.0,1.0,1.0
1885-09-30,0.8943201913032776,1.1709816727896467,1.0,1.0,1.0,1.0
1885-10-31,0.8943201913032776,1.2443778806853776,1.0,1.0,1.0,1.0
1885-11-30,0.8943201913032776,1.3306180733412103,1.0,1.0,1.0,1.0
1885-12-31,0.8943201913032776,1.3256621135324234,1.0,1.0,1.0,1.0
1886-01-31,0.8943201913032776,1.3307608139690865,1.0,1.0,1.0,1.0
1886-02-28,0.8943201913032776,1.3614344242051721,1.0,1.0,1.0,1.0
1886-03-31,0.8943201913032776,1.3382450859702437,1.0,1.0,1.0,1.0
1886-04-30,0.8943201913032776,1.325245113635433,1.0,1.0,1.0,1.0
1886-05-31,0.8943201913032776,1.304393641445469,1.0,1.0,1.0,1.0
1886-06-30,0.8943201913032776,1.3691737619154627,1.0,1.0,1.0,1.0
1886-07-31,0.8943201913032776,1.395035932973866,1.0,1.0,1.0,1.0
1886-08-31,0.8943201913032776,1.4104847127006546,1.0,1.0,1.0,1.0
1886-09-30,0.8943201913032776,1.4522192130375002,1.0,1.0,1.0,1.0
