date,bucket_lt15,bucket_15_20,bucket_20_25,bucket_25_30,bucket_30_40,bucket_gt40
1881-01-31,1.0,1.0738037329494226,1.0,1.0,1.0,1.0
1881-02-28,1.0,1.0639995363403436,1.0,1.0,1.0,1.0
1881-03-31,1.0,1.0799509070229176,1.0,1.0,1.0,1.0
1881-04-30,1.0,1.0692126564742979,1.0,1.0,1.0,1.0
1881-05-31,1.0,1.1331467249683094,1.0,1.0,1.0,1.0
1881-06-30,1.0,1.1512334900014574,1.0,1.0,1.0,1.0
1881-07-31,1.0,1.1036161965245264,1.0,1.0,1.0,1.0
1881-08-31,1.0,1.0608450096312458,1.0,1.0,1.0,1.0
1881-09-30,1.0,1.0335994655439742,1.0,1.0,1.0,1.0
1881-10-31,1.0,1.0113306924154433,1.0,1.0,1.0,1.0
1881-11-30,1.0,1.0321974210151075,1.0,1.0,1.0,1.0
1881-12-31,1.0,1.006559237900233,1.0,1.0,1.0,1.0
1882-01-31,1.0,0.9959521244670082,1.0,1.0,1.0,1.0
1882-02-28,1.0,0.9690486827306358,1.0,1.0,1.0,1.0
1882-03-31,1.0,0.9718381147477072,1.0,1.0,1.0,1.0
1882-04-30,0.9958946877860566,0.9718381147477072,1.0,1.0,1.0,1.0
1882-05-31,0.9789877728942449,0.9718381147477072,1.0,1.0,1.0,1.0
1882-06-30,0.9700774930528521,0.9718381147477072,1.0,1.0,1.0,1.0
1882-07-31,0.9700774930528521,1.0400159503936075,1.0,1.0,1.0,1.0
1882-08-31,0.9700774930528521,1.0666696420010748,1.0,1.0,1.0,1.0
1882-09-30,0.9700774930528521,1.111089025554115,1.0,1.0,1.0,1.0
1882-10-31,0.9700774930528521,1.0962309407770987,1.0,1.0,1.0,1.0
1882-11-30,0.9700774930528521,1.063493568369089,1.0,1.0,1.0,1.0
1882-12-31,0.9700774930528521,1.0846155498312786,1.0,1.0,1.0,1.0
1883-01-31,0.9700774930528521,1.0839964770288633,1.0,1.0,1.0,1.0
1883-02-28,0.9433920177875242,1.0839964770288633,1.0,1.0,1.0,1.0
1883-03-31,0.9433920177875242,1.1135075640324394,1.0,1.0,1.0,1.0
1883-04-30,0.9433920177875242,1.152331787744776,1.0,1.0,1.0,1.0
1883-05-31,0.9433920177875242,1.1496019456698119,1.0,1.0,1.0,1.0
1883-06-30,0.9433920177875242,1.2004707079543278,1.0,1.0,1.0,1.0
1883-07-31,0.9433920177875242,1.2117016613530578,1.0,1.0,1.0,1.0
1883-08-31,0.9433920177875242,1.162461743055316,1.0,1.0,1.0,1.0
1883-09-30,0.9433920177875242,1.192514133185273,1.0,1.0,1.0,1.0
1883-10-31,0.9433920177875242,1.1660527549285624,1.0,1.0,1.0,1.0
1883-11-30,0.9433920177875242,1.2023479532771255,1.0,1.0,1.0,1.0
1883-12-31,0.9173504747063782,1.2023479532771255,1.0,1.0,1.0,1.0
1884-01-31,0.8945885013171282,1.2023479532771255,1.0,1.0,1.0,1.0
1884-02-29,0.9234913662977458,1.2023479532771255,1.0,1.0,1.0,1.0
1884-03-31,0.9247455439521631,1.2023479532771255,1.0,1.0,1.0,1.0
1884-04-30,0.9062510030073659,1.2023479532771255,1.0,1.0,1.0,1.0
1884-05-31,0.8556282131008558,1.2023479532771255,1.0,1.0,1.0,1.0
1884-06-30,0.8255999562959202,1.2023479532771255,1.0,1.0,1.0,1.0
1884-07-31,0.8400281220920461,1.2023479532771255,1.0,1.0,1.0,1.0
1884-08-31,0.8977612207746168,1.2023479532771255,1.0,1.0,1.0,1.0
1884-09-30,0.8834364411183823,1.2023479532771255,1.0,1.0,1.0,1.0
1884-10-31,0.8696605716550476,1.2023479532771255,1.0,1.0,1.0,1.0
1884-11-30,0.8766034628233523,1.2023479532771255,1.0,1.0,1.0,1.0
1884-12-31,0.8893860038351257,1.2023479532771255,1.0,1.0,1.0,1.0
1885-01-31,0.8741872030783426,1.2023479532771255,1.0,1.0,1.0,1.0
1885-02-28,0.8964724145887507,1.2023479532771255,1.0,1.0,1.0,1.0
1885-03-31,0.9246121438922709,1.2023479532771255,1.0,1.0,1.0,1.0
1885-04-30,0.9164432247672714,1.2023479532771255,1.0,1.0,1.0,1.0
1885-05-31,0.932362781428849,1.2023479532771255,1.0,1.0,1.0,1.0
1885-06-30,0.9555381489177956,1.2023479532771255,1.0,1.0,1.0,1.0
1885-07-31,0.9849644427049298,1.2023479532771255,1.0,1.0,1.0,1.0
1885-08-31,0.9849644427049298,1.2757918233977081,1.0,1.0,1.0,1.0
1885-09-30,0.9849644427049298,1.279899905184711,1.0,1.0,1.0,1.0
1885-10-31,0.9849644427049298,1.36012302200162,1.0,1.0,1.0,1.0
1885-11-30,0.9849644427049298,1.4380024930510773,1.0,1.0,1.0,1.0
1885-12-31,0.9849644427049298,1.3993699421796972,1.0,1.0,1.0,1.0
1886-01-31,0.9849644427049298,1.4381567532275006,1.0,1.0,1.0,1.0
1886-02-28,0.9849644427049298,1.4713058054417172,1.0,1.0,1.0,1.0
1886-03-31,0.9849644427049298,1.462721235052932,1.0,1.0,1.0,1.0
1886-04-30,0.9849644427049298,1.467082744919404,1.0,1.0,1.0,1.0
1886-05-31,0.9849644427049298,1.480052144662591,1.0,1.0,1.0,1.0
1886-06-30,0.9849644427049298,1.572149086320905,1.0,1.0,1.0,1.0
1886-07-31,0.9849644427049298,1.5829009425339684,1.0,1.0,1.0,1.0
1886-08-31,0.9849644427049298,1.579672310794823,1.0,1.0,1.0,1.0
1886-09-30,0.9849644427049298,1.626412863169008,1.0,1.0,1.0,1.0
1886-10-31,0.9849644427049298,1.6732718544626706,1.0,1.0,1.0,1.0
1886-11-30,0.9849644427049298,1.7202443960644225,1.0,1.0,1.0,1.0
1886-12-31,0.9849644427049298,1.6617694278054354,1.0,1.0,1.0,1.0
1887-01-31,0.9849644427049298,1.610268278698993,1.0,1.0,1.0,1.0
1887-02-28,0.9849644427049298,1.5842479794973023,1.0,1.0,1.0,1.0
1887-03-31,0.9849644427049298,1.6267853237121441,1.0,1.0,1.0,1.0
1887-04-30,0.9849644427049298,1.6695231068711012,1.0,1.0,1.0,1.0
1887-05-31,0.9849644427049298,1.7038250902450336,1.0,1.0,1.0,1.0
1887-06-30,0.9849644427049298,1.6811070760030717,1.0,1.0,1.0,1.0
1887-07-31,0.9849644427049298,1.6645277747236076,1.0,1.0,1.0,1.0
1887-08-31,0.9849644427049298,1.6103872952513396,1.0,1.0,1.0,1.0
1887-09-30,0.9849644427049298,1.613790970640211,1.0,1.0,1.0,1.0
1887-10-31,0.9849644427049298,1.5482217101821871,1.0,1.0,1.0,1.0
1887-11-30,0.9849644427049298,1.5644933174498983,1.0,1.0,1.0,1.0
1887-12-31,0.9849644427049298,1.5258892291553627,1.0,1.0,1.0,1.0
1888-01-31,0.9849644427049298,1.5269062603283456,1.0,1.0,1.0,1.0
