Date,100% SPY,90/10 Healthcare,90/10 Consumer Staples,90/10 Utilities
1998-12-31,10000.0,10000.0,10000.0,10000.0
1999-01-31,10352.257169005918,10365.108279484877,10303.798707791782,10292.22520122103
1999-02-28,10020.271129845725,10067.52313130941,9994.653833878507,9966.564246344462
1999-03-31,10435.797437619292,10469.140552043595,10367.470259649226,10280.710920623846
1999-04-30,10832.092849817845,10864.268125536464,10690.129078578017,10723.209315965216
1999-05-31,10584.405604165078,10607.094539569985,10457.41177796444,10511.734682294338
1999-06-30,11170.555218322777,11182.105587051861,11001.395585689188,11079.859950316391
1999-07-31,10824.017844646538,10836.568302819665,10654.210895887987,10771.116302609264
1999-08-31,10767.965642206795,10736.841878070372,10619.389016288384,10671.471619889766
1999-09-30,10527.441579149287,10505.947260599487,10319.181536567656,10479.931303791056
1999-10-31,11202.014092635998,11165.346315857532,11003.437321513635,11092.320061598806
1999-11-30,11388.542531247344,11345.84171414487,11174.213146494661,11226.969670763807
1999-12-31,12038.936814876326,12030.096683996251,11692.46511909833,11790.957472629387
2000-01-31,11439.555818970966,11460.430042856331,11160.584020682363,11234.529804715412
2000-02-29,11265.369834639583,11227.498487518838,10902.601507597035,10963.647592903404
2000-03-31,12357.154930401855,12308.03049690873,11913.920614273839,12036.354123460625
2000-04-30,11923.16222458429,11903.534475908118,11565.343800521066,11705.650276413226
2000-05-31,11735.69508653057,11703.380582713236,11456.146772620139,11534.790744062233
2000-06-30,11966.67587116385,11913.681205968147,11714.642402509737,11709.63465284084
2000-07-31,11778.772730611976,11727.642850508348,11511.019409126862,11555.068362132773
2000-08-31,12548.40672940988,12460.209190696647,12192.576992600174,12284.91440647315
2000-09-30,11859.97471185511,11798.30704464748,11612.810362657625,11796.32574953218
2000-10-31,11804.493891684635,11765.299507351896,11628.049990749289,11811.581989874272
2000-11-30,10923.25420319349,10868.21357179363,10869.575292071915,11017.92337576539
2000-12-31,10866.163757362023,10833.948000563596,10855.97554367476,10950.344919411089
2001-01-31,11349.269456910113,11344.969530228536,11212.287974884079,11319.257841031143
2001-02-28,10266.69416734174,10348.98336964312,10244.000155132933,10367.870634167906
2001-03-31,9691.369957675905,9760.184460731454,9656.575437249388,9833.911094325373
2001-04-30,10519.403405239238,10582.04136140494,10419.948494887543,10632.788716568164
2001-05-31,10460.43257420454,10571.538943832296,10380.85904795098,10587.885741416525
2001-06-30,10211.163575196595,10334.125349603031,10111.81503818668,10304.66378263071
2001-07-31,10107.061508405392,10217.590363290838,10046.182634201363,10200.952402507797
2001-08-31,9507.3788943335,9620.962324075816,9511.017487561283,9621.878119821933
2001-09-30,8731.28747954123,8768.374693755257,8811.385467199289,8913.213977674237
2001-10-31,8844.98956480779,8875.354345662558,8907.630920750002,8960.016955633519
2001-11-30,9534.69275859577,9602.2153296484,9570.205676531283,9568.12940069987
2001-12-31,9588.463413716401,9675.31043369245,9599.186095425597,9648.150976420795
2002-01-31,9494.506866242995,9582.989632652121,9508.135832030599,9526.888940361256
2002-02-28,9324.217032089187,9477.453989814861,9375.106576260672,9371.81100041223
2002-03-31,9634.434800405423,9819.632849720405,9670.159696800105,9703.262613691622
2002-04-30,9074.139736212517,9308.380399642858,9128.760525421094,9136.357522177334
2002-05-31,9020.29641400886,9275.837030609177,9069.582355258372,9079.839861277302
2002-06-30,8354.530553721183,8593.845798611756,8373.454932432578,8415.976335468791
2002-07-31,7696.03090401634,7970.133403883191,7744.325837483615,7691.288758194256
2002-08-31,7748.369619425565,8027.333609360137,7797.95897993667,7768.7215799681835
2002-09-30,6935.935206445191,7230.866969647273,7007.174997269158,6941.276020003681
2002-10-31,7506.654513014078,7802.159488119369,7550.5803862681705,7438.826185336347
2002-11-30,7969.666768666034,8251.19807400672,7945.263107116928,7875.378271054124
2002-12-31,7518.827742580143,7804.911559987577,7541.6878799238675,7492.39045958277
2003-01-31,7333.903952432327,7634.961110491709,7348.83593822143,7308.9118537278255
2003-02-28,7235.049344931133,7522.926710274393,7236.943609179569,7182.0607194732265
2003-03-31,7250.533406252594,7572.914900366726,7250.965428395979,7229.96315793084
2003-04-30,7864.014304863698,8159.543821998931,7824.585106646064,7842.972392194827
2003-05-31,8295.247154685525,8569.997793032022,8249.418235444275,8308.42177089992
2003-06-30,8383.604355007967,8698.289277763672,8336.417828664557,8399.379264688774
2003-07-31,8534.733969790801,8817.008549468563,8471.257130270731,8478.247264997457
2003-08-31,8710.771471580103,8933.377346516592,8643.034245797084,8652.512543336981
2003-09-30,8615.770708078013,8850.723410034345,8554.374300320489,8607.42762178197
2003-10-31,9076.947871023693,9273.274156154026,9005.66243728777,9028.331139044107
2003-11-30,9176.072740347374,9386.14424075634,9104.719629288073,9119.49130144919
2003-12-31,9637.753595676768,9866.913648477805,9535.285844231877,9591.418826383437
2004-01-31,9828.287682809974,10071.23460186303,9706.766522651766,9781.775071979087
2004-02-29,9961.665625105144,10204.332245892714,9875.843449356671,9919.511079492218
2004-03-31,9829.720120241129,10033.933913245708,9754.836350901012,9810.931441275708
2004-04-30,9643.726232637793,9903.428289632697,9599.348635176992,9602.305049298497
2004-05-31,9808.860685654741,10048.08294213703,9742.809985506145,9762.027063714453
2004-06-30,9990.33925971554,10206.857260941364,9911.160661260421,9941.534054825703
2004-07-31,9668.460913172392,9851.933734706785,9576.054805930218,9666.241123679638
2004-08-31,9692.013011588708,9891.825733320866,9612.788221017225,9726.63031711489
2004-09-30,9789.291340651938,9958.935271309772,9676.899287738115,9820.552598734646
2004-10-31,9915.427460631861,10046.92506484511,9796.021787465454,9983.274349554133
2004-11-30,10356.834199797051,10466.132951123947,10214.891773967973,10427.722879376463
2004-12-31,10668.794982666413,10810.037139708345,10529.073648722744,10735.74262332726
2005-01-31,10429.589876937798,10557.136150576036,10324.635536741354,10544.477617829984
2005-02-28,10647.608048486663,10788.567715230261,10519.64680078438,10765.528634152426
2005-03-31,10452.832393671633,10606.541171175206,10336.139544321984,10603.308797844898
2005-04-30,10256.995600356528,10472.047436381446,10150.20510457552,10463.974699316343
2005-05-31,10587.524316098228,10785.183526232015,10469.060481717945,10760.630357225938
2005-06-30,10603.566818975547,10792.978631469632,10465.332931938863,10848.406687522653
