Date,leaps_nav,leaps_options_value,leaps_bond_value,bh_nav
1976-12-31,10000.0,7000.0,3000.0,10000.0
1977-01-03,9881.369262601927,6967.25140545907,2914.1178571428572,9958.729492410617
1977-01-04,9528.884315978186,6613.932697337314,2914.951618640873,9839.264992667897
1977-01-05,9277.49916516869,6361.713546481372,2915.7856186873178,9753.27531180324
1977-01-06,9343.07233060176,6426.452473251317,2916.6198573504425,9778.979231571191
1977-01-07,9337.508319499844,6420.053984801326,2917.454334698518,9779.55067282035
1977-01-10,9377.738785104859,6459.449734305024,2918.2890507998345,9798.747005437966
1977-01-11,9088.942698138888,6169.8186924161855,2919.1240057227023,9699.65716119288
1977-01-12,8887.090884932473,5967.131685397022,2919.9591995354513,9634.072869396963
1977-01-13,9097.462756188708,6176.668123882278,2920.79463230643,9710.090548847224
1977-01-14,9044.124942146616,6122.494638042609,2921.6303041040064,9693.876994635912
1977-01-17,8959.878147035397,6037.411932038827,2922.4662149965698,9669.269730396969
1977-01-18,8848.583401388049,5925.281036335521,2923.3023650525274,9632.536164863897
1977-01-19,8985.534521270309,6061.3957669300025,2924.1387543403066,9683.42760528822
1977-01-20,8754.042178988115,5829.066796059761,2924.975382928354,9602.860223168916
1977-01-21,8837.806408842633,5911.994157957497,2925.8122508851366,9636.975697182475
1977-01-24,8815.930088326575,5889.280730047436,2926.64935827914,9631.926880859588
1977-01-25,8780.06303022237,5852.576325043501,2927.48670517887,9622.211629390626
1977-01-26,8571.92646162065,5643.602169967797,2928.324291652852,9549.981146771035
1977-01-27,8415.797279823364,5486.635162053733,2929.1621177696306,9500.124564349835
1977-01-28,8446.961852953433,5516.961669355662,2930.0001835977705,9514.650045873617
1977-01-31,8470.462175681645,5539.623686475789,2930.8384892058557,9525.445879648698
1977-02-01,8553.12539131874,5666.290185541098,2886.83520577764,9574.57898988933
1977-02-02,8501.3179165177,5613.636134860271,2887.6817816574294,9559.299149089464
1977-02-03,8356.301733935896,5467.7731281369415,2888.5286057989547,9513.195640005906
1977-02-04,8357.291250326083,5467.915572051063,2889.37567827502,9517.515375839705
1977-02-07,8357.266355981576,5467.043356823125,2890.2229991584504,9519.968183714705
1977-02-08,8276.382222203914,5385.311653681822,2891.0705685220923,9494.391111661776
1977-02-09,8053.174441810835,5161.256055372021,2891.9183864388133,9414.605900667237
1977-02-10,8072.289960351041,5179.5235073695385,2892.766452981503,9424.519299096359
1977-02-11,7916.888900165844,5023.274131942772,2893.614768223071,9369.935823766315
1977-02-14,8046.076725986425,5151.613393749974,2894.4633322364507,9420.047093576264
1977-02-15,8117.669767711101,5222.357622616507,2895.312145094594,9449.602801387156
1977-02-16,8223.081201318957,5326.91999444848,2896.1612068704767,9494.131057147637
1977-02-17,8069.895451283046,5172.884933645952,2897.0105176370944,9441.393397179636
1977-02-18,7956.755931375759,5058.895853908295,2897.8600774674646,9402.67174796141
1977-02-22,7953.258810308189,5054.548923873563,2898.7098864346262,9404.171845365405
1977-02-23,7874.001815733214,4974.441871121575,2899.55994461164,9377.597661597589
1977-02-24,7710.74199953011,4810.331747458523,2900.410252071587,9323.870486021611
1977-02-25,7677.062070087697,4775.801261200127,2901.260808887571,9314.124889537477
1977-02-28,7760.462887030228,4858.351271897511,2902.1116151327165,9347.444075402631
1977-03-01,7955.229839230847,5069.534732460716,2885.69510677013,9427.618187195561
1977-03-02,7881.940842050514,4995.391477919412,2886.5493641311023,9403.85672159034
1977-03-03,8000.648875092114,5113.245000712742,2887.4038743793726,9451.279166569606
1977-03-04,8081.2362727121845,5192.977635122381,2888.2586375898036,9482.789841280382
1977-03-07,8085.918968372653,5196.805314535372,2889.1136538372803,9489.010838220553
1977-03-08,7984.7764396694465,5094.807516472737,2889.9689231967095,9454.934563264136
1977-03-09,7786.69483780122,4895.8703920582,2890.8244457430205,9384.290119169953
1977-03-10,7927.449811253839,5035.769589702673,2891.680221551165,9439.246696074903
1977-03-11,7914.481223387187,5021.944972691072,2892.536250696116,9438.900212968285
1977-03-14,8109.213759046377,5215.821225793508,2893.3925332528693,9512.638493617604
1977-03-15,8249.276176378178,5355.027107081734,2894.249069296443,9566.704274199552
1977-03-16,8297.128789272647,5402.022930370769,2895.105858901877,9586.076739455046
1977-03-17,8270.035836557061,5374.072934412826,2895.9629021442342,9579.185116739189
1977-03-18,8209.569932116483,5312.749733017884,2896.820199098599,9560.091354224282
1977-03-21,8063.958976614726,5166.2812267746485,2897.677749840078,9510.018759769771
1977-03-22,7969.623779889935,5071.088225446134,2898.5355544438003,9482.459085267488
1977-03-23,7756.031425393152,4856.637812408235,2899.393612984917,9408.885696370142
1977-03-24,7624.896714586741,4724.644789048139,2900.251925538602,9363.458738286377
1977-03-25,7461.932546136071,4560.822053956021,2901.1104921800506,9304.868553312204
1977-03-28,7443.194226157913,4541.224913173432,2901.9693129844813,9300.739611308714
1977-03-29,7617.475962233504,4714.647574206369,2902.828388027134,9367.069236149637
1977-03-30,7328.459867658359,4424.7721502750865,2903.6877173832722,9260.52962424521
1977-03-31,7294.477540063481,4389.930238935301,2904.5473011281797,9250.751629972989
1977-04-01,7432.5991215569065,4504.972195366111,2927.626926190795,9326.546942106077
1977-04-04,7183.425546993409,4254.942406102375,2928.483140891034,9235.97306974181
1977-04-05,7127.011133974114,4197.671527974018,2929.3396060000964,9216.826294895132
1977-04-06,7093.019057411919,4162.822735820702,2930.1963215912165,9208.957893008175
1977-04-07,7195.187742263561,4264.134454525911,2931.05328773765,9251.875859926378
1977-04-11,7321.322306863545,4389.411802350871,2931.910504512675,9303.274596679079
1977-04-12,7648.6656134958575,4715.897641506267,2932.76797198959,9424.314696877704
1977-04-13,7644.984693037228,4711.3590027955115,2933.625690241716,9426.825902678625
1977-04-14,7859.969971436987,4925.486312094594,2934.483659342394,9507.454801742431
1977-04-15,7867.289466818876,4931.947587453888,2935.341879364987,9512.804051616817
1977-04-18,7733.605751613192,4797.405401230311,2936.200350382881,9467.314332207256
1977-04-19,7601.094029703871,4664.034957234389,2937.059072469481,9424.63397830179
1977-04-20,7683.01416022374,4745.096114525524,2937.9180456982153,9457.283725339574
1977-04-21,7515.4468819815465,4576.669611839014,2938.777270142533,9397.631625182883
1977-04-22,7190.4058313238575,4250.769085447953,2939.636745875904,9275.779876859408
1977-04-25,6882.058081319499,3941.561608347678,2940.496472971821,9155.771234540582
1977-04-26,6868.064564684892,3926.7081131810946,2941.356451503797,9153.526650585745
1977-04-27,7075.957351328851,4133.740669783482,2942.216681545368,9235.171838621467
1977-04-28,7132.687953368273,4189.610790198183,2943.0771631700895,9259.336095673392
1977-04-29,7188.521011206703,4244.583114755163,2943.9378964515404,9283.508857587876
1977-05-02,7287.087003021768,4364.809246466302,2922.2777565554657,9331.289958959323
1977-05-03,7410.137340385825,4486.994496843697,2923.142843542128,9380.030352517479
1977-05-04,7542.125549461123,4618.117362839122,2924.0081866220016,9431.61696299744
1977-05-05,7577.673501340486,4652.799715469588,2924.8737858708982,9447.366494544758
1977-05-06,7416.3891857295475,4490.6495443648955,2925.739641364652,9390.455890057387
1977-05-09,7328.225439637015,4401.619686457896,2926.6057531791193,9362.785816709611
1977-05-10,7399.404756272755,4471.932634882575,2927.4721213901794,9391.747120865799
1977-05-11,7225.280577180036,4296.941831106303,2928.3387460737335,9328.18810260661
1977-05-12,7208.319451658893,4279.113824353187,2929.205627305706,9325.045631492027
1977-05-13,7278.0937606795,4348.020995517456,2930.072765162043,9354.958453027344
1977-05-16,7387.537033102919,4456.596873384205,2930.940159718714,9398.107008156436
1977-05-17,7461.707427914825,4529.899616863115,2931.80781105171,9428.04175163682
1977-05-18,7596.664654976194,4663.988935739149,2932.6757192370446,9479.72186864651
1977-05-19,7483.600549040879,4550.056664690124,2933.543884350755,9441.63001973652
1977-05-20,7369.485346151192,4435.073039682292,2934.4123064688997,9402.580198817292
1977-05-23,7031.997147078709,4096.716161411148,2935.2809856675603,9281.262469054212
1977-05-24,6912.25930616575,3976.1093841429088,2936.149922022841,9237.443234987972
1977-05-25,6695.970037850095,3758.950922239227,2937.019115610868,9153.886234031661
