date,azienda,azionario
2026-01-01,2222.222222222222,2222.222222222222
2027-01-01,4500.0,4555.555555555556
2028-01-01,6834.722222222223,7005.555555555557
2029-01-01,9227.8125,9578.055555555557
2030-01-01,11680.730034722223,12279.180555555557
2031-01-01,14194.970507812499,15115.361805555558
2032-01-01,16772.066992730033,18093.352118055558
2033-01-01,19413.590889770505,21220.24194618056
2034-01-01,22121.152884236988,24503.47626571181
2035-01-01,24896.403928565134,27950.872301219624
2036-01-01,27741.03624900148,31570.63813850283
2037-01-01,30656.784377448737,35371.39226765019
2038-01-01,33645.42620910717,39362.18410325492
2039-01-01,36708.78408655707,43552.51553063989
2040-01-01,39848.72591094321,47952.363529394104
2041-01-01,43067.16628093901,52572.20392808603
2042-01-01,46366.0676601847,57423.03634671256
2043-01-01,49747.441573911536,62516.41038627041
2044-01-01,53213.34983548154,67864.45312780615
2045-01-01,56765.905803590795,73479.89800641868
2046-01-01,60407.27567090278,79376.11512896183
2047-01-01,64139.67978489756,85567.14310763215
2048-01-01,67965.39400174221,92067.72248523598
2049-01-01,71886.75107400799,98893.33083172
2050-01-01,75906.1420730804,106060.21959552822
2051-01-01,80026.01784712962,113585.45279752686
2052-01-01,84248.89051553007,121486.94765962542
2053-01-01,88577.33500064054,129783.51726482892
2054-01-01,93013.99059787876,138494.91535029258
2055-01-01,97561.56258504794,147641.88334002942
